"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Apr-2024","1","24.68"
"MFP","01-Apr-2024","2","15.00"
"MFP","01-Apr-2024","3","11.16"
"MFP","01-Apr-2024","4","10.00"
"MFP","01-Apr-2024","5","10.00"
"MFP","01-Apr-2024","6","10.00"
"MFP","01-Apr-2024","7","10.00"
"MFP","01-Apr-2024","8","9.95"
"MFP","01-Apr-2024","9","9.95"
"MFP","01-Apr-2024","10","9.95"
"MFP","01-Apr-2024","11","10.00"
"MFP","01-Apr-2024","12","15.00"
"MFP","01-Apr-2024","13","15.00"
"MFP","01-Apr-2024","14","24.68"
"MFP","01-Apr-2024","15","44.44"
"MFP","01-Apr-2024","16","124.44"
"MFP","01-Apr-2024","17","176.37"
"MFP","01-Apr-2024","18","286.71"
"MFP","01-Apr-2024","19","207.05"
"MFP","01-Apr-2024","20","210.34"
"MFP","01-Apr-2024","21","212.14"
"MFP","01-Apr-2024","22","186.37"
"MFP","01-Apr-2024","23","176.37"
"MFP","01-Apr-2024","24","175.44"
"MFP","01-Apr-2024","25","207.12"
"MFP","01-Apr-2024","26","207.05"
"MFP","01-Apr-2024","27","300.00"
"MFP","01-Apr-2024","28","234.89"
"MFP","01-Apr-2024","29","229.71"
"MFP","01-Apr-2024","30","206.40"
"MFP","01-Apr-2024","31","210.34"
"MFP","01-Apr-2024","32","210.34"
"MFP","01-Apr-2024","33","210.34"
"MFP","01-Apr-2024","34","218.47"
"MFP","01-Apr-2024","35","206.40"
"MFP","01-Apr-2024","36","37.64"
"MFP","01-Apr-2024","37","37.64"
"MFP","01-Apr-2024","38","37.64"
"MFP","01-Apr-2024","39","37.64"
"MFP","01-Apr-2024","40","37.64"
"MFP","01-Apr-2024","41","37.64"
"MFP","01-Apr-2024","42","37.64"
"MFP","01-Apr-2024","43","37.64"
"MFP","01-Apr-2024","44","37.64"
"MFP","01-Apr-2024","45","37.64"
"MFP","01-Apr-2024","46","37.64"
"MFP","01-Apr-2024","47","23.39"
"MFP","01-Apr-2024","48","16.88"
"MFP","02-Apr-2024","1","15.00"
"MFP","02-Apr-2024","2","12.34"
"MFP","02-Apr-2024","3","10.00"
"MFP","02-Apr-2024","4","10.00"
"MFP","02-Apr-2024","5","10.00"
"MFP","02-Apr-2024","6","10.00"
"MFP","02-Apr-2024","7","10.00"
"MFP","02-Apr-2024","8","9.95"
"MFP","02-Apr-2024","9","9.95"
"MFP","02-Apr-2024","10","9.95"
"MFP","02-Apr-2024","11","10.00"
"MFP","02-Apr-2024","12","15.00"
"MFP","02-Apr-2024","13","15.00"
"MFP","02-Apr-2024","14","30.50"
"MFP","02-Apr-2024","15","37.64"
"MFP","02-Apr-2024","16","37.64"
"MFP","02-Apr-2024","17","37.64"
"MFP","02-Apr-2024","18","37.64"
"MFP","02-Apr-2024","19","37.64"
"MFP","02-Apr-2024","20","37.64"
"MFP","02-Apr-2024","21","37.64"
"MFP","02-Apr-2024","22","37.64"
"MFP","02-Apr-2024","23","37.64"
"MFP","02-Apr-2024","24","37.64"
"MFP","02-Apr-2024","25","37.64"
"MFP","02-Apr-2024","26","37.64"
"MFP","02-Apr-2024","27","37.64"
"MFP","02-Apr-2024","28","37.64"
"MFP","02-Apr-2024","29","37.64"
"MFP","02-Apr-2024","30","37.64"
"MFP","02-Apr-2024","31","37.64"
"MFP","02-Apr-2024","32","37.64"
"MFP","02-Apr-2024","33","37.64"
"MFP","02-Apr-2024","34","37.64"
"MFP","02-Apr-2024","35","37.64"
"MFP","02-Apr-2024","36","168.00"
"MFP","02-Apr-2024","37","188.19"
"MFP","02-Apr-2024","38","188.17"
"MFP","02-Apr-2024","39","300.00"
"MFP","02-Apr-2024","40","195.05"
"MFP","02-Apr-2024","41","210.92"
"MFP","02-Apr-2024","42","234.89"
"MFP","02-Apr-2024","43","176.37"
"MFP","02-Apr-2024","44","168.06"
"MFP","02-Apr-2024","45","178.37"
"MFP","02-Apr-2024","46","127.49"
"MFP","02-Apr-2024","47","86.42"
"MFP","02-Apr-2024","48","19.05"
"MFP","03-Apr-2024","1","35.00"
"MFP","03-Apr-2024","2","22.22"
"MFP","03-Apr-2024","3","10.00"
"MFP","03-Apr-2024","4","10.00"
"MFP","03-Apr-2024","5","10.00"
"MFP","03-Apr-2024","6","10.00"
"MFP","03-Apr-2024","7","10.00"
"MFP","03-Apr-2024","8","10.00"
"MFP","03-Apr-2024","9","10.00"
"MFP","03-Apr-2024","10","10.00"
"MFP","03-Apr-2024","11","11.11"
"MFP","03-Apr-2024","12","24.68"
"MFP","03-Apr-2024","13","30.00"
"MFP","03-Apr-2024","14","37.11"
"MFP","03-Apr-2024","15","37.64"
"MFP","03-Apr-2024","16","37.64"
"MFP","03-Apr-2024","17","37.64"
"MFP","03-Apr-2024","18","37.64"
"MFP","03-Apr-2024","19","37.64"
"MFP","03-Apr-2024","20","37.64"
"MFP","03-Apr-2024","21","37.64"
"MFP","03-Apr-2024","22","37.64"
"MFP","03-Apr-2024","23","35.00"
"MFP","03-Apr-2024","24","35.00"
"MFP","03-Apr-2024","25","35.44"
"MFP","03-Apr-2024","26","37.64"
"MFP","03-Apr-2024","27","37.64"
"MFP","03-Apr-2024","28","37.64"
"MFP","03-Apr-2024","29","35.00"
"MFP","03-Apr-2024","30","35.00"
"MFP","03-Apr-2024","31","37.64"
"MFP","03-Apr-2024","32","37.64"
"MFP","03-Apr-2024","33","37.64"
"MFP","03-Apr-2024","34","37.64"
"MFP","03-Apr-2024","35","37.64"
"MFP","03-Apr-2024","36","35.44"
"MFP","03-Apr-2024","37","37.64"
"MFP","03-Apr-2024","38","37.64"
"MFP","03-Apr-2024","39","37.64"
"MFP","03-Apr-2024","40","37.64"
"MFP","03-Apr-2024","41","35.44"
"MFP","03-Apr-2024","42","35.44"
"MFP","03-Apr-2024","43","35.00"
"MFP","03-Apr-2024","44","35.44"
"MFP","03-Apr-2024","45","35.00"
"MFP","03-Apr-2024","46","33.33"
"MFP","03-Apr-2024","47","33.33"
"MFP","03-Apr-2024","48","22.22"
"MFP","04-Apr-2024","1","30.00"
"MFP","04-Apr-2024","2","22.22"
"MFP","04-Apr-2024","3","22.22"
