"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Jul-2024","1","10.00"
"MFP","01-Jul-2024","2","9.80"
"MFP","01-Jul-2024","3","9.80"
"MFP","01-Jul-2024","4","9.80"
"MFP","01-Jul-2024","5","9.80"
"MFP","01-Jul-2024","6","1.33"
"MFP","01-Jul-2024","7","2.91"
"MFP","01-Jul-2024","8","1.33"
"MFP","01-Jul-2024","9","1.33"
"MFP","01-Jul-2024","10","1.33"
"MFP","01-Jul-2024","11","9.80"
"MFP","01-Jul-2024","12","10.00"
"MFP","01-Jul-2024","13","10.00"
"MFP","01-Jul-2024","14","11.11"
"MFP","01-Jul-2024","15","14.77"
"MFP","01-Jul-2024","16","16.86"
"MFP","01-Jul-2024","17","24.72"
"MFP","01-Jul-2024","18","33.33"
"MFP","01-Jul-2024","19","32.95"
"MFP","01-Jul-2024","20","16.13"
"MFP","01-Jul-2024","21","11.99"
"MFP","01-Jul-2024","22","11.19"
"MFP","01-Jul-2024","23","10.70"
"MFP","01-Jul-2024","24","10.00"
"MFP","01-Jul-2024","25","11.11"
"MFP","01-Jul-2024","26","11.11"
"MFP","01-Jul-2024","27","11.99"
"MFP","01-Jul-2024","28","11.50"
"MFP","01-Jul-2024","29","12.12"
"MFP","01-Jul-2024","30","13.33"
"MFP","01-Jul-2024","31","15.11"
"MFP","01-Jul-2024","32","11.11"
"MFP","01-Jul-2024","33","15.11"
"MFP","01-Jul-2024","34","21.97"
"MFP","01-Jul-2024","35","20.12"
"MFP","01-Jul-2024","36","22.12"
"MFP","01-Jul-2024","37","33.33"
"MFP","01-Jul-2024","38","24.68"
"MFP","01-Jul-2024","39","33.33"
"MFP","01-Jul-2024","40","27.60"
"MFP","01-Jul-2024","41","30.00"
"MFP","01-Jul-2024","42","32.95"
"MFP","01-Jul-2024","43","24.68"
"MFP","01-Jul-2024","44","21.84"
"MFP","01-Jul-2024","45","9.80"
"MFP","01-Jul-2024","46","9.80"
"MFP","01-Jul-2024","47","9.80"
"MFP","01-Jul-2024","48","9.80"
"MFP","02-Jul-2024","1","20.03"
"MFP","02-Jul-2024","2","10.00"
"MFP","02-Jul-2024","3","9.18"
"MFP","02-Jul-2024","4","9.18"
"MFP","02-Jul-2024","5","9.18"
"MFP","02-Jul-2024","6","9.18"
"MFP","02-Jul-2024","7","9.18"
"MFP","02-Jul-2024","8","9.18"
"MFP","02-Jul-2024","9","9.18"
"MFP","02-Jul-2024","10","9.18"
"MFP","02-Jul-2024","11","9.18"
"MFP","02-Jul-2024","12","9.80"
"MFP","02-Jul-2024","13","10.00"
"MFP","02-Jul-2024","14","30.00"
"MFP","02-Jul-2024","15","49.99"
"MFP","02-Jul-2024","16","44.44"
"MFP","02-Jul-2024","17","51.08"
"MFP","02-Jul-2024","18","100.00"
