"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Jun-2024","1","9.80"
"MFP","01-Jun-2024","2","9.80"
"MFP","01-Jun-2024","3","36.11"
"MFP","01-Jun-2024","4","19.68"
"MFP","01-Jun-2024","5","10.00"
"MFP","01-Jun-2024","6","9.80"
"MFP","01-Jun-2024","7","9.80"
"MFP","01-Jun-2024","8","9.80"
"MFP","01-Jun-2024","9","9.80"
"MFP","01-Jun-2024","10","9.80"
"MFP","01-Jun-2024","11","9.80"
"MFP","01-Jun-2024","12","10.00"
"MFP","01-Jun-2024","13","20.91"
"MFP","01-Jun-2024","14","30.03"
"MFP","01-Jun-2024","15","63.01"
"MFP","01-Jun-2024","16","44.71"
"MFP","01-Jun-2024","17","34.56"
"MFP","01-Jun-2024","18","60.24"
"MFP","01-Jun-2024","19","44.44"
"MFP","01-Jun-2024","20","44.44"
"MFP","01-Jun-2024","21","35.44"
"MFP","01-Jun-2024","22","20.16"
"MFP","01-Jun-2024","23","15.79"
"MFP","01-Jun-2024","24","13.35"
"MFP","01-Jun-2024","25","10.30"
"MFP","01-Jun-2024","26","10.29"
"MFP","01-Jun-2024","27","10.30"
"MFP","01-Jun-2024","28","10.50"
"MFP","01-Jun-2024","29","10.30"
"MFP","01-Jun-2024","30","10.18"
"MFP","01-Jun-2024","31","10.17"
"MFP","01-Jun-2024","32","10.17"
"MFP","01-Jun-2024","33","10.29"
"MFP","01-Jun-2024","34","11.79"
"MFP","01-Jun-2024","35","16.10"
"MFP","01-Jun-2024","36","22.21"
"MFP","01-Jun-2024","37","49.99"
"MFP","01-Jun-2024","38","48.96"
"MFP","01-Jun-2024","39","51.46"
"MFP","01-Jun-2024","40","49.99"
"MFP","01-Jun-2024","41","44.44"
"MFP","01-Jun-2024","42","49.99"
"MFP","01-Jun-2024","43","44.44"
"MFP","01-Jun-2024","44","35.49"
"MFP","01-Jun-2024","45","33.66"
"MFP","01-Jun-2024","46","9.80"
"MFP","01-Jun-2024","47","9.80"
"MFP","01-Jun-2024","48","9.80"
"MFP","02-Jun-2024","1","10.00"
"MFP","02-Jun-2024","2","10.00"
"MFP","02-Jun-2024","3","9.80"
"MFP","02-Jun-2024","4","9.80"
"MFP","02-Jun-2024","5","9.80"
"MFP","02-Jun-2024","6","9.80"
"MFP","02-Jun-2024","7","9.80"
"MFP","02-Jun-2024","8","9.80"
"MFP","02-Jun-2024","9","9.80"
"MFP","02-Jun-2024","10","9.80"
"MFP","02-Jun-2024","11","9.80"
"MFP","02-Jun-2024","12","10.00"
"MFP","02-Jun-2024","13","10.75"
"MFP","02-Jun-2024","14","15.00"
"MFP","02-Jun-2024","15","35.44"
"MFP","02-Jun-2024","16","20.03"
"MFP","02-Jun-2024","17","11.11"
"MFP","02-Jun-2024","18","30.00"
"MFP","02-Jun-2024","19","15.00"
"MFP","02-Jun-2024","20","22.91"
"MFP","02-Jun-2024","21","11.23"
"MFP","02-Jun-2024","22","11.23"
"MFP","02-Jun-2024","23","10.04"
"MFP","02-Jun-2024","24","10.00"
"MFP","02-Jun-2024","25","11.23"
"MFP","02-Jun-2024","26","11.23"
"MFP","02-Jun-2024","27","11.23"
"MFP","02-Jun-2024","28","10.00"
"MFP","02-Jun-2024","29","10.00"
