"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Apr-2024","1","25.00"
"MRP","CONRESB","01-Apr-2024","1","21.25"
"MRP","CONRESC","01-Apr-2024","1","18.75"
"MRP","CONRESD","01-Apr-2024","1","15.00"
"MRP","CONRESE","01-Apr-2024","1","6.25"
"MRP","PRIRESA","01-Apr-2024","1","5.88"
"MRP","PRIRESB","01-Apr-2024","1","5.00"
"MRP","PRIRESC","01-Apr-2024","1","4.41"
"MRP","PRIRESD","01-Apr-2024","1","3.53"
"MRP","PRIRESE","01-Apr-2024","1","1.47"
"MRP","CONRESA","01-Apr-2024","2","15.00"
"MRP","CONRESB","01-Apr-2024","2","12.75"
"MRP","CONRESC","01-Apr-2024","2","11.25"
"MRP","CONRESD","01-Apr-2024","2","9.00"
"MRP","CONRESE","01-Apr-2024","2","3.75"
"MRP","PRIRESA","01-Apr-2024","2","5.00"
"MRP","PRIRESB","01-Apr-2024","2","4.25"
"MRP","PRIRESC","01-Apr-2024","2","3.75"
"MRP","PRIRESD","01-Apr-2024","2","3.00"
"MRP","PRIRESE","01-Apr-2024","2","1.25"
"MRP","CONRESA","01-Apr-2024","3","12.34"
"MRP","CONRESB","01-Apr-2024","3","10.49"
"MRP","CONRESC","01-Apr-2024","3","9.25"
"MRP","CONRESD","01-Apr-2024","3","7.40"
"MRP","CONRESE","01-Apr-2024","3","3.08"
"MRP","PRIRESA","01-Apr-2024","3","5.00"
"MRP","PRIRESB","01-Apr-2024","3","4.25"
"MRP","PRIRESC","01-Apr-2024","3","3.75"
"MRP","PRIRESD","01-Apr-2024","3","3.00"
"MRP","PRIRESE","01-Apr-2024","3","1.25"
"MRP","CONRESA","01-Apr-2024","4","10.00"
"MRP","CONRESB","01-Apr-2024","4","8.50"
"MRP","CONRESC","01-Apr-2024","4","7.50"
"MRP","CONRESD","01-Apr-2024","4","6.00"
"MRP","CONRESE","01-Apr-2024","4","2.50"
"MRP","PRIRESA","01-Apr-2024","4","3.49"
"MRP","PRIRESB","01-Apr-2024","4","2.97"
"MRP","PRIRESC","01-Apr-2024","4","2.62"
"MRP","PRIRESD","01-Apr-2024","4","2.10"
"MRP","PRIRESE","01-Apr-2024","4","0.87"
"MRP","CONRESA","01-Apr-2024","5","10.00"
"MRP","CONRESB","01-Apr-2024","5","8.50"
"MRP","CONRESC","01-Apr-2024","5","7.50"
"MRP","CONRESD","01-Apr-2024","5","6.00"
"MRP","CONRESE","01-Apr-2024","5","2.50"
"MRP","PRIRESA","01-Apr-2024","5","1.33"
"MRP","PRIRESB","01-Apr-2024","5","1.13"
"MRP","PRIRESC","01-Apr-2024","5","1.00"
"MRP","PRIRESD","01-Apr-2024","5","0.80"
"MRP","PRIRESE","01-Apr-2024","5","0.33"
"MRP","CONRESA","01-Apr-2024","6","10.00"
