"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Feb-2024","1","0.10"
"MRP","CONRESB","01-Feb-2024","1","0.08"
"MRP","CONRESC","01-Feb-2024","1","0.07"
"MRP","CONRESD","01-Feb-2024","1","0.06"
"MRP","CONRESE","01-Feb-2024","1","0.02"
"MRP","PRIRESA","01-Feb-2024","1","0.01"
"MRP","PRIRESB","01-Feb-2024","1","0.01"
"MRP","PRIRESC","01-Feb-2024","1","0.01"
"MRP","PRIRESD","01-Feb-2024","1","0.01"
"MRP","PRIRESE","01-Feb-2024","1","0.00"
"MRP","CONRESA","01-Feb-2024","2","0.01"
"MRP","CONRESB","01-Feb-2024","2","0.01"
"MRP","CONRESC","01-Feb-2024","2","0.01"
"MRP","CONRESD","01-Feb-2024","2","0.01"
"MRP","CONRESE","01-Feb-2024","2","0.00"
"MRP","PRIRESA","01-Feb-2024","2","0.01"
"MRP","PRIRESB","01-Feb-2024","2","0.01"
"MRP","PRIRESC","01-Feb-2024","2","0.01"
"MRP","PRIRESD","01-Feb-2024","2","0.01"
"MRP","PRIRESE","01-Feb-2024","2","0.00"
"MRP","CONRESA","01-Feb-2024","3","0.01"
"MRP","CONRESB","01-Feb-2024","3","0.01"
"MRP","CONRESC","01-Feb-2024","3","0.01"
"MRP","CONRESD","01-Feb-2024","3","0.01"
"MRP","CONRESE","01-Feb-2024","3","0.00"
"MRP","PRIRESA","01-Feb-2024","3","0.01"
"MRP","PRIRESB","01-Feb-2024","3","0.01"
"MRP","PRIRESC","01-Feb-2024","3","0.01"
"MRP","PRIRESD","01-Feb-2024","3","0.01"
"MRP","PRIRESE","01-Feb-2024","3","0.00"
"MRP","CONRESA","01-Feb-2024","4","0.01"
"MRP","CONRESB","01-Feb-2024","4","0.01"
"MRP","CONRESC","01-Feb-2024","4","0.01"
"MRP","CONRESD","01-Feb-2024","4","0.01"
"MRP","CONRESE","01-Feb-2024","4","0.00"
"MRP","PRIRESA","01-Feb-2024","4","0.01"
"MRP","PRIRESB","01-Feb-2024","4","0.01"
"MRP","PRIRESC","01-Feb-2024","4","0.01"
"MRP","PRIRESD","01-Feb-2024","4","0.01"
"MRP","PRIRESE","01-Feb-2024","4","0.00"
"MRP","CONRESA","01-Feb-2024","5","0.01"
"MRP","CONRESB","01-Feb-2024","5","0.01"
"MRP","CONRESC","01-Feb-2024","5","0.01"
"MRP","CONRESD","01-Feb-2024","5","0.01"
"MRP","CONRESE","01-Feb-2024","5","0.00"
"MRP","PRIRESA","01-Feb-2024","5","0.01"
"MRP","PRIRESB","01-Feb-2024","5","0.01"
"MRP","PRIRESC","01-Feb-2024","5","0.01"
"MRP","PRIRESD","01-Feb-2024","5","0.01"
"MRP","PRIRESE","01-Feb-2024","5","0.00"
"MRP","CONRESA","01-Feb-2024","6","0.01"
"MRP","CONRESB","01-Feb-2024","6","0.01"
"MRP","CONRESC","01-Feb-2024","6","0.01"
"MRP","CONRESD","01-Feb-2024","6","0.01"
"MRP","CONRESE","01-Feb-2024","6","0.00"
"MRP","PRIRESA","01-Feb-2024","6","0.01"
"MRP","PRIRESB","01-Feb-2024","6","0.01"
"MRP","PRIRESC","01-Feb-2024","6","0.01"
"MRP","PRIRESD","01-Feb-2024","6","0.01"
"MRP","PRIRESE","01-Feb-2024","6","0.00"
"MRP","CONRESA","01-Feb-2024","7","0.01"
"MRP","CONRESB","01-Feb-2024","7","0.01"
"MRP","CONRESC","01-Feb-2024","7","0.01"
"MRP","CONRESD","01-Feb-2024","7","0.01"
"MRP","CONRESE","01-Feb-2024","7","0.00"
"MRP","PRIRESA","01-Feb-2024","7","0.01"
"MRP","PRIRESB","01-Feb-2024","7","0.01"
"MRP","PRIRESC","01-Feb-2024","7","0.01"
"MRP","PRIRESD","01-Feb-2024","7","0.01"
"MRP","PRIRESE","01-Feb-2024","7","0.00"
"MRP","CONRESA","01-Feb-2024","8","0.01"
"MRP","CONRESB","01-Feb-2024","8","0.01"
"MRP","CONRESC","01-Feb-2024","8","0.01"
"MRP","CONRESD","01-Feb-2024","8","0.01"
"MRP","CONRESE","01-Feb-2024","8","0.00"
"MRP","PRIRESA","01-Feb-2024","8","0.01"
"MRP","PRIRESB","01-Feb-2024","8","0.01"
"MRP","PRIRESC","01-Feb-2024","8","0.01"
"MRP","PRIRESD","01-Feb-2024","8","0.01"
"MRP","PRIRESE","01-Feb-2024","8","0.00"
"MRP","CONRESA","01-Feb-2024","9","0.01"
"MRP","CONRESB","01-Feb-2024","9","0.01"
"MRP","CONRESC","01-Feb-2024","9","0.01"
"MRP","CONRESD","01-Feb-2024","9","0.01"
"MRP","CONRESE","01-Feb-2024","9","0.00"
"MRP","PRIRESA","01-Feb-2024","9","0.01"
"MRP","PRIRESB","01-Feb-2024","9","0.01"
"MRP","PRIRESC","01-Feb-2024","9","0.01"
"MRP","PRIRESD","01-Feb-2024","9","0.01"
"MRP","PRIRESE","01-Feb-2024","9","0.00"
"MRP","CONRESA","01-Feb-2024","10","0.01"
"MRP","CONRESB","01-Feb-2024","10","0.01"
"MRP","CONRESC","01-Feb-2024","10","0.01"
"MRP","CONRESD","01-Feb-2024","10","0.01"
"MRP","CONRESE","01-Feb-2024","10","0.00"
"MRP","PRIRESA","01-Feb-2024","10","0.01"
"MRP","PRIRESB","01-Feb-2024","10","0.01"
"MRP","PRIRESC","01-Feb-2024","10","0.01"
"MRP","PRIRESD","01-Feb-2024","10","0.01"
"MRP","PRIRESE","01-Feb-2024","10","0.00"
"MRP","CONRESA","01-Feb-2024","11","0.01"
"MRP","CONRESB","01-Feb-2024","11","0.01"
"MRP","CONRESC","01-Feb-2024","11","0.01"
"MRP","CONRESD","01-Feb-2024","11","0.01"
"MRP","CONRESE","01-Feb-2024","11","0.00"
"MRP","PRIRESA","01-Feb-2024","11","0.01"
"MRP","PRIRESB","01-Feb-2024","11","0.01"
"MRP","PRIRESC","01-Feb-2024","11","0.01"
"MRP","PRIRESD","01-Feb-2024","11","0.01"
"MRP","PRIRESE","01-Feb-2024","11","0.00"
"MRP","CONRESA","01-Feb-2024","12","0.01"
"MRP","CONRESB","01-Feb-2024","12","0.01"
"MRP","CONRESC","01-Feb-2024","12","0.01"
"MRP","CONRESD","01-Feb-2024","12","0.01"
"MRP","CONRESE","01-Feb-2024","12","0.00"
"MRP","PRIRESA","01-Feb-2024","12","0.01"
"MRP","PRIRESB","01-Feb-2024","12","0.01"
"MRP","PRIRESC","01-Feb-2024","12","0.01"
"MRP","PRIRESD","01-Feb-2024","12","0.01"
"MRP","PRIRESE","01-Feb-2024","12","0.00"
"MRP","CONRESA","01-Feb-2024","13","0.01"
"MRP","CONRESB","01-Feb-2024","13","0.01"
"MRP","CONRESC","01-Feb-2024","13","0.01"
"MRP","CONRESD","01-Feb-2024","13","0.01"
"MRP","CONRESE","01-Feb-2024","13","0.00"
"MRP","PRIRESA","01-Feb-2024","13","0.01"
"MRP","PRIRESB","01-Feb-2024","13","0.01"
"MRP","PRIRESC","01-Feb-2024","13","0.01"
"MRP","PRIRESD","01-Feb-2024","13","0.01"
"MRP","PRIRESE","01-Feb-2024","13","0.00"
"MRP","CONRESA","01-Feb-2024","14","3.79"
"MRP","CONRESB","01-Feb-2024","14","3.22"
"MRP","CONRESC","01-Feb-2024","14","2.84"
"MRP","CONRESD","01-Feb-2024","14","2.27"
"MRP","CONRESE","01-Feb-2024","14","0.95"
"MRP","PRIRESA","01-Feb-2024","14","0.01"
"MRP","PRIRESB","01-Feb-2024","14","0.01"
"MRP","PRIRESC","01-Feb-2024","14","0.01"
"MRP","PRIRESD","01-Feb-2024","14","0.01"
"MRP","PRIRESE","01-Feb-2024","14","0.00"
"MRP","CONRESA","01-Feb-2024","15","1.05"
"MRP","CONRESB","01-Feb-2024","15","0.89"
"MRP","CONRESC","01-Feb-2024","15","0.79"
"MRP","CONRESD","01-Feb-2024","15","0.63"
"MRP","CONRESE","01-Feb-2024","15","0.26"
"MRP","PRIRESA","01-Feb-2024","15","0.01"
"MRP","PRIRESB","01-Feb-2024","15","0.01"
"MRP","PRIRESC","01-Feb-2024","15","0.01"
"MRP","PRIRESD","01-Feb-2024","15","0.01"
"MRP","PRIRESE","01-Feb-2024","15","0.00"
"MRP","CONRESA","01-Feb-2024","16","5.56"
"MRP","CONRESB","01-Feb-2024","16","4.72"
"MRP","CONRESC","01-Feb-2024","16","4.17"
"MRP","CONRESD","01-Feb-2024","16","3.33"
"MRP","CONRESE","01-Feb-2024","16","1.39"
"MRP","PRIRESA","01-Feb-2024","16","0.01"
"MRP","PRIRESB","01-Feb-2024","16","0.01"
"MRP","PRIRESC","01-Feb-2024","16","0.01"
"MRP","PRIRESD","01-Feb-2024","16","0.01"
"MRP","PRIRESE","01-Feb-2024","16","0.00"
"MRP","CONRESA","01-Feb-2024","17","0.50"
"MRP","CONRESB","01-Feb-2024","17","0.42"
"MRP","CONRESC","01-Feb-2024","17","0.38"
"MRP","CONRESD","01-Feb-2024","17","0.30"
"MRP","CONRESE","01-Feb-2024","17","0.12"
"MRP","PRIRESA","01-Feb-2024","17","0.01"
"MRP","PRIRESB","01-Feb-2024","17","0.01"
"MRP","PRIRESC","01-Feb-2024","17","0.01"
"MRP","PRIRESD","01-Feb-2024","17","0.01"
"MRP","PRIRESE","01-Feb-2024","17","0.00"
"MRP","CONRESA","01-Feb-2024","18","2.00"
"MRP","CONRESB","01-Feb-2024","18","1.70"
"MRP","CONRESC","01-Feb-2024","18","1.50"
"MRP","CONRESD","01-Feb-2024","18","1.20"
"MRP","CONRESE","01-Feb-2024","18","0.50"
"MRP","PRIRESA","01-Feb-2024","18","0.01"
"MRP","PRIRESB","01-Feb-2024","18","0.01"
"MRP","PRIRESC","01-Feb-2024","18","0.01"
"MRP","PRIRESD","01-Feb-2024","18","0.01"
"MRP","PRIRESE","01-Feb-2024","18","0.00"
"MRP","CONRESA","01-Feb-2024","19","2.00"
"MRP","CONRESB","01-Feb-2024","19","1.70"
"MRP","CONRESC","01-Feb-2024","19","1.50"
"MRP","CONRESD","01-Feb-2024","19","1.20"
"MRP","CONRESE","01-Feb-2024","19","0.50"
"MRP","PRIRESA","01-Feb-2024","19","0.01"
"MRP","PRIRESB","01-Feb-2024","19","0.01"
"MRP","PRIRESC","01-Feb-2024","19","0.01"
"MRP","PRIRESD","01-Feb-2024","19","0.01"
"MRP","PRIRESE","01-Feb-2024","19","0.00"
"MRP","CONRESA","01-Feb-2024","20","8.88"
"MRP","CONRESB","01-Feb-2024","20","7.55"
"MRP","CONRESC","01-Feb-2024","20","6.66"
"MRP","CONRESD","01-Feb-2024","20","5.33"
"MRP","CONRESE","01-Feb-2024","20","2.22"
"MRP","PRIRESA","01-Feb-2024","20","0.01"
"MRP","PRIRESB","01-Feb-2024","20","0.01"
"MRP","PRIRESC","01-Feb-2024","20","0.01"
"MRP","PRIRESD","01-Feb-2024","20","0.01"
"MRP","PRIRESE","01-Feb-2024","20","0.00"
"MRP","CONRESA","01-Feb-2024","21","5.10"
"MRP","CONRESB","01-Feb-2024","21","4.33"
"MRP","CONRESC","01-Feb-2024","21","3.82"
"MRP","CONRESD","01-Feb-2024","21","3.06"
"MRP","CONRESE","01-Feb-2024","21","1.27"
"MRP","PRIRESA","01-Feb-2024","21","0.01"
"MRP","PRIRESB","01-Feb-2024","21","0.01"
"MRP","PRIRESC","01-Feb-2024","21","0.01"
"MRP","PRIRESD","01-Feb-2024","21","0.01"
"MRP","PRIRESE","01-Feb-2024","21","0.00"
"MRP","CONRESA","01-Feb-2024","22","7.18"
"MRP","CONRESB","01-Feb-2024","22","6.10"
"MRP","CONRESC","01-Feb-2024","22","5.38"
"MRP","CONRESD","01-Feb-2024","22","4.31"
"MRP","CONRESE","01-Feb-2024","22","1.79"
"MRP","PRIRESA","01-Feb-2024","22","0.01"
"MRP","PRIRESB","01-Feb-2024","22","0.01"
"MRP","PRIRESC","01-Feb-2024","22","0.01"
"MRP","PRIRESD","01-Feb-2024","22","0.01"
"MRP","PRIRESE","01-Feb-2024","22","0.00"
"MRP","CONRESA","01-Feb-2024","23","8.88"
"MRP","CONRESB","01-Feb-2024","23","7.55"
"MRP","CONRESC","01-Feb-2024","23","6.66"
"MRP","CONRESD","01-Feb-2024","23","5.33"
"MRP","CONRESE","01-Feb-2024","23","2.22"
"MRP","PRIRESA","01-Feb-2024","23","0.01"
"MRP","PRIRESB","01-Feb-2024","23","0.01"
"MRP","PRIRESC","01-Feb-2024","23","0.01"
"MRP","PRIRESD","01-Feb-2024","23","0.01"
"MRP","PRIRESE","01-Feb-2024","23","0.00"
"MRP","CONRESA","01-Feb-2024","24","2.00"
"MRP","CONRESB","01-Feb-2024","24","1.70"
"MRP","CONRESC","01-Feb-2024","24","1.50"
"MRP","CONRESD","01-Feb-2024","24","1.20"
"MRP","CONRESE","01-Feb-2024","24","0.50"
"MRP","PRIRESA","01-Feb-2024","24","0.01"
"MRP","PRIRESB","01-Feb-2024","24","0.01"
"MRP","PRIRESC","01-Feb-2024","24","0.01"
"MRP","PRIRESD","01-Feb-2024","24","0.01"
"MRP","PRIRESE","01-Feb-2024","24","0.00"
"MRP","CONRESA","01-Feb-2024","25","1.05"
"MRP","CONRESB","01-Feb-2024","25","0.89"
"MRP","CONRESC","01-Feb-2024","25","0.79"
