"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Jan-2024","1","5.16"
"MRP","CONRESB","01-Jan-2024","1","4.38"
"MRP","CONRESC","01-Jan-2024","1","3.87"
"MRP","CONRESD","01-Jan-2024","1","3.10"
"MRP","CONRESE","01-Jan-2024","1","1.29"
"MRP","PRIRESA","01-Jan-2024","1","0.06"
"MRP","PRIRESB","01-Jan-2024","1","0.05"
"MRP","PRIRESC","01-Jan-2024","1","0.05"
"MRP","PRIRESD","01-Jan-2024","1","0.04"
"MRP","PRIRESE","01-Jan-2024","1","0.02"
"MRP","CONRESA","01-Jan-2024","2","10.00"
"MRP","CONRESB","01-Jan-2024","2","8.50"
"MRP","CONRESC","01-Jan-2024","2","7.50"
"MRP","CONRESD","01-Jan-2024","2","6.00"
"MRP","CONRESE","01-Jan-2024","2","2.50"
"MRP","PRIRESA","01-Jan-2024","2","0.06"
"MRP","PRIRESB","01-Jan-2024","2","0.05"
"MRP","PRIRESC","01-Jan-2024","2","0.05"
"MRP","PRIRESD","01-Jan-2024","2","0.04"
"MRP","PRIRESE","01-Jan-2024","2","0.02"
"MRP","CONRESA","01-Jan-2024","3","10.00"
"MRP","CONRESB","01-Jan-2024","3","8.50"
"MRP","CONRESC","01-Jan-2024","3","7.50"
"MRP","CONRESD","01-Jan-2024","3","6.00"
"MRP","CONRESE","01-Jan-2024","3","2.50"
"MRP","PRIRESA","01-Jan-2024","3","0.05"
"MRP","PRIRESB","01-Jan-2024","3","0.04"
"MRP","PRIRESC","01-Jan-2024","3","0.04"
"MRP","PRIRESD","01-Jan-2024","3","0.03"
"MRP","PRIRESE","01-Jan-2024","3","0.01"
"MRP","CONRESA","01-Jan-2024","4","10.00"
"MRP","CONRESB","01-Jan-2024","4","8.50"
"MRP","CONRESC","01-Jan-2024","4","7.50"
"MRP","CONRESD","01-Jan-2024","4","6.00"
"MRP","CONRESE","01-Jan-2024","4","2.50"
"MRP","PRIRESA","01-Jan-2024","4","0.05"
"MRP","PRIRESB","01-Jan-2024","4","0.04"
"MRP","PRIRESC","01-Jan-2024","4","0.04"
"MRP","PRIRESD","01-Jan-2024","4","0.03"
"MRP","PRIRESE","01-Jan-2024","4","0.01"
"MRP","CONRESA","01-Jan-2024","5","10.00"
"MRP","CONRESB","01-Jan-2024","5","8.50"
"MRP","CONRESC","01-Jan-2024","5","7.50"
"MRP","CONRESD","01-Jan-2024","5","6.00"
"MRP","CONRESE","01-Jan-2024","5","2.50"
"MRP","PRIRESA","01-Jan-2024","5","0.06"
"MRP","PRIRESB","01-Jan-2024","5","0.05"
"MRP","PRIRESC","01-Jan-2024","5","0.04"
"MRP","PRIRESD","01-Jan-2024","5","0.04"
"MRP","PRIRESE","01-Jan-2024","5","0.02"
"MRP","CONRESA","01-Jan-2024","6","10.00"
"MRP","CONRESB","01-Jan-2024","6","8.50"
"MRP","CONRESC","01-Jan-2024","6","7.50"
"MRP","CONRESD","01-Jan-2024","6","6.00"
"MRP","CONRESE","01-Jan-2024","6","2.50"
"MRP","PRIRESA","01-Jan-2024","6","0.06"
"MRP","PRIRESB","01-Jan-2024","6","0.05"
"MRP","PRIRESC","01-Jan-2024","6","0.05"
"MRP","PRIRESD","01-Jan-2024","6","0.04"
"MRP","PRIRESE","01-Jan-2024","6","0.02"
"MRP","CONRESA","01-Jan-2024","7","10.00"
"MRP","CONRESB","01-Jan-2024","7","8.50"
"MRP","CONRESC","01-Jan-2024","7","7.50"
"MRP","CONRESD","01-Jan-2024","7","6.00"
"MRP","CONRESE","01-Jan-2024","7","2.50"
"MRP","PRIRESA","01-Jan-2024","7","0.06"
"MRP","PRIRESB","01-Jan-2024","7","0.05"
"MRP","PRIRESC","01-Jan-2024","7","0.05"
"MRP","PRIRESD","01-Jan-2024","7","0.04"
"MRP","PRIRESE","01-Jan-2024","7","0.02"
"MRP","CONRESA","01-Jan-2024","8","10.00"
"MRP","CONRESB","01-Jan-2024","8","8.50"
"MRP","CONRESC","01-Jan-2024","8","7.50"
"MRP","CONRESD","01-Jan-2024","8","6.00"
"MRP","CONRESE","01-Jan-2024","8","2.50"
"MRP","PRIRESA","01-Jan-2024","8","0.06"
"MRP","PRIRESB","01-Jan-2024","8","0.05"
"MRP","PRIRESC","01-Jan-2024","8","0.04"
"MRP","PRIRESD","01-Jan-2024","8","0.04"
"MRP","PRIRESE","01-Jan-2024","8","0.01"
"MRP","CONRESA","01-Jan-2024","9","0.01"
"MRP","CONRESB","01-Jan-2024","9","0.01"
"MRP","CONRESC","01-Jan-2024","9","0.01"
"MRP","CONRESD","01-Jan-2024","9","0.01"
"MRP","CONRESE","01-Jan-2024","9","0.00"
"MRP","PRIRESA","01-Jan-2024","9","0.06"
"MRP","PRIRESB","01-Jan-2024","9","0.05"
"MRP","PRIRESC","01-Jan-2024","9","0.05"
"MRP","PRIRESD","01-Jan-2024","9","0.04"
"MRP","PRIRESE","01-Jan-2024","9","0.02"
"MRP","CONRESA","01-Jan-2024","10","0.01"
"MRP","CONRESB","01-Jan-2024","10","0.01"
"MRP","CONRESC","01-Jan-2024","10","0.01"
"MRP","CONRESD","01-Jan-2024","10","0.01"
"MRP","CONRESE","01-Jan-2024","10","0.00"
"MRP","PRIRESA","01-Jan-2024","10","0.05"
"MRP","PRIRESB","01-Jan-2024","10","0.04"
"MRP","PRIRESC","01-Jan-2024","10","0.04"
"MRP","PRIRESD","01-Jan-2024","10","0.03"
"MRP","PRIRESE","01-Jan-2024","10","0.01"
"MRP","CONRESA","01-Jan-2024","11","0.01"
"MRP","CONRESB","01-Jan-2024","11","0.01"
"MRP","CONRESC","01-Jan-2024","11","0.01"
"MRP","CONRESD","01-Jan-2024","11","0.01"
"MRP","CONRESE","01-Jan-2024","11","0.00"
"MRP","PRIRESA","01-Jan-2024","11","0.05"
"MRP","PRIRESB","01-Jan-2024","11","0.04"
"MRP","PRIRESC","01-Jan-2024","11","0.04"
"MRP","PRIRESD","01-Jan-2024","11","0.03"
"MRP","PRIRESE","01-Jan-2024","11","0.01"
"MRP","CONRESA","01-Jan-2024","12","0.01"
"MRP","CONRESB","01-Jan-2024","12","0.01"
"MRP","CONRESC","01-Jan-2024","12","0.01"
"MRP","CONRESD","01-Jan-2024","12","0.01"
"MRP","CONRESE","01-Jan-2024","12","0.00"
"MRP","PRIRESA","01-Jan-2024","12","0.06"
"MRP","PRIRESB","01-Jan-2024","12","0.05"
"MRP","PRIRESC","01-Jan-2024","12","0.04"
"MRP","PRIRESD","01-Jan-2024","12","0.04"
"MRP","PRIRESE","01-Jan-2024","12","0.01"
"MRP","CONRESA","01-Jan-2024","13","7.55"
"MRP","CONRESB","01-Jan-2024","13","6.41"
"MRP","CONRESC","01-Jan-2024","13","5.66"
"MRP","CONRESD","01-Jan-2024","13","4.53"
"MRP","CONRESE","01-Jan-2024","13","1.89"
"MRP","PRIRESA","01-Jan-2024","13","0.55"
"MRP","PRIRESB","01-Jan-2024","13","0.47"
"MRP","PRIRESC","01-Jan-2024","13","0.41"
"MRP","PRIRESD","01-Jan-2024","13","0.33"
"MRP","PRIRESE","01-Jan-2024","13","0.14"
"MRP","CONRESA","01-Jan-2024","14","0.01"
"MRP","CONRESB","01-Jan-2024","14","0.01"
"MRP","CONRESC","01-Jan-2024","14","0.01"
"MRP","CONRESD","01-Jan-2024","14","0.01"
"MRP","CONRESE","01-Jan-2024","14","0.00"
"MRP","PRIRESA","01-Jan-2024","14","0.02"
"MRP","PRIRESB","01-Jan-2024","14","0.02"
"MRP","PRIRESC","01-Jan-2024","14","0.02"
"MRP","PRIRESD","01-Jan-2024","14","0.01"
"MRP","PRIRESE","01-Jan-2024","14","0.01"
"MRP","CONRESA","01-Jan-2024","15","0.01"
"MRP","CONRESB","01-Jan-2024","15","0.01"
"MRP","CONRESC","01-Jan-2024","15","0.01"
"MRP","CONRESD","01-Jan-2024","15","0.01"
"MRP","CONRESE","01-Jan-2024","15","0.00"
"MRP","PRIRESA","01-Jan-2024","15","0.01"
"MRP","PRIRESB","01-Jan-2024","15","0.01"
"MRP","PRIRESC","01-Jan-2024","15","0.01"
"MRP","PRIRESD","01-Jan-2024","15","0.01"
"MRP","PRIRESE","01-Jan-2024","15","0.00"
"MRP","CONRESA","01-Jan-2024","16","0.10"
"MRP","CONRESB","01-Jan-2024","16","0.09"
"MRP","CONRESC","01-Jan-2024","16","0.08"
"MRP","CONRESD","01-Jan-2024","16","0.06"
"MRP","CONRESE","01-Jan-2024","16","0.03"
"MRP","PRIRESA","01-Jan-2024","16","0.05"
"MRP","PRIRESB","01-Jan-2024","16","0.04"
"MRP","PRIRESC","01-Jan-2024","16","0.04"
"MRP","PRIRESD","01-Jan-2024","16","0.03"
"MRP","PRIRESE","01-Jan-2024","16","0.01"
"MRP","CONRESA","01-Jan-2024","17","0.10"
"MRP","CONRESB","01-Jan-2024","17","0.09"
"MRP","CONRESC","01-Jan-2024","17","0.08"
"MRP","CONRESD","01-Jan-2024","17","0.06"
"MRP","CONRESE","01-Jan-2024","17","0.03"
"MRP","PRIRESA","01-Jan-2024","17","0.06"
"MRP","PRIRESB","01-Jan-2024","17","0.05"
"MRP","PRIRESC","01-Jan-2024","17","0.05"
"MRP","PRIRESD","01-Jan-2024","17","0.04"
"MRP","PRIRESE","01-Jan-2024","17","0.02"
"MRP","CONRESA","01-Jan-2024","18","0.10"
"MRP","CONRESB","01-Jan-2024","18","0.09"
"MRP","CONRESC","01-Jan-2024","18","0.08"
"MRP","CONRESD","01-Jan-2024","18","0.06"
"MRP","CONRESE","01-Jan-2024","18","0.03"
"MRP","PRIRESA","01-Jan-2024","18","0.06"
"MRP","PRIRESB","01-Jan-2024","18","0.05"
"MRP","PRIRESC","01-Jan-2024","18","0.05"
"MRP","PRIRESD","01-Jan-2024","18","0.04"
"MRP","PRIRESE","01-Jan-2024","18","0.02"
"MRP","CONRESA","01-Jan-2024","19","0.05"
"MRP","CONRESB","01-Jan-2024","19","0.04"
"MRP","CONRESC","01-Jan-2024","19","0.04"
"MRP","CONRESD","01-Jan-2024","19","0.03"
"MRP","CONRESE","01-Jan-2024","19","0.01"
"MRP","PRIRESA","01-Jan-2024","19","0.06"
"MRP","PRIRESB","01-Jan-2024","19","0.05"
"MRP","PRIRESC","01-Jan-2024","19","0.05"
"MRP","PRIRESD","01-Jan-2024","19","0.04"
"MRP","PRIRESE","01-Jan-2024","19","0.02"
"MRP","CONRESA","01-Jan-2024","20","0.05"
"MRP","CONRESB","01-Jan-2024","20","0.04"
"MRP","CONRESC","01-Jan-2024","20","0.04"
"MRP","CONRESD","01-Jan-2024","20","0.03"
"MRP","CONRESE","01-Jan-2024","20","0.01"
"MRP","PRIRESA","01-Jan-2024","20","0.06"
"MRP","PRIRESB","01-Jan-2024","20","0.05"
"MRP","PRIRESC","01-Jan-2024","20","0.04"
"MRP","PRIRESD","01-Jan-2024","20","0.04"
"MRP","PRIRESE","01-Jan-2024","20","0.02"
"MRP","CONRESA","01-Jan-2024","21","0.05"
"MRP","CONRESB","01-Jan-2024","21","0.04"
"MRP","CONRESC","01-Jan-2024","21","0.04"
"MRP","CONRESD","01-Jan-2024","21","0.03"
"MRP","CONRESE","01-Jan-2024","21","0.01"
"MRP","PRIRESA","01-Jan-2024","21","0.50"
"MRP","PRIRESB","01-Jan-2024","21","0.42"
"MRP","PRIRESC","01-Jan-2024","21","0.38"
"MRP","PRIRESD","01-Jan-2024","21","0.30"
"MRP","PRIRESE","01-Jan-2024","21","0.12"
"MRP","CONRESA","01-Jan-2024","22","0.05"
"MRP","CONRESB","01-Jan-2024","22","0.04"
"MRP","CONRESC","01-Jan-2024","22","0.04"
"MRP","CONRESD","01-Jan-2024","22","0.03"
"MRP","CONRESE","01-Jan-2024","22","0.01"
"MRP","PRIRESA","01-Jan-2024","22","0.06"
"MRP","PRIRESB","01-Jan-2024","22","0.05"
"MRP","PRIRESC","01-Jan-2024","22","0.04"
"MRP","PRIRESD","01-Jan-2024","22","0.04"
"MRP","PRIRESE","01-Jan-2024","22","0.01"
"MRP","CONRESA","01-Jan-2024","23","0.05"
"MRP","CONRESB","01-Jan-2024","23","0.04"
"MRP","CONRESC","01-Jan-2024","23","0.04"
"MRP","CONRESD","01-Jan-2024","23","0.03"
"MRP","CONRESE","01-Jan-2024","23","0.01"
"MRP","PRIRESA","01-Jan-2024","23","0.06"
"MRP","PRIRESB","01-Jan-2024","23","0.05"
"MRP","PRIRESC","01-Jan-2024","23","0.04"
"MRP","PRIRESD","01-Jan-2024","23","0.04"
"MRP","PRIRESE","01-Jan-2024","23","0.01"
"MRP","CONRESA","01-Jan-2024","24","0.05"
"MRP","CONRESB","01-Jan-2024","24","0.04"
"MRP","CONRESC","01-Jan-2024","24","0.04"
"MRP","CONRESD","01-Jan-2024","24","0.03"
"MRP","CONRESE","01-Jan-2024","24","0.01"
"MRP","PRIRESA","01-Jan-2024","24","0.06"
"MRP","PRIRESB","01-Jan-2024","24","0.05"
"MRP","PRIRESC","01-Jan-2024","24","0.04"
"MRP","PRIRESD","01-Jan-2024","24","0.04"
"MRP","PRIRESE","01-Jan-2024","24","0.02"
"MRP","CONRESA","01-Jan-2024","25","0.05"
"MRP","CONRESB","01-Jan-2024","25","0.04"
"MRP","CONRESC","01-Jan-2024","25","0.04"
"MRP","CONRESD","01-Jan-2024","25","0.03"
"MRP","CONRESE","01-Jan-2024","25","0.01"
"MRP","PRIRESA","01-Jan-2024","25","0.06"
"MRP","PRIRESB","01-Jan-2024","25","0.05"
"MRP","PRIRESC","01-Jan-2024","25","0.04"
"MRP","PRIRESD","01-Jan-2024","25","0.04"
"MRP","PRIRESE","01-Jan-2024","25","0.01"
"MRP","CONRESA","01-Jan-2024","26","0.05"
"MRP","CONRESB","01-Jan-2024","26","0.04"
"MRP","CONRESC","01-Jan-2024","26","0.04"
"MRP","CONRESD","01-Jan-2024","26","0.03"
"MRP","CONRESE","01-Jan-2024","26","0.01"
"MRP","PRIRESA","01-Jan-2024","26","0.06"
"MRP","PRIRESB","01-Jan-2024","26","0.05"
"MRP","PRIRESC","01-Jan-2024","26","0.05"
"MRP","PRIRESD","01-Jan-2024","26","0.04"
"MRP","PRIRESE","01-Jan-2024","26","0.02"
"MRP","CONRESA","01-Jan-2024","27","0.05"
"MRP","CONRESB","01-Jan-2024","27","0.04"
"MRP","CONRESC","01-Jan-2024","27","0.04"
"MRP","CONRESD","01-Jan-2024","27","0.03"
"MRP","CONRESE","01-Jan-2024","27","0.01"
"MRP","PRIRESA","01-Jan-2024","27","0.06"
"MRP","PRIRESB","01-Jan-2024","27","0.05"
"MRP","PRIRESC","01-Jan-2024","27","0.05"
"MRP","PRIRESD","01-Jan-2024","27","0.04"
"MRP","PRIRESE","01-Jan-2024","27","0.02"
"MRP","CONRESA","01-Jan-2024","28","0.05"
"MRP","CONRESB","01-Jan-2024","28","0.04"
"MRP","CONRESC","01-Jan-2024","28","0.04"
"MRP","CONRESD","01-Jan-2024","28","0.03"
