"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Mar-2024","1","5.00"
"MRP","CONRESB","01-Mar-2024","1","4.25"
"MRP","CONRESC","01-Mar-2024","1","3.75"
"MRP","CONRESD","01-Mar-2024","1","3.00"
"MRP","CONRESE","01-Mar-2024","1","1.25"
"MRP","PRIRESA","01-Mar-2024","1","0.05"
"MRP","PRIRESB","01-Mar-2024","1","0.04"
"MRP","PRIRESC","01-Mar-2024","1","0.04"
"MRP","PRIRESD","01-Mar-2024","1","0.03"
"MRP","PRIRESE","01-Mar-2024","1","0.01"
"MRP","CONRESA","01-Mar-2024","2","5.00"
"MRP","CONRESB","01-Mar-2024","2","4.25"
"MRP","CONRESC","01-Mar-2024","2","3.75"
"MRP","CONRESD","01-Mar-2024","2","3.00"
"MRP","CONRESE","01-Mar-2024","2","1.25"
"MRP","PRIRESA","01-Mar-2024","2","0.05"
"MRP","PRIRESB","01-Mar-2024","2","0.04"
"MRP","PRIRESC","01-Mar-2024","2","0.04"
"MRP","PRIRESD","01-Mar-2024","2","0.03"
"MRP","PRIRESE","01-Mar-2024","2","0.01"
"MRP","CONRESA","01-Mar-2024","3","5.00"
"MRP","CONRESB","01-Mar-2024","3","4.25"
"MRP","CONRESC","01-Mar-2024","3","3.75"
"MRP","CONRESD","01-Mar-2024","3","3.00"
"MRP","CONRESE","01-Mar-2024","3","1.25"
"MRP","PRIRESA","01-Mar-2024","3","0.05"
"MRP","PRIRESB","01-Mar-2024","3","0.04"
"MRP","PRIRESC","01-Mar-2024","3","0.04"
"MRP","PRIRESD","01-Mar-2024","3","0.03"
"MRP","PRIRESE","01-Mar-2024","3","0.01"
"MRP","CONRESA","01-Mar-2024","4","5.00"
"MRP","CONRESB","01-Mar-2024","4","4.25"
"MRP","CONRESC","01-Mar-2024","4","3.75"
"MRP","CONRESD","01-Mar-2024","4","3.00"
"MRP","CONRESE","01-Mar-2024","4","1.25"
"MRP","PRIRESA","01-Mar-2024","4","0.05"
"MRP","PRIRESB","01-Mar-2024","4","0.04"
"MRP","PRIRESC","01-Mar-2024","4","0.04"
"MRP","PRIRESD","01-Mar-2024","4","0.03"
"MRP","PRIRESE","01-Mar-2024","4","0.01"
"MRP","CONRESA","01-Mar-2024","5","5.00"
"MRP","CONRESB","01-Mar-2024","5","4.25"
"MRP","CONRESC","01-Mar-2024","5","3.75"
"MRP","CONRESD","01-Mar-2024","5","3.00"
