"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Feb-2024","1","10.00"
"MFP","01-Feb-2024","2","10.00"
"MFP","01-Feb-2024","3","10.00"
"MFP","01-Feb-2024","4","10.00"
"MFP","01-Feb-2024","5","10.00"
"MFP","01-Feb-2024","6","9.80"
"MFP","01-Feb-2024","7","9.80"
"MFP","01-Feb-2024","8","9.80"
"MFP","01-Feb-2024","9","9.80"
"MFP","01-Feb-2024","10","9.80"
"MFP","01-Feb-2024","11","10.00"
"MFP","01-Feb-2024","12","10.00"
"MFP","01-Feb-2024","13","15.00"
"MFP","01-Feb-2024","14","22.22"
"MFP","01-Feb-2024","15","22.22"
"MFP","01-Feb-2024","16","10.00"
"MFP","01-Feb-2024","17","10.00"
"MFP","01-Feb-2024","18","22.03"
"MFP","01-Feb-2024","19","15.00"
"MFP","01-Feb-2024","20","18.38"
"MFP","01-Feb-2024","21","15.00"
"MFP","01-Feb-2024","22","15.00"
"MFP","01-Feb-2024","23","9.80"
"MFP","01-Feb-2024","24","9.80"
"MFP","01-Feb-2024","25","10.95"
"MFP","01-Feb-2024","26","10.00"
"MFP","01-Feb-2024","27","11.99"
"MFP","01-Feb-2024","28","12.97"
"MFP","01-Feb-2024","29","9.90"
"MFP","01-Feb-2024","30","15.00"
"MFP","01-Feb-2024","31","15.00"
"MFP","01-Feb-2024","32","15.00"
"MFP","01-Feb-2024","33","15.00"
"MFP","01-Feb-2024","34","18.00"
"MFP","01-Feb-2024","35","18.00"
"MFP","01-Feb-2024","36","18.00"
"MFP","01-Feb-2024","37","22.29"
"MFP","01-Feb-2024","38","33.33"
"MFP","01-Feb-2024","39","22.22"
"MFP","01-Feb-2024","40","19.90"
"MFP","01-Feb-2024","41","19.99"
"MFP","01-Feb-2024","42","19.99"
"MFP","01-Feb-2024","43","10.00"
"MFP","01-Feb-2024","44","10.55"
"MFP","01-Feb-2024","45","10.00"
"MFP","01-Feb-2024","46","10.00"
"MFP","01-Feb-2024","47","10.00"
"MFP","01-Feb-2024","48","10.00"
"MFP","02-Feb-2024","1","10.00"
