"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Jan-2024","1","20.03"
"MFP","01-Jan-2024","2","15.00"
"MFP","01-Jan-2024","3","10.00"
"MFP","01-Jan-2024","4","10.00"
"MFP","01-Jan-2024","5","10.00"
"MFP","01-Jan-2024","6","10.00"
"MFP","01-Jan-2024","7","10.00"
"MFP","01-Jan-2024","8","10.00"
"MFP","01-Jan-2024","9","9.80"
"MFP","01-Jan-2024","10","10.00"
"MFP","01-Jan-2024","11","10.00"
"MFP","01-Jan-2024","12","10.00"
"MFP","01-Jan-2024","13","20.03"
"MFP","01-Jan-2024","14","37.00"
"MFP","01-Jan-2024","15","53.57"
"MFP","01-Jan-2024","16","53.57"
"MFP","01-Jan-2024","17","20.03"
"MFP","01-Jan-2024","18","53.57"
"MFP","01-Jan-2024","19","20.03"
"MFP","01-Jan-2024","20","35.44"
"MFP","01-Jan-2024","21","29.17"
"MFP","01-Jan-2024","22","10.00"
"MFP","01-Jan-2024","23","10.00"
"MFP","01-Jan-2024","24","10.00"
"MFP","01-Jan-2024","25","10.00"
"MFP","01-Jan-2024","26","15.00"
"MFP","01-Jan-2024","27","10.00"
"MFP","01-Jan-2024","28","10.00"
"MFP","01-Jan-2024","29","10.00"
"MFP","01-Jan-2024","30","10.00"
"MFP","01-Jan-2024","31","10.00"
"MFP","01-Jan-2024","32","10.00"
"MFP","01-Jan-2024","33","10.00"
"MFP","01-Jan-2024","34","20.03"
"MFP","01-Jan-2024","35","10.00"
"MFP","01-Jan-2024","36","15.00"
"MFP","01-Jan-2024","37","58.88"
"MFP","01-Jan-2024","38","16.21"
"MFP","01-Jan-2024","39","68.80"
"MFP","01-Jan-2024","40","37.00"
"MFP","01-Jan-2024","41","20.03"
"MFP","01-Jan-2024","42","15.53"
"MFP","01-Jan-2024","43","10.09"
"MFP","01-Jan-2024","44","10.00"
"MFP","01-Jan-2024","45","10.00"
"MFP","01-Jan-2024","46","10.00"
"MFP","01-Jan-2024","47","10.00"
"MFP","01-Jan-2024","48","9.80"
"MFP","02-Jan-2024","1","15.00"
"MFP","02-Jan-2024","2","11.11"
"MFP","02-Jan-2024","3","10.00"
"MFP","02-Jan-2024","4","10.00"
"MFP","02-Jan-2024","5","10.00"
"MFP","02-Jan-2024","6","10.00"
"MFP","02-Jan-2024","7","10.00"
"MFP","02-Jan-2024","8","10.00"
"MFP","02-Jan-2024","9","9.80"
"MFP","02-Jan-2024","10","9.80"
"MFP","02-Jan-2024","11","10.00"
"MFP","02-Jan-2024","12","10.00"
"MFP","02-Jan-2024","13","11.11"
"MFP","02-Jan-2024","14","20.03"
"MFP","02-Jan-2024","15","44.44"
