"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Mar-2024","1","10.00"
"MFP","01-Mar-2024","2","9.80"
"MFP","01-Mar-2024","3","9.80"
"MFP","01-Mar-2024","4","9.80"
"MFP","01-Mar-2024","5","9.80"
"MFP","01-Mar-2024","6","9.80"
"MFP","01-Mar-2024","7","9.80"
"MFP","01-Mar-2024","8","9.80"
"MFP","01-Mar-2024","9","9.80"
"MFP","01-Mar-2024","10","9.80"
"MFP","01-Mar-2024","11","9.80"
"MFP","01-Mar-2024","12","10.00"
"MFP","01-Mar-2024","13","10.00"
"MFP","01-Mar-2024","14","13.33"
"MFP","01-Mar-2024","15","18.75"
"MFP","01-Mar-2024","16","39.00"
"MFP","01-Mar-2024","17","58.88"
"MFP","01-Mar-2024","18","100.24"
"MFP","01-Mar-2024","19","175.44"
"MFP","01-Mar-2024","20","175.41"
"MFP","01-Mar-2024","21","175.41"
"MFP","01-Mar-2024","22","93.48"
"MFP","01-Mar-2024","23","185.32"
"MFP","01-Mar-2024","24","175.41"
"MFP","01-Mar-2024","25","100.00"
"MFP","01-Mar-2024","26","93.03"
"MFP","01-Mar-2024","27","168.00"
"MFP","01-Mar-2024","28","67.77"
"MFP","01-Mar-2024","29","115.43"
"MFP","01-Mar-2024","30","175.80"
"MFP","01-Mar-2024","31","124.44"
"MFP","01-Mar-2024","32","175.41"
"MFP","01-Mar-2024","33","175.41"
"MFP","01-Mar-2024","34","186.37"
"MFP","01-Mar-2024","35","61.79"
"MFP","01-Mar-2024","36","37.07"
"MFP","01-Mar-2024","37","37.07"
"MFP","01-Mar-2024","38","37.07"
"MFP","01-Mar-2024","39","37.07"
"MFP","01-Mar-2024","40","37.07"
"MFP","01-Mar-2024","41","37.07"
"MFP","01-Mar-2024","42","37.07"
"MFP","01-Mar-2024","43","37.07"
"MFP","01-Mar-2024","44","35.00"
"MFP","01-Mar-2024","45","31.45"
"MFP","01-Mar-2024","46","13.00"
"MFP","01-Mar-2024","47","9.80"
"MFP","01-Mar-2024","48","9.80"
"MFP","02-Mar-2024","1","10.00"
"MFP","02-Mar-2024","2","9.80"
"MFP","02-Mar-2024","3","10.00"
"MFP","02-Mar-2024","4","9.80"
"MFP","02-Mar-2024","5","9.80"
