"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-May-2024","1","20.03"
"MFP","01-May-2024","2","30.00"
"MFP","01-May-2024","3","30.00"
"MFP","01-May-2024","4","30.00"
"MFP","01-May-2024","5","30.00"
"MFP","01-May-2024","6","30.00"
"MFP","01-May-2024","7","22.22"
"MFP","01-May-2024","8","12.12"
"MFP","01-May-2024","9","10.00"
"MFP","01-May-2024","10","14.74"
"MFP","01-May-2024","11","14.83"
"MFP","01-May-2024","12","30.00"
"MFP","01-May-2024","13","42.00"
"MFP","01-May-2024","14","49.54"
"MFP","01-May-2024","15","44.44"
"MFP","01-May-2024","16","44.00"
"MFP","01-May-2024","17","44.44"
"MFP","01-May-2024","18","72.97"
"MFP","01-May-2024","19","44.00"
"MFP","01-May-2024","20","38.00"
"MFP","01-May-2024","21","38.00"
"MFP","01-May-2024","22","44.44"
"MFP","01-May-2024","23","41.57"
"MFP","01-May-2024","24","28.00"
"MFP","01-May-2024","25","33.15"
"MFP","01-May-2024","26","62.15"
"MFP","01-May-2024","27","49.79"
"MFP","01-May-2024","28","29.95"
"MFP","01-May-2024","29","42.00"
"MFP","01-May-2024","30","30.00"
"MFP","01-May-2024","31","30.00"
"MFP","01-May-2024","32","44.44"
"MFP","01-May-2024","33","44.44"
"MFP","01-May-2024","34","45.94"
"MFP","01-May-2024","35","55.55"
"MFP","01-May-2024","36","70.00"
"MFP","01-May-2024","37","80.00"
"MFP","01-May-2024","38","175.44"
"MFP","01-May-2024","39","185.00"
"MFP","01-May-2024","40","185.31"
"MFP","01-May-2024","41","185.00"
"MFP","01-May-2024","42","185.00"
"MFP","01-May-2024","43","185.00"
"MFP","01-May-2024","44","183.00"
"MFP","01-May-2024","45","100.00"
"MFP","01-May-2024","46","61.62"
"MFP","01-May-2024","47","42.00"
"MFP","01-May-2024","48","42.00"
"MFP","02-May-2024","1","39.26"
"MFP","02-May-2024","2","37.21"
"MFP","02-May-2024","3","10.00"
"MFP","02-May-2024","4","10.00"
"MFP","02-May-2024","5","10.00"
"MFP","02-May-2024","6","9.80"
"MFP","02-May-2024","7","9.80"
"MFP","02-May-2024","8","9.80"
"MFP","02-May-2024","9","9.80"
"MFP","02-May-2024","10","10.00"
"MFP","02-May-2024","11","10.00"
"MFP","02-May-2024","12","10.00"
"MFP","02-May-2024","13","20.03"
"MFP","02-May-2024","14","30.00"
"MFP","02-May-2024","15","45.75"
"MFP","02-May-2024","16","43.76"
"MFP","02-May-2024","17","33.33"
"MFP","02-May-2024","18","64.94"
"MFP","02-May-2024","19","44.44"
"MFP","02-May-2024","20","67.77"
"MFP","02-May-2024","21","44.44"
"MFP","02-May-2024","22","44.44"
"MFP","02-May-2024","23","35.44"
"MFP","02-May-2024","24","49.99"
"MFP","02-May-2024","25","48.27"
"MFP","02-May-2024","26","48.36"
"MFP","02-May-2024","27","44.68"
"MFP","02-May-2024","28","44.44"
"MFP","02-May-2024","29","44.69"
"MFP","02-May-2024","30","125.48"
"MFP","02-May-2024","31","168.00"
"MFP","02-May-2024","32","178.37"
"MFP","02-May-2024","33","178.37"
"MFP","02-May-2024","34","180.82"
"MFP","02-May-2024","35","128.00"
"MFP","02-May-2024","36","70.00"
"MFP","02-May-2024","37","100.00"
"MFP","02-May-2024","38","70.00"
"MFP","02-May-2024","39","70.00"
"MFP","02-May-2024","40","35.44"
"MFP","02-May-2024","41","30.00"
"MFP","02-May-2024","42","30.09"
"MFP","02-May-2024","43","10.00"
"MFP","02-May-2024","44","10.00"
"MFP","02-May-2024","45","18.00"
"MFP","02-May-2024","46","30.00"
"MFP","02-May-2024","47","44.44"
"MFP","02-May-2024","48","30.00"
"MFP","03-May-2024","1","24.68"
"MFP","03-May-2024","2","20.03"
"MFP","03-May-2024","3","10.00"
"MFP","03-May-2024","4","10.00"
"MFP","03-May-2024","5","10.00"
"MFP","03-May-2024","6","10.00"
"MFP","03-May-2024","7","10.00"
"MFP","03-May-2024","8","10.00"
"MFP","03-May-2024","9","10.00"
"MFP","03-May-2024","10","10.00"
"MFP","03-May-2024","11","11.94"
"MFP","03-May-2024","12","21.54"
"MFP","03-May-2024","13","30.00"
"MFP","03-May-2024","14","33.33"
"MFP","03-May-2024","15","44.44"
"MFP","03-May-2024","16","35.44"
"MFP","03-May-2024","17","30.00"
"MFP","03-May-2024","18","44.44"
"MFP","03-May-2024","19","44.44"
"MFP","03-May-2024","20","30.00"
"MFP","03-May-2024","21","30.00"
"MFP","03-May-2024","22","22.22"
"MFP","03-May-2024","23","23.44"
"MFP","03-May-2024","24","23.44"
"MFP","03-May-2024","25","30.00"
"MFP","03-May-2024","26","30.00"
"MFP","03-May-2024","27","30.00"
"MFP","03-May-2024","28","24.68"
"MFP","03-May-2024","29","24.68"
"MFP","03-May-2024","30","30.00"
"MFP","03-May-2024","31","39.99"
"MFP","03-May-2024","32","124.44"
"MFP","03-May-2024","33","124.44"
"MFP","03-May-2024","34","168.00"
"MFP","03-May-2024","35","50.00"
"MFP","03-May-2024","36","30.00"
"MFP","03-May-2024","37","50.00"
"MFP","03-May-2024","38","44.44"
"MFP","03-May-2024","39","50.00"
"MFP","03-May-2024","40","44.44"
"MFP","03-May-2024","41","35.44"
"MFP","03-May-2024","42","34.67"
"MFP","03-May-2024","43","24.68"
"MFP","03-May-2024","44","24.68"
"MFP","03-May-2024","45","22.22"
"MFP","03-May-2024","46","10.00"
"MFP","03-May-2024","47","22.22"
"MFP","03-May-2024","48","22.22"
"MFP","04-May-2024","1","20.03"
"MFP","04-May-2024","2","10.00"
"MFP","04-May-2024","3","10.04"
"MFP","04-May-2024","4","10.05"
"MFP","04-May-2024","5","9.80"
"MFP","04-May-2024","6","9.80"
"MFP","04-May-2024","7","9.80"
"MFP","04-May-2024","8","9.80"
"MFP","04-May-2024","9","9.80"
"MFP","04-May-2024","10","9.80"
"MFP","04-May-2024","11","10.00"
"MFP","04-May-2024","12","20.03"
"MFP","04-May-2024","13","20.03"
"MFP","04-May-2024","14","20.03"
"MFP","04-May-2024","15","30.00"
"MFP","04-May-2024","16","32.91"
"MFP","04-May-2024","17","32.91"
"MFP","04-May-2024","18","60.62"
"MFP","04-May-2024","19","33.00"
"MFP","04-May-2024","20","35.44"
"MFP","04-May-2024","21","30.00"
"MFP","04-May-2024","22","30.00"
"MFP","04-May-2024","23","24.68"
"MFP","04-May-2024","24","14.67"
"MFP","04-May-2024","25","24.68"
"MFP","04-May-2024","26","30.00"
"MFP","04-May-2024","27","30.00"
"MFP","04-May-2024","28","30.00"
"MFP","04-May-2024","29","30.00"
"MFP","04-May-2024","30","30.00"
"MFP","04-May-2024","31","33.33"
"MFP","04-May-2024","32","33.33"
"MFP","04-May-2024","33","30.85"
"MFP","04-May-2024","34","33.33"
"MFP","04-May-2024","35","40.03"
"MFP","04-May-2024","36","44.44"
"MFP","04-May-2024","37","70.00"
"MFP","04-May-2024","38","70.00"
"MFP","04-May-2024","39","70.00"
"MFP","04-May-2024","40","70.00"
"MFP","04-May-2024","41","58.88"
"MFP","04-May-2024","42","44.44"
"MFP","04-May-2024","43","31.45"
"MFP","04-May-2024","44","33.33"
"MFP","04-May-2024","45","30.00"
"MFP","04-May-2024","46","10.00"
"MFP","04-May-2024","47","10.00"
"MFP","04-May-2024","48","10.00"
"MFP","05-May-2024","1","20.03"
"MFP","05-May-2024","2","20.03"
"MFP","05-May-2024","3","10.95"
"MFP","05-May-2024","4","10.00"
"MFP","05-May-2024","5","9.80"
"MFP","05-May-2024","6","9.80"
"MFP","05-May-2024","7","9.80"
"MFP","05-May-2024","8","9.80"
"MFP","05-May-2024","9","9.80"
"MFP","05-May-2024","10","9.80"
"MFP","05-May-2024","11","10.00"
"MFP","05-May-2024","12","20.03"
"MFP","05-May-2024","13","20.03"
"MFP","05-May-2024","14","20.03"
"MFP","05-May-2024","15","35.44"
"MFP","05-May-2024","16","33.11"
"MFP","05-May-2024","17","20.03"
"MFP","05-May-2024","18","33.33"
"MFP","05-May-2024","19","20.03"
"MFP","05-May-2024","20","22.22"
"MFP","05-May-2024","21","22.22"
"MFP","05-May-2024","22","20.15"
"MFP","05-May-2024","23","12.72"
"MFP","05-May-2024","24","11.99"
"MFP","05-May-2024","25","24.68"
"MFP","05-May-2024","26","24.68"
"MFP","05-May-2024","27","30.00"
"MFP","05-May-2024","28","22.22"
"MFP","05-May-2024","29","22.22"
"MFP","05-May-2024","30","22.22"
"MFP","05-May-2024","31","30.00"
"MFP","05-May-2024","32","24.68"
"MFP","05-May-2024","33","30.00"
"MFP","05-May-2024","34","39.78"
"MFP","05-May-2024","35","44.44"
"MFP","05-May-2024","36","48.44"
"MFP","05-May-2024","37","70.00"
"MFP","05-May-2024","38","67.77"
"MFP","05-May-2024","39","76.66"
"MFP","05-May-2024","40","44.44"
"MFP","05-May-2024","41","44.44"
"MFP","05-May-2024","42","44.44"
"MFP","05-May-2024","43","35.44"
"MFP","05-May-2024","44","33.33"
"MFP","05-May-2024","45","29.99"
"MFP","05-May-2024","46","9.99"
"MFP","05-May-2024","47","9.80"
"MFP","05-May-2024","48","9.80"
"MFP","06-May-2024","1","20.03"
"MFP","06-May-2024","2","10.00"
"MFP","06-May-2024","3","9.80"
"MFP","06-May-2024","4","9.80"
"MFP","06-May-2024","5","9.18"
"MFP","06-May-2024","6","9.18"
"MFP","06-May-2024","7","9.18"
"MFP","06-May-2024","8","9.18"
"MFP","06-May-2024","9","9.18"
"MFP","06-May-2024","10","9.18"
"MFP","06-May-2024","11","9.80"
"MFP","06-May-2024","12","10.00"
"MFP","06-May-2024","13","10.00"
"MFP","06-May-2024","14","10.00"
"MFP","06-May-2024","15","44.44"
"MFP","06-May-2024","16","33.33"
"MFP","06-May-2024","17","30.00"
"MFP","06-May-2024","18","44.44"
"MFP","06-May-2024","19","35.44"
"MFP","06-May-2024","20","44.44"
"MFP","06-May-2024","21","32.60"
"MFP","06-May-2024","22","30.00"
"MFP","06-May-2024","23","10.99"
"MFP","06-May-2024","24","9.80"
"MFP","06-May-2024","25","9.80"
"MFP","06-May-2024","26","9.80"
"MFP","06-May-2024","27","20.88"
"MFP","06-May-2024","28","9.80"
"MFP","06-May-2024","29","9.80"
"MFP","06-May-2024","30","13.67"
"MFP","06-May-2024","31","22.22"
"MFP","06-May-2024","32","22.22"
"MFP","06-May-2024","33","20.34"
"MFP","06-May-2024","34","22.22"
"MFP","06-May-2024","35","33.33"
"MFP","06-May-2024","36","31.45"
"MFP","06-May-2024","37","44.44"
"MFP","06-May-2024","38","35.44"
"MFP","06-May-2024","39","44.44"
"MFP","06-May-2024","40","35.44"
"MFP","06-May-2024","41","33.01"
"MFP","06-May-2024","42","31.45"
"MFP","06-May-2024","43","22.22"
"MFP","06-May-2024","44","18.54"
"MFP","06-May-2024","45","11.92"
"MFP","06-May-2024","46","9.80"
"MFP","06-May-2024","47","9.80"
"MFP","06-May-2024","48","9.80"
"MFP","07-May-2024","1","9.80"
"MFP","07-May-2024","2","9.80"
"MFP","07-May-2024","3","9.80"
"MFP","07-May-2024","4","9.80"
"MFP","07-May-2024","5","9.80"
"MFP","07-May-2024","6","9.18"
"MFP","07-May-2024","7","9.18"
"MFP","07-May-2024","8","9.18"
"MFP","07-May-2024","9","9.18"
"MFP","07-May-2024","10","9.18"
"MFP","07-May-2024","11","9.80"
"MFP","07-May-2024","12","9.80"
"MFP","07-May-2024","13","9.80"
"MFP","07-May-2024","14","10.00"
"MFP","07-May-2024","15","33.33"
"MFP","07-May-2024","16","22.22"
"MFP","07-May-2024","17","33.24"
"MFP","07-May-2024","18","44.44"
"MFP","07-May-2024","19","44.44"
"MFP","07-May-2024","20","61.79"
"MFP","07-May-2024","21","43.38"
"MFP","07-May-2024","22","33.33"
"MFP","07-May-2024","23","28.51"
"MFP","07-May-2024","24","24.93"
"MFP","07-May-2024","25","22.67"
"MFP","07-May-2024","26","22.67"
"MFP","07-May-2024","27","24.68"
"MFP","07-May-2024","28","20.88"
"MFP","07-May-2024","29","39.62"
"MFP","07-May-2024","30","41.29"
"MFP","07-May-2024","31","33.33"
"MFP","07-May-2024","32","33.33"
"MFP","07-May-2024","33","67.77"
"MFP","07-May-2024","34","34.47"
"MFP","07-May-2024","35","35.17"
"MFP","07-May-2024","36","34.47"
"MFP","07-May-2024","37","44.44"
"MFP","07-May-2024","38","43.45"
"MFP","07-May-2024","39","44.44"
"MFP","07-May-2024","40","35.73"
"MFP","07-May-2024","41","33.88"
"MFP","07-May-2024","42","33.33"
"MFP","07-May-2024","43","22.22"
"MFP","07-May-2024","44","22.22"
"MFP","07-May-2024","45","10.00"
"MFP","07-May-2024","46","9.80"
"MFP","07-May-2024","47","9.80"
"MFP","07-May-2024","48","9.80"
"MFP","08-May-2024","1","10.00"
"MFP","08-May-2024","2","9.80"
"MFP","08-May-2024","3","9.80"
"MFP","08-May-2024","4","9.80"
"MFP","08-May-2024","5","9.80"
"MFP","08-May-2024","6","1.33"
"MFP","08-May-2024","7","1.33"
"MFP","08-May-2024","8","1.33"
"MFP","08-May-2024","9","1.33"
"MFP","08-May-2024","10","1.33"
"MFP","08-May-2024","11","9.80"
"MFP","08-May-2024","12","10.00"
"MFP","08-May-2024","13","10.00"
"MFP","08-May-2024","14","10.00"
