"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Jul-2024","1","0.02"
"MRP","CONRESB","01-Jul-2024","1","0.02"
"MRP","CONRESC","01-Jul-2024","1","0.01"
"MRP","CONRESD","01-Jul-2024","1","0.01"
"MRP","CONRESE","01-Jul-2024","1","0.00"
"MRP","PRIRESA","01-Jul-2024","1","0.02"
"MRP","PRIRESB","01-Jul-2024","1","0.02"
"MRP","PRIRESC","01-Jul-2024","1","0.02"
"MRP","PRIRESD","01-Jul-2024","1","0.01"
"MRP","PRIRESE","01-Jul-2024","1","0.01"
"MRP","CONRESA","01-Jul-2024","2","0.01"
"MRP","CONRESB","01-Jul-2024","2","0.01"
"MRP","CONRESC","01-Jul-2024","2","0.01"
"MRP","CONRESD","01-Jul-2024","2","0.01"
"MRP","CONRESE","01-Jul-2024","2","0.00"
"MRP","PRIRESA","01-Jul-2024","2","0.01"
"MRP","PRIRESB","01-Jul-2024","2","0.01"
"MRP","PRIRESC","01-Jul-2024","2","0.01"
"MRP","PRIRESD","01-Jul-2024","2","0.01"
"MRP","PRIRESE","01-Jul-2024","2","0.00"
"MRP","CONRESA","01-Jul-2024","3","0.01"
"MRP","CONRESB","01-Jul-2024","3","0.01"
"MRP","CONRESC","01-Jul-2024","3","0.01"
"MRP","CONRESD","01-Jul-2024","3","0.01"
"MRP","CONRESE","01-Jul-2024","3","0.00"
"MRP","PRIRESA","01-Jul-2024","3","0.01"
"MRP","PRIRESB","01-Jul-2024","3","0.01"
"MRP","PRIRESC","01-Jul-2024","3","0.01"
"MRP","PRIRESD","01-Jul-2024","3","0.01"
"MRP","PRIRESE","01-Jul-2024","3","0.00"
"MRP","CONRESA","01-Jul-2024","4","0.01"
"MRP","CONRESB","01-Jul-2024","4","0.01"
"MRP","CONRESC","01-Jul-2024","4","0.01"
"MRP","CONRESD","01-Jul-2024","4","0.01"
"MRP","CONRESE","01-Jul-2024","4","0.00"
"MRP","PRIRESA","01-Jul-2024","4","0.01"
"MRP","PRIRESB","01-Jul-2024","4","0.01"
"MRP","PRIRESC","01-Jul-2024","4","0.01"
"MRP","PRIRESD","01-Jul-2024","4","0.01"
"MRP","PRIRESE","01-Jul-2024","4","0.00"
"MRP","CONRESA","01-Jul-2024","5","0.01"
"MRP","CONRESB","01-Jul-2024","5","0.01"
"MRP","CONRESC","01-Jul-2024","5","0.01"
"MRP","CONRESD","01-Jul-2024","5","0.01"
"MRP","CONRESE","01-Jul-2024","5","0.00"
"MRP","PRIRESA","01-Jul-2024","5","0.01"
"MRP","PRIRESB","01-Jul-2024","5","0.01"
"MRP","PRIRESC","01-Jul-2024","5","0.01"
"MRP","PRIRESD","01-Jul-2024","5","0.01"
"MRP","PRIRESE","01-Jul-2024","5","0.00"
"MRP","CONRESA","01-Jul-2024","6","0.01"
"MRP","CONRESB","01-Jul-2024","6","0.01"
"MRP","CONRESC","01-Jul-2024","6","0.01"
"MRP","CONRESD","01-Jul-2024","6","0.01"
"MRP","CONRESE","01-Jul-2024","6","0.00"
"MRP","PRIRESA","01-Jul-2024","6","0.01"
"MRP","PRIRESB","01-Jul-2024","6","0.01"
"MRP","PRIRESC","01-Jul-2024","6","0.01"
