"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Jun-2024","1","3.00"
"MRP","CONRESB","01-Jun-2024","1","2.55"
"MRP","CONRESC","01-Jun-2024","1","2.25"
"MRP","CONRESD","01-Jun-2024","1","1.80"
"MRP","CONRESE","01-Jun-2024","1","0.75"
"MRP","PRIRESA","01-Jun-2024","1","0.06"
"MRP","PRIRESB","01-Jun-2024","1","0.05"
"MRP","PRIRESC","01-Jun-2024","1","0.04"
"MRP","PRIRESD","01-Jun-2024","1","0.04"
"MRP","PRIRESE","01-Jun-2024","1","0.01"
"MRP","CONRESA","01-Jun-2024","2","2.01"
"MRP","CONRESB","01-Jun-2024","2","1.71"
"MRP","CONRESC","01-Jun-2024","2","1.51"
"MRP","CONRESD","01-Jun-2024","2","1.21"
"MRP","CONRESE","01-Jun-2024","2","0.50"
"MRP","PRIRESA","01-Jun-2024","2","0.06"
"MRP","PRIRESB","01-Jun-2024","2","0.05"
"MRP","PRIRESC","01-Jun-2024","2","0.04"
"MRP","PRIRESD","01-Jun-2024","2","0.04"
"MRP","PRIRESE","01-Jun-2024","2","0.01"
"MRP","CONRESA","01-Jun-2024","3","32.10"
"MRP","CONRESB","01-Jun-2024","3","27.28"
"MRP","CONRESC","01-Jun-2024","3","24.08"
"MRP","CONRESD","01-Jun-2024","3","19.26"
"MRP","CONRESE","01-Jun-2024","3","8.02"
"MRP","PRIRESA","01-Jun-2024","3","10.00"
"MRP","PRIRESB","01-Jun-2024","3","8.50"
"MRP","PRIRESC","01-Jun-2024","3","7.50"
"MRP","PRIRESD","01-Jun-2024","3","6.00"
"MRP","PRIRESE","01-Jun-2024","3","2.50"
"MRP","CONRESA","01-Jun-2024","4","24.68"
"MRP","CONRESB","01-Jun-2024","4","20.98"
"MRP","CONRESC","01-Jun-2024","4","18.51"
"MRP","CONRESD","01-Jun-2024","4","14.81"
"MRP","CONRESE","01-Jun-2024","4","6.17"
