"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-May-2024","1","20.03"
"MRP","CONRESB","01-May-2024","1","17.03"
"MRP","CONRESC","01-May-2024","1","15.02"
"MRP","CONRESD","01-May-2024","1","12.02"
"MRP","CONRESE","01-May-2024","1","5.01"
"MRP","PRIRESA","01-May-2024","1","0.59"
"MRP","PRIRESB","01-May-2024","1","0.50"
"MRP","PRIRESC","01-May-2024","1","0.44"
"MRP","PRIRESD","01-May-2024","1","0.35"
"MRP","PRIRESE","01-May-2024","1","0.15"
"MRP","CONRESA","01-May-2024","2","31.77"
"MRP","CONRESB","01-May-2024","2","27.00"
"MRP","CONRESC","01-May-2024","2","23.83"
"MRP","CONRESD","01-May-2024","2","19.06"
"MRP","CONRESE","01-May-2024","2","7.94"
"MRP","PRIRESA","01-May-2024","2","0.59"
"MRP","PRIRESB","01-May-2024","2","0.50"
"MRP","PRIRESC","01-May-2024","2","0.44"
"MRP","PRIRESD","01-May-2024","2","0.35"
"MRP","PRIRESE","01-May-2024","2","0.15"
"MRP","CONRESA","01-May-2024","3","116.46"
"MRP","CONRESB","01-May-2024","3","98.99"
"MRP","CONRESC","01-May-2024","3","87.34"
"MRP","CONRESD","01-May-2024","3","69.87"
"MRP","CONRESE","01-May-2024","3","29.11"
"MRP","PRIRESA","01-May-2024","3","5.00"
"MRP","PRIRESB","01-May-2024","3","4.25"
"MRP","PRIRESC","01-May-2024","3","3.75"
"MRP","PRIRESD","01-May-2024","3","3.00"
"MRP","PRIRESE","01-May-2024","3","1.25"
"MRP","CONRESA","01-May-2024","4","122.00"
"MRP","CONRESB","01-May-2024","4","103.70"
"MRP","CONRESC","01-May-2024","4","91.50"
"MRP","CONRESD","01-May-2024","4","73.20"
"MRP","CONRESE","01-May-2024","4","30.50"
"MRP","PRIRESA","01-May-2024","4","1.76"
"MRP","PRIRESB","01-May-2024","4","1.50"
"MRP","PRIRESC","01-May-2024","4","1.32"
"MRP","PRIRESD","01-May-2024","4","1.06"
"MRP","PRIRESE","01-May-2024","4","0.44"
"MRP","CONRESA","01-May-2024","5","74.70"
"MRP","CONRESB","01-May-2024","5","63.50"
"MRP","CONRESC","01-May-2024","5","56.03"
"MRP","CONRESD","01-May-2024","5","44.82"
"MRP","CONRESE","01-May-2024","5","18.68"
"MRP","PRIRESA","01-May-2024","5","5.00"
"MRP","PRIRESB","01-May-2024","5","4.25"
"MRP","PRIRESC","01-May-2024","5","3.75"
"MRP","PRIRESD","01-May-2024","5","3.00"
"MRP","PRIRESE","01-May-2024","5","1.25"
"MRP","CONRESA","01-May-2024","6","62.76"
"MRP","CONRESB","01-May-2024","6","53.34"
"MRP","CONRESC","01-May-2024","6","47.07"
"MRP","CONRESD","01-May-2024","6","37.65"
"MRP","CONRESE","01-May-2024","6","15.69"
"MRP","PRIRESA","01-May-2024","6","5.00"
"MRP","PRIRESB","01-May-2024","6","4.25"
"MRP","PRIRESC","01-May-2024","6","3.75"
"MRP","PRIRESD","01-May-2024","6","3.00"
"MRP","PRIRESE","01-May-2024","6","1.25"
"MRP","CONRESA","01-May-2024","7","41.78"
"MRP","CONRESB","01-May-2024","7","35.51"
"MRP","CONRESC","01-May-2024","7","31.34"
"MRP","CONRESD","01-May-2024","7","25.07"
"MRP","CONRESE","01-May-2024","7","10.45"
