"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","01-Jul-2024","1","95.61","0.00","6078.022","0.00","0.000"
"USEP","01-Jul-2024","2","95.10","0.00","5951.331","0.00","0.000"
"USEP","01-Jul-2024","3","91.19","0.00","5805.815","0.00","0.000"
"USEP","01-Jul-2024","4","90.17","0.00","5683.389","0.00","0.000"
"USEP","01-Jul-2024","5","89.70","0.00","5630.448","0.00","0.000"
"USEP","01-Jul-2024","6","84.40","0.00","5582.637","0.00","0.000"
"USEP","01-Jul-2024","7","81.59","0.00","5548.006","0.00","0.000"
"USEP","01-Jul-2024","8","78.14","0.00","5537.370","0.00","0.000"
"USEP","01-Jul-2024","9","74.56","0.00","5542.847","0.00","0.000"
"USEP","01-Jul-2024","10","74.86","0.00","5566.301","0.00","0.000"
"USEP","01-Jul-2024","11","78.57","0.00","5645.279","0.00","0.000"
"USEP","01-Jul-2024","12","81.29","0.00","5808.777","0.00","0.000"
"USEP","01-Jul-2024","13","81.30","0.00","5990.485","0.00","0.000"
"USEP","01-Jul-2024","14","89.72","0.00","6159.381","0.00","0.000"
"USEP","01-Jul-2024","15","77.83","0.00","6344.573","3.70","0.000"
"USEP","01-Jul-2024","16","93.03","0.00","6606.069","8.19","0.000"
"USEP","01-Jul-2024","17","113.74","0.00","6883.942","31.54","0.000"
"USEP","01-Jul-2024","18","126.94","0.00","6996.085","57.60","0.000"
"USEP","01-Jul-2024","19","126.95","0.00","7009.489","122.59","0.000"
"USEP","01-Jul-2024","20","126.98","0.00","7044.175","143.45","0.000"
"USEP","01-Jul-2024","21","103.86","0.00","6963.939","267.44","0.000"
"USEP","01-Jul-2024","22","98.52","0.00","6908.325","346.39","0.000"
"USEP","01-Jul-2024","23","100.86","0.00","6925.322","352.02","0.000"
"USEP","01-Jul-2024","24","96.95","0.00","6829.565","444.41","0.000"
"USEP","01-Jul-2024","25","98.47","0.00","6736.969","491.30","0.000"
"USEP","01-Jul-2024","26","100.02","0.00","6748.559","480.37","0.000"
"USEP","01-Jul-2024","27","104.15","0.00","6889.772","393.18","0.000"
"USEP","01-Jul-2024","28","105.84","0.00","6946.813","375.20","0.000"
"USEP","01-Jul-2024","29","127.51","0.00","7155.662","220.12","0.000"
"USEP","01-Jul-2024","30","126.92","0.00","7058.643","354.14","0.000"
"USEP","01-Jul-2024","31","126.93","0.00","7026.422","351.48","0.000"
"USEP","01-Jul-2024","32","102.24","0.00","6825.753","536.54","0.000"
"USEP","01-Jul-2024","33","111.91","0.00","6976.553","392.18","0.000"
"USEP","01-Jul-2024","34","127.12","0.00","7138.018","266.68","0.000"
"USEP","01-Jul-2024","35","127.32","0.00","7215.033","155.53","0.000"
"USEP","01-Jul-2024","36","127.34","0.00","7198.871","48.99","0.000"
"USEP","01-Jul-2024","37","127.15","0.00","7136.160","22.90","0.000"
"USEP","01-Jul-2024","38","126.99","0.00","7069.035","16.12","0.000"
"USEP","01-Jul-2024","39","126.99","0.00","7044.925","2.34","0.000"
"USEP","01-Jul-2024","40","126.99","0.00","7043.216","0.00","0.000"
"USEP","01-Jul-2024","41","126.98","0.00","7054.776","0.00","0.000"
"USEP","01-Jul-2024","42","126.98","0.00","7032.416","0.00","0.000"
"USEP","01-Jul-2024","43","126.93","0.00","6986.617","0.00","0.000"
"USEP","01-Jul-2024","44","114.61","0.00","6870.434","0.00","0.000"
"USEP","01-Jul-2024","45","104.04","0.00","6695.768","0.00","0.000"
"USEP","01-Jul-2024","46","96.91","0.00","6503.662","0.00","0.000"
"USEP","01-Jul-2024","47","93.08","0.00","6355.547","0.00","0.000"
"USEP","01-Jul-2024","48","91.24","0.00","6174.181","0.00","0.000"
"USEP","02-Jul-2024","1","73.45","0.00","5976.897","0.00","0.000"
"USEP","02-Jul-2024","2","72.92","0.00","5868.919","0.00","0.000"
"USEP","02-Jul-2024","3","73.44","0.00","5836.524","0.00","0.000"
"USEP","02-Jul-2024","4","74.25","0.00","5769.375","0.00","0.000"
"USEP","02-Jul-2024","5","87.78","0.00","5716.330","0.00","0.000"
"USEP","02-Jul-2024","6","89.59","0.00","5674.552","0.00","0.000"
"USEP","02-Jul-2024","7","89.58","0.00","5648.092","0.00","0.000"
"USEP","02-Jul-2024","8","89.58","0.00","5639.603","0.00","0.000"
"USEP","02-Jul-2024","9","89.59","0.00","5647.953","0.00","0.000"
"USEP","02-Jul-2024","10","89.59","0.00","5689.119","0.00","0.000"
"USEP","02-Jul-2024","11","89.62","0.00","5780.289","0.00","0.000"
"USEP","02-Jul-2024","12","91.77","0.00","5944.682","0.00","0.000"
"USEP","02-Jul-2024","13","89.65","0.00","6142.940","0.00","0.000"
"USEP","02-Jul-2024","14","97.83","0.00","6354.851","0.00","0.000"
"USEP","02-Jul-2024","15","99.37","0.00","6561.290","4.13","0.000"
"USEP","02-Jul-2024","16","127.55","0.00","6782.952","8.82","0.000"
"USEP","02-Jul-2024","17","130.16","0.00","7013.555","32.44","0.000"
"USEP","02-Jul-2024","18","180.41","0.00","7178.489","28.39","0.000"
"USEP","02-Jul-2024","19","153.28","0.00","7207.534","67.78","0.000"
"USEP","02-Jul-2024","20","132.29","0.00","7199.298","116.11","0.000"
"USEP","02-Jul-2024","21","132.23","0.00","7174.210","168.71","0.000"
"USEP","02-Jul-2024","22","130.74","0.00","7141.368","221.08","0.000"
"USEP","02-Jul-2024","23","127.76","0.00","7093.467","277.90","0.000"
"USEP","02-Jul-2024","24","109.73","0.00","7021.079","340.51","0.000"
"USEP","02-Jul-2024","25","97.93","0.00","7000.876","309.42","0.000"
"USEP","02-Jul-2024","26","94.11","0.00","6932.270","356.14","0.000"
"USEP","02-Jul-2024","27","92.64","0.00","6859.082","459.66","0.000"
"USEP","02-Jul-2024","28","93.82","0.00","6910.576","464.11","0.000"
"USEP","02-Jul-2024","29","93.35","0.00","6862.168","546.23","0.000"
"USEP","02-Jul-2024","30","93.02","0.00","6830.117","587.73","0.000"
"USEP","02-Jul-2024","31","93.15","0.00","6884.424","551.89","0.000"
"USEP","02-Jul-2024","32","93.02","0.00","6886.556","539.12","0.000"
"USEP","02-Jul-2024","33","93.86","0.00","6941.047","496.62","0.000"
"USEP","02-Jul-2024","34","100.03","0.00","7130.017","327.88","0.000"
"USEP","02-Jul-2024","35","99.78","0.00","7170.477","289.67","0.000"
"USEP","02-Jul-2024","36","127.69","0.00","7086.112","201.73","0.000"
"USEP","02-Jul-2024","37","127.69","0.00","7079.059","115.11","0.000"
"USEP","02-Jul-2024","38","95.80","0.00","7079.382","79.91","0.000"
"USEP","02-Jul-2024","39","97.89","0.00","7138.655","4.03","0.000"
"USEP","02-Jul-2024","40","100.28","0.00","7175.870","0.00","0.000"
"USEP","02-Jul-2024","41","106.81","0.00","7193.091","0.00","0.000"
"USEP","02-Jul-2024","42","103.96","0.00","7173.802","0.00","0.000"
"USEP","02-Jul-2024","43","95.81","0.00","7105.823","0.00","0.000"
"USEP","02-Jul-2024","44","90.75","0.00","6979.833","0.00","0.000"
"USEP","02-Jul-2024","45","90.76","0.00","6829.809","0.00","0.000"
"USEP","02-Jul-2024","46","88.49","0.00","6683.134","0.00","0.000"
"USEP","02-Jul-2024","47","88.21","0.00","6525.575","0.00","0.000"
"USEP","02-Jul-2024","48","88.20","0.00","6299.336","0.00","0.000"
"USEP","03-Jul-2024","1","88.20","0.00","6079.165","0.00","0.000"
"USEP","03-Jul-2024","2","87.90","0.00","5955.392","0.00","0.000"
"USEP","03-Jul-2024","3","90.73","0.00","5958.821","0.00","0.000"
"USEP","03-Jul-2024","4","90.71","0.00","5884.058","0.00","0.000"
"USEP","03-Jul-2024","5","90.71","0.00","5825.307","0.00","0.000"
"USEP","03-Jul-2024","6","89.59","0.00","5775.190","0.00","0.000"
"USEP","03-Jul-2024","7","89.59","0.00","5740.753","0.00","0.000"
"USEP","03-Jul-2024","8","89.59","0.00","5722.796","0.00","0.000"
"USEP","03-Jul-2024","9","89.59","0.00","5735.842","0.00","0.000"
"USEP","03-Jul-2024","10","90.71","0.00","5780.398","0.00","0.000"
"USEP","03-Jul-2024","11","91.81","0.00","5867.468","0.00","0.000"
"USEP","03-Jul-2024","12","94.88","0.00","6034.753","0.00","0.000"
"USEP","03-Jul-2024","13","93.00","0.00","6228.727","0.00","0.000"
"USEP","03-Jul-2024","14","104.67","0.00","6437.691","0.00","0.000"
"USEP","03-Jul-2024","15","105.71","0.00","6652.524","4.33","0.000"
"USEP","03-Jul-2024","16","127.54","0.00","6865.792","9.12","0.000"
"USEP","03-Jul-2024","17","109.92","0.00","7027.789","40.10","0.000"
"USEP","03-Jul-2024","18","125.92","0.00","7121.384","84.91","0.000"
"USEP","03-Jul-2024","19","106.71","0.00","7103.030","197.42","0.000"
"USEP","03-Jul-2024","20","100.37","0.00","7082.648","278.07","0.000"
"USEP","03-Jul-2024","21","98.11","0.00","7068.811","330.75","0.000"
"USEP","03-Jul-2024","22","98.22","0.00","7067.151","356.74","0.000"
"USEP","03-Jul-2024","23","95.57","0.00","6989.465","451.46","0.000"
"USEP","03-Jul-2024","24","95.56","0.00","6931.371","504.00","0.000"
"USEP","03-Jul-2024","25","97.07","0.00","6957.409","456.29","0.000"
"USEP","03-Jul-2024","26","93.03","0.00","6852.899","538.47","0.000"
"USEP","03-Jul-2024","27","95.42","0.00","6996.443","467.57","0.000"
"USEP","03-Jul-2024","28","97.36","0.00","7031.536","490.02","0.000"
"USEP","03-Jul-2024","29","95.59","0.00","6984.719","490.22","0.000"
"USEP","03-Jul-2024","30","94.30","0.00","6902.913","527.65","0.000"
"USEP","03-Jul-2024","31","127.62","0.00","7321.163","171.89","0.000"
"USEP","03-Jul-2024","32","130.66","0.00","7372.528","143.90","0.000"
"USEP","03-Jul-2024","33","127.59","0.00","7311.039","198.24","0.000"
"USEP","03-Jul-2024","34","110.98","0.00","7165.811","271.34","0.000"
"USEP","03-Jul-2024","35","95.59","0.00","7023.346","324.56","0.000"
"USEP","03-Jul-2024","36","95.59","0.00","6983.342","242.25","0.000"
"USEP","03-Jul-2024","37","95.58","0.00","7015.408","151.85","0.000"
"USEP","03-Jul-2024","38","103.14","0.00","7114.217","47.21","0.000"
"USEP","03-Jul-2024","39","112.72","0.00","7146.979","7.38","0.000"
"USEP","03-Jul-2024","40","113.61","0.00","7150.518","0.00","0.000"
"USEP","03-Jul-2024","41","125.07","0.00","7177.540","0.00","0.000"
"USEP","03-Jul-2024","42","125.07","0.00","7167.317","0.00","0.000"
"USEP","03-Jul-2024","43","120.32","0.00","7111.802","0.00","0.000"
"USEP","03-Jul-2024","44","106.46","0.00","7048.782","0.00","0.000"
"USEP","03-Jul-2024","45","125.07","0.00","6906.451","0.00","0.000"
"USEP","03-Jul-2024","46","95.48","0.00","6710.613","0.00","0.000"
"USEP","03-Jul-2024","47","90.71","0.00","6500.109","0.00","0.000"
"USEP","03-Jul-2024","48","90.81","0.00","6336.999","0.00","0.000"
"USEP","04-Jul-2024","1","93.40","0.00","6125.972","0.00","0.000"
"USEP","04-Jul-2024","2","90.81","0.00","5996.414","0.00","0.000"
"USEP","04-Jul-2024","3","93.46","0.00","5975.108","0.00","0.000"
"USEP","04-Jul-2024","4","93.37","0.00","5916.238","0.00","0.000"
"USEP","04-Jul-2024","5","93.00","0.00","5856.742","0.00","0.000"
"USEP","04-Jul-2024","6","92.80","0.00","5813.662","0.00","0.000"
"USEP","04-Jul-2024","7","90.78","0.00","5785.010","0.00","0.000"
"USEP","04-Jul-2024","8","90.78","0.00","5766.641","0.00","0.000"
"USEP","04-Jul-2024","9","89.86","0.00","5754.529","0.00","0.000"
"USEP","04-Jul-2024","10","90.78","0.00","5784.896","0.00","0.000"
"USEP","04-Jul-2024","11","93.36","0.00","5864.540","0.00","0.000"
