"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Apr-2023","1","37.00"
"MFP","01-Apr-2023","2","15.00"
"MFP","01-Apr-2023","3","10.00"
"MFP","01-Apr-2023","4","1.33"
"MFP","01-Apr-2023","5","1.33"
"MFP","01-Apr-2023","6","1.33"
"MFP","01-Apr-2023","7","1.33"
"MFP","01-Apr-2023","8","1.33"
"MFP","01-Apr-2023","9","1.33"
"MFP","01-Apr-2023","10","1.33"
"MFP","01-Apr-2023","11","10.00"
"MFP","01-Apr-2023","12","10.00"
"MFP","01-Apr-2023","13","15.00"
"MFP","01-Apr-2023","14","37.00"
"MFP","01-Apr-2023","15","73.00"
"MFP","01-Apr-2023","16","88.00"
"MFP","01-Apr-2023","17","37.00"
"MFP","01-Apr-2023","18","88.00"
"MFP","01-Apr-2023","19","37.00"
"MFP","01-Apr-2023","20","50.00"
"MFP","01-Apr-2023","21","37.00"
"MFP","01-Apr-2023","22","25.02"
"MFP","01-Apr-2023","23","25.06"
"MFP","01-Apr-2023","24","25.01"
"MFP","01-Apr-2023","25","37.00"
"MFP","01-Apr-2023","26","37.00"
"MFP","01-Apr-2023","27","37.00"
"MFP","01-Apr-2023","28","25.10"
"MFP","01-Apr-2023","29","33.33"
"MFP","01-Apr-2023","30","33.33"
"MFP","01-Apr-2023","31","33.33"
"MFP","01-Apr-2023","32","25.05"
"MFP","01-Apr-2023","33","25.10"
"MFP","01-Apr-2023","34","37.00"
"MFP","01-Apr-2023","35","33.33"
"MFP","01-Apr-2023","36","37.00"
"MFP","01-Apr-2023","37","128.00"
"MFP","01-Apr-2023","38","71.48"
"MFP","01-Apr-2023","39","128.00"
"MFP","01-Apr-2023","40","88.00"
"MFP","01-Apr-2023","41","73.00"
"MFP","01-Apr-2023","42","37.00"
"MFP","01-Apr-2023","43","37.00"
"MFP","01-Apr-2023","44","25.00"
"MFP","01-Apr-2023","45","25.00"
"MFP","01-Apr-2023","46","25.00"
"MFP","01-Apr-2023","47","25.00"
"MFP","01-Apr-2023","48","10.00"
"MFP","02-Apr-2023","1","10.00"
"MFP","02-Apr-2023","2","10.00"
"MFP","02-Apr-2023","3","1.33"
"MFP","02-Apr-2023","4","1.33"
"MFP","02-Apr-2023","5","1.33"
"MFP","02-Apr-2023","6","0.01"
"MFP","02-Apr-2023","7","1.33"
"MFP","02-Apr-2023","8","1.33"
"MFP","02-Apr-2023","9","0.01"
"MFP","02-Apr-2023","10","0.01"
"MFP","02-Apr-2023","11","1.33"
"MFP","02-Apr-2023","12","1.33"
"MFP","02-Apr-2023","13","10.00"
"MFP","02-Apr-2023","14","13.33"
"MFP","02-Apr-2023","15","37.00"
"MFP","02-Apr-2023","16","50.00"
"MFP","02-Apr-2023","17","13.33"
"MFP","02-Apr-2023","18","50.00"
"MFP","02-Apr-2023","19","13.33"
"MFP","02-Apr-2023","20","15.00"
"MFP","02-Apr-2023","21","25.00"
"MFP","02-Apr-2023","22","15.00"
"MFP","02-Apr-2023","23","9.89"
"MFP","02-Apr-2023","24","9.89"
"MFP","02-Apr-2023","25","10.00"
"MFP","02-Apr-2023","26","13.33"
"MFP","02-Apr-2023","27","10.00"
"MFP","02-Apr-2023","28","10.00"
"MFP","02-Apr-2023","29","10.00"
"MFP","02-Apr-2023","30","10.00"
"MFP","02-Apr-2023","31","13.33"
"MFP","02-Apr-2023","32","10.00"
"MFP","02-Apr-2023","33","10.00"
"MFP","02-Apr-2023","34","13.33"
"MFP","02-Apr-2023","35","10.00"
"MFP","02-Apr-2023","36","13.33"
"MFP","02-Apr-2023","37","37.00"
"MFP","02-Apr-2023","38","14.87"
"MFP","02-Apr-2023","39","50.00"
"MFP","02-Apr-2023","40","24.96"
"MFP","02-Apr-2023","41","15.00"
"MFP","02-Apr-2023","42","10.00"
"MFP","02-Apr-2023","43","10.00"
"MFP","02-Apr-2023","44","10.00"
"MFP","02-Apr-2023","45","10.00"
"MFP","02-Apr-2023","46","10.00"
"MFP","02-Apr-2023","47","10.00"
"MFP","02-Apr-2023","48","1.33"
"MFP","03-Apr-2023","1","1.33"
"MFP","03-Apr-2023","2","1.33"
"MFP","03-Apr-2023","3","0.01"
"MFP","03-Apr-2023","4","0.01"
"MFP","03-Apr-2023","5","0.01"
"MFP","03-Apr-2023","6","0.01"
"MFP","03-Apr-2023","7","0.01"
