"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Aug-2023","1","9.80"
"MFP","01-Aug-2023","2","9.80"
"MFP","01-Aug-2023","3","9.80"
"MFP","01-Aug-2023","4","0.01"
"MFP","01-Aug-2023","5","0.01"
"MFP","01-Aug-2023","6","9.80"
"MFP","01-Aug-2023","7","9.80"
"MFP","01-Aug-2023","8","9.80"
"MFP","01-Aug-2023","9","9.80"
"MFP","01-Aug-2023","10","9.80"
"MFP","01-Aug-2023","11","10.00"
"MFP","01-Aug-2023","12","10.00"
"MFP","01-Aug-2023","13","10.03"
"MFP","01-Aug-2023","14","37.00"
"MFP","01-Aug-2023","15","53.57"
"MFP","01-Aug-2023","16","53.57"
"MFP","01-Aug-2023","17","108.31"
"MFP","01-Aug-2023","18","140.67"
"MFP","01-Aug-2023","19","44.45"
"MFP","01-Aug-2023","20","45.13"
"MFP","01-Aug-2023","21","52.41"
"MFP","01-Aug-2023","22","35.95"
"MFP","01-Aug-2023","23","3.00"
"MFP","01-Aug-2023","24","26.03"
"MFP","01-Aug-2023","25","25.10"
"MFP","01-Aug-2023","26","33.70"
"MFP","01-Aug-2023","27","15.00"
"MFP","01-Aug-2023","28","12.50"
"MFP","01-Aug-2023","29","15.00"
"MFP","01-Aug-2023","30","23.00"
"MFP","01-Aug-2023","31","35.00"
"MFP","01-Aug-2023","32","23.00"
"MFP","01-Aug-2023","33","118.23"
"MFP","01-Aug-2023","34","140.67"
"MFP","01-Aug-2023","35","128.00"
"MFP","01-Aug-2023","36","73.00"
"MFP","01-Aug-2023","37","137.88"
"MFP","01-Aug-2023","38","53.57"
"MFP","01-Aug-2023","39","118.23"
"MFP","01-Aug-2023","40","84.50"
"MFP","01-Aug-2023","41","54.32"
"MFP","01-Aug-2023","42","54.37"
"MFP","01-Aug-2023","43","46.06"
"MFP","01-Aug-2023","44","29.56"
"MFP","01-Aug-2023","45","45.58"
"MFP","01-Aug-2023","46","24.58"
"MFP","01-Aug-2023","47","15.54"
"MFP","01-Aug-2023","48","12.77"
"MFP","02-Aug-2023","1","9.80"
"MFP","02-Aug-2023","2","9.80"
"MFP","02-Aug-2023","3","9.80"
"MFP","02-Aug-2023","4","9.80"
"MFP","02-Aug-2023","5","9.80"
"MFP","02-Aug-2023","6","9.80"
"MFP","02-Aug-2023","7","9.80"
"MFP","02-Aug-2023","8","9.80"
"MFP","02-Aug-2023","9","9.80"
"MFP","02-Aug-2023","10","9.80"
"MFP","02-Aug-2023","11","9.80"
"MFP","02-Aug-2023","12","10.00"
"MFP","02-Aug-2023","13","10.00"
"MFP","02-Aug-2023","14","12.57"
"MFP","02-Aug-2023","15","53.57"
"MFP","02-Aug-2023","16","62.12"
"MFP","02-Aug-2023","17","52.86"
"MFP","02-Aug-2023","18","103.89"
"MFP","02-Aug-2023","19","4.99"
"MFP","02-Aug-2023","20","11.00"
"MFP","02-Aug-2023","21","12.66"
"MFP","02-Aug-2023","22","1.00"
"MFP","02-Aug-2023","23","0.01"
"MFP","02-Aug-2023","24","0.01"
"MFP","02-Aug-2023","25","0.01"
"MFP","02-Aug-2023","26","0.01"
"MFP","02-Aug-2023","27","0.01"
"MFP","02-Aug-2023","28","46.30"
"MFP","02-Aug-2023","29","53.57"
"MFP","02-Aug-2023","30","53.57"
"MFP","02-Aug-2023","31","53.57"
"MFP","02-Aug-2023","32","60.58"
"MFP","02-Aug-2023","33","90.06"
"MFP","02-Aug-2023","34","181.02"
"MFP","02-Aug-2023","35","96.08"
"MFP","02-Aug-2023","36","67.88"
"MFP","02-Aug-2023","37","121.00"
"MFP","02-Aug-2023","38","53.57"
"MFP","02-Aug-2023","39","115.67"
"MFP","02-Aug-2023","40","95.33"
"MFP","02-Aug-2023","41","73.00"
"MFP","02-Aug-2023","42","68.59"
"MFP","02-Aug-2023","43","53.57"
"MFP","02-Aug-2023","44","28.22"
"MFP","02-Aug-2023","45","32.20"
"MFP","02-Aug-2023","46","11.50"
"MFP","02-Aug-2023","47","10.00"
"MFP","02-Aug-2023","48","10.00"
"MFP","03-Aug-2023","1","9.80"
"MFP","03-Aug-2023","2","9.80"
"MFP","03-Aug-2023","3","9.80"
"MFP","03-Aug-2023","4","9.80"
"MFP","03-Aug-2023","5","9.80"
"MFP","03-Aug-2023","6","9.80"
"MFP","03-Aug-2023","7","9.80"
"MFP","03-Aug-2023","8","10.00"
