"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Dec-2023","1","10.00"
"MFP","01-Dec-2023","2","10.00"
"MFP","01-Dec-2023","3","9.80"
"MFP","01-Dec-2023","4","10.00"
"MFP","01-Dec-2023","5","9.80"
"MFP","01-Dec-2023","6","9.80"
"MFP","01-Dec-2023","7","9.80"
"MFP","01-Dec-2023","8","9.80"
"MFP","01-Dec-2023","9","9.80"
"MFP","01-Dec-2023","10","10.00"
"MFP","01-Dec-2023","11","10.00"
"MFP","01-Dec-2023","12","10.00"
"MFP","01-Dec-2023","13","15.00"
"MFP","01-Dec-2023","14","15.00"
"MFP","01-Dec-2023","15","44.44"
"MFP","01-Dec-2023","16","47.33"
"MFP","01-Dec-2023","17","26.27"
"MFP","01-Dec-2023","18","53.57"
"MFP","01-Dec-2023","19","39.38"
"MFP","01-Dec-2023","20","44.44"
"MFP","01-Dec-2023","21","43.47"
"MFP","01-Dec-2023","22","37.40"
"MFP","01-Dec-2023","23","37.40"
"MFP","01-Dec-2023","24","30.04"
"MFP","01-Dec-2023","25","32.37"
"MFP","01-Dec-2023","26","29.60"
"MFP","01-Dec-2023","27","40.69"
"MFP","01-Dec-2023","28","37.69"
"MFP","01-Dec-2023","29","33.76"
"MFP","01-Dec-2023","30","38.97"
"MFP","01-Dec-2023","31","42.62"
"MFP","01-Dec-2023","32","38.03"
"MFP","01-Dec-2023","33","45.65"
"MFP","01-Dec-2023","34","53.57"
"MFP","01-Dec-2023","35","47.55"
"MFP","01-Dec-2023","36","51.57"
"MFP","01-Dec-2023","37","76.66"
"MFP","01-Dec-2023","38","51.47"
"MFP","01-Dec-2023","39","71.55"
"MFP","01-Dec-2023","40","53.57"
"MFP","01-Dec-2023","41","51.26"
"MFP","01-Dec-2023","42","41.97"
"MFP","01-Dec-2023","43","22.24"
"MFP","01-Dec-2023","44","14.82"
"MFP","01-Dec-2023","45","10.00"
"MFP","01-Dec-2023","46","10.00"
"MFP","01-Dec-2023","47","11.11"
"MFP","01-Dec-2023","48","10.00"
"MFP","02-Dec-2023","1","10.00"
