"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Feb-2023","1","10.00"
"MFP","01-Feb-2023","2","10.00"
"MFP","01-Feb-2023","3","0.01"
"MFP","01-Feb-2023","4","1.20"
"MFP","01-Feb-2023","5","0.01"
"MFP","01-Feb-2023","6","0.01"
"MFP","01-Feb-2023","7","0.01"
"MFP","01-Feb-2023","8","0.01"
"MFP","01-Feb-2023","9","0.01"
"MFP","01-Feb-2023","10","1.20"
"MFP","01-Feb-2023","11","12.12"
"MFP","01-Feb-2023","12","25.00"
"MFP","01-Feb-2023","13","25.00"
"MFP","01-Feb-2023","14","31.00"
"MFP","01-Feb-2023","15","50.00"
"MFP","01-Feb-2023","16","50.00"
"MFP","01-Feb-2023","17","25.10"
"MFP","01-Feb-2023","18","50.00"
"MFP","01-Feb-2023","19","32.00"
"MFP","01-Feb-2023","20","33.00"
"MFP","01-Feb-2023","21","33.00"
"MFP","01-Feb-2023","22","31.00"
"MFP","01-Feb-2023","23","25.10"
"MFP","01-Feb-2023","24","31.00"
"MFP","01-Feb-2023","25","33.00"
"MFP","01-Feb-2023","26","33.00"
"MFP","01-Feb-2023","27","33.00"
"MFP","01-Feb-2023","28","32.00"
"MFP","01-Feb-2023","29","33.00"
"MFP","01-Feb-2023","30","33.00"
"MFP","01-Feb-2023","31","33.00"
"MFP","01-Feb-2023","32","33.00"
"MFP","01-Feb-2023","33","32.00"
"MFP","01-Feb-2023","34","33.00"
"MFP","01-Feb-2023","35","31.00"
"MFP","01-Feb-2023","36","32.00"
"MFP","01-Feb-2023","37","92.00"
"MFP","01-Feb-2023","38","33.00"
"MFP","01-Feb-2023","39","93.00"
"MFP","01-Feb-2023","40","50.00"
"MFP","01-Feb-2023","41","50.00"
"MFP","01-Feb-2023","42","32.00"
"MFP","01-Feb-2023","43","32.00"
"MFP","01-Feb-2023","44","25.01"
"MFP","01-Feb-2023","45","25.01"
"MFP","01-Feb-2023","46","31.00"
"MFP","01-Feb-2023","47","25.01"
"MFP","01-Feb-2023","48","10.00"
"MFP","02-Feb-2023","1","10.00"
"MFP","02-Feb-2023","2","10.00"
"MFP","02-Feb-2023","3","0.01"
"MFP","02-Feb-2023","4","1.20"
"MFP","02-Feb-2023","5","0.01"
"MFP","02-Feb-2023","6","0.01"
"MFP","02-Feb-2023","7","0.01"
"MFP","02-Feb-2023","8","0.01"
"MFP","02-Feb-2023","9","0.01"
"MFP","02-Feb-2023","10","1.20"
"MFP","02-Feb-2023","11","1.33"
"MFP","02-Feb-2023","12","10.00"
"MFP","02-Feb-2023","13","13.33"
"MFP","02-Feb-2023","14","31.00"
"MFP","02-Feb-2023","15","50.00"
"MFP","02-Feb-2023","16","50.00"
"MFP","02-Feb-2023","17","25.06"
"MFP","02-Feb-2023","18","50.00"
"MFP","02-Feb-2023","19","31.00"
"MFP","02-Feb-2023","20","33.00"
"MFP","02-Feb-2023","21","33.00"
"MFP","02-Feb-2023","22","31.00"
"MFP","02-Feb-2023","23","31.00"
"MFP","02-Feb-2023","24","31.00"
"MFP","02-Feb-2023","25","33.00"
"MFP","02-Feb-2023","26","33.00"
"MFP","02-Feb-2023","27","33.00"
"MFP","02-Feb-2023","28","32.00"
"MFP","02-Feb-2023","29","32.00"
"MFP","02-Feb-2023","30","33.00"
"MFP","02-Feb-2023","31","33.00"
"MFP","02-Feb-2023","32","33.00"
"MFP","02-Feb-2023","33","42.00"
"MFP","02-Feb-2023","34","50.00"
"MFP","02-Feb-2023","35","33.00"
"MFP","02-Feb-2023","36","32.00"
"MFP","02-Feb-2023","37","93.00"
"MFP","02-Feb-2023","38","33.00"
"MFP","02-Feb-2023","39","93.00"
"MFP","02-Feb-2023","40","50.00"
"MFP","02-Feb-2023","41","50.00"
"MFP","02-Feb-2023","42","32.00"
"MFP","02-Feb-2023","43","31.00"
"MFP","02-Feb-2023","44","25.02"
"MFP","02-Feb-2023","45","25.01"
"MFP","02-Feb-2023","46","31.00"
"MFP","02-Feb-2023","47","25.01"
"MFP","02-Feb-2023","48","10.00"
"MFP","03-Feb-2023","1","10.00"
"MFP","03-Feb-2023","2","10.00"
"MFP","03-Feb-2023","3","0.01"
"MFP","03-Feb-2023","4","1.20"
"MFP","03-Feb-2023","5","0.01"
"MFP","03-Feb-2023","6","0.01"
"MFP","03-Feb-2023","7","0.01"
"MFP","03-Feb-2023","8","0.01"
"MFP","03-Feb-2023","9","0.01"
"MFP","03-Feb-2023","10","1.20"
"MFP","03-Feb-2023","11","1.33"
"MFP","03-Feb-2023","12","10.00"
"MFP","03-Feb-2023","13","10.00"
"MFP","03-Feb-2023","14","15.01"
"MFP","03-Feb-2023","15","50.00"
"MFP","03-Feb-2023","16","50.00"
"MFP","03-Feb-2023","17","25.10"
"MFP","03-Feb-2023","18","50.00"
"MFP","03-Feb-2023","19","32.00"
