"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Jan-2023","1","10.00"
"MFP","01-Jan-2023","2","1.20"
"MFP","01-Jan-2023","3","0.01"
"MFP","01-Jan-2023","4","0.01"
"MFP","01-Jan-2023","5","0.01"
"MFP","01-Jan-2023","6","0.01"
"MFP","01-Jan-2023","7","0.01"
"MFP","01-Jan-2023","8","0.01"
"MFP","01-Jan-2023","9","0.01"
"MFP","01-Jan-2023","10","0.01"
"MFP","01-Jan-2023","11","0.01"
"MFP","01-Jan-2023","12","10.00"
"MFP","01-Jan-2023","13","28.88"
"MFP","01-Jan-2023","14","28.99"
"MFP","01-Jan-2023","15","28.99"
"MFP","01-Jan-2023","16","33.33"
"MFP","01-Jan-2023","17","29.99"
"MFP","01-Jan-2023","18","29.99"
"MFP","01-Jan-2023","19","10.00"
"MFP","01-Jan-2023","20","19.83"
"MFP","01-Jan-2023","21","10.00"
"MFP","01-Jan-2023","22","10.00"
"MFP","01-Jan-2023","23","10.00"
"MFP","01-Jan-2023","24","1.33"
"MFP","01-Jan-2023","25","10.00"
"MFP","01-Jan-2023","26","10.00"
"MFP","01-Jan-2023","27","10.00"
"MFP","01-Jan-2023","28","10.00"
"MFP","01-Jan-2023","29","10.00"
"MFP","01-Jan-2023","30","1.33"
"MFP","01-Jan-2023","31","10.00"
"MFP","01-Jan-2023","32","10.00"
"MFP","01-Jan-2023","33","10.00"
"MFP","01-Jan-2023","34","13.33"
"MFP","01-Jan-2023","35","12.12"
"MFP","01-Jan-2023","36","13.33"
"MFP","01-Jan-2023","37","28.99"
"MFP","01-Jan-2023","38","28.88"
"MFP","01-Jan-2023","39","28.99"
"MFP","01-Jan-2023","40","28.88"
"MFP","01-Jan-2023","41","28.88"
"MFP","01-Jan-2023","42","10.00"
"MFP","01-Jan-2023","43","10.00"
"MFP","01-Jan-2023","44","10.00"
"MFP","01-Jan-2023","45","10.00"
"MFP","01-Jan-2023","46","10.00"
"MFP","01-Jan-2023","47","10.00"
"MFP","01-Jan-2023","48","1.20"
"MFP","02-Jan-2023","1","10.00"
"MFP","02-Jan-2023","2","1.20"
"MFP","02-Jan-2023","3","0.01"
"MFP","02-Jan-2023","4","0.01"
"MFP","02-Jan-2023","5","0.01"
"MFP","02-Jan-2023","6","0.01"
"MFP","02-Jan-2023","7","0.01"
"MFP","02-Jan-2023","8","0.01"
"MFP","02-Jan-2023","9","0.01"
"MFP","02-Jan-2023","10","0.01"
"MFP","02-Jan-2023","11","0.01"
"MFP","02-Jan-2023","12","10.00"
"MFP","02-Jan-2023","13","28.99"
"MFP","02-Jan-2023","14","29.99"
"MFP","02-Jan-2023","15","29.99"
"MFP","02-Jan-2023","16","42.00"
"MFP","02-Jan-2023","17","33.33"
"MFP","02-Jan-2023","18","29.99"
"MFP","02-Jan-2023","19","10.00"
"MFP","02-Jan-2023","20","13.33"
"MFP","02-Jan-2023","21","10.00"
"MFP","02-Jan-2023","22","10.00"
"MFP","02-Jan-2023","23","10.00"
"MFP","02-Jan-2023","24","1.33"
"MFP","02-Jan-2023","25","10.00"
"MFP","02-Jan-2023","26","10.00"
"MFP","02-Jan-2023","27","10.00"
"MFP","02-Jan-2023","28","10.00"
"MFP","02-Jan-2023","29","10.00"
"MFP","02-Jan-2023","30","1.33"
"MFP","02-Jan-2023","31","10.00"
"MFP","02-Jan-2023","32","10.00"
"MFP","02-Jan-2023","33","10.00"
"MFP","02-Jan-2023","34","13.33"
"MFP","02-Jan-2023","35","10.00"
"MFP","02-Jan-2023","36","12.12"
"MFP","02-Jan-2023","37","29.99"
"MFP","02-Jan-2023","38","28.88"
"MFP","02-Jan-2023","39","29.99"
"MFP","02-Jan-2023","40","29.99"
"MFP","02-Jan-2023","41","28.99"
"MFP","02-Jan-2023","42","12.12"
"MFP","02-Jan-2023","43","10.00"
"MFP","02-Jan-2023","44","10.00"
"MFP","02-Jan-2023","45","10.00"
"MFP","02-Jan-2023","46","10.00"
"MFP","02-Jan-2023","47","10.00"
"MFP","02-Jan-2023","48","1.20"
"MFP","03-Jan-2023","1","10.00"
"MFP","03-Jan-2023","2","1.20"
"MFP","03-Jan-2023","3","0.01"
"MFP","03-Jan-2023","4","0.01"
"MFP","03-Jan-2023","5","0.01"
"MFP","03-Jan-2023","6","0.01"
"MFP","03-Jan-2023","7","0.01"
"MFP","03-Jan-2023","8","0.01"
