"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Jul-2023","1","53.57"
"MFP","01-Jul-2023","2","53.57"
"MFP","01-Jul-2023","3","37.00"
"MFP","01-Jul-2023","4","37.00"
"MFP","01-Jul-2023","5","37.00"
"MFP","01-Jul-2023","6","33.00"
"MFP","01-Jul-2023","7","37.00"
"MFP","01-Jul-2023","8","37.00"
"MFP","01-Jul-2023","9","33.00"
"MFP","01-Jul-2023","10","37.00"
"MFP","01-Jul-2023","11","53.57"
"MFP","01-Jul-2023","12","53.57"
"MFP","01-Jul-2023","13","73.00"
"MFP","01-Jul-2023","14","77.00"
"MFP","01-Jul-2023","15","79.44"
"MFP","01-Jul-2023","16","79.44"
"MFP","01-Jul-2023","17","53.57"
"MFP","01-Jul-2023","18","79.44"
"MFP","01-Jul-2023","19","53.57"
"MFP","01-Jul-2023","20","77.66"
"MFP","01-Jul-2023","21","77.00"
"MFP","01-Jul-2023","22","55.00"
"MFP","01-Jul-2023","23","53.57"
"MFP","01-Jul-2023","24","55.18"
"MFP","01-Jul-2023","25","72.17"
"MFP","01-Jul-2023","26","55.00"
"MFP","01-Jul-2023","27","53.57"
"MFP","01-Jul-2023","28","55.00"
"MFP","01-Jul-2023","29","79.44"
"MFP","01-Jul-2023","30","86.37"
"MFP","01-Jul-2023","31","55.00"
"MFP","01-Jul-2023","32","53.57"
"MFP","01-Jul-2023","33","53.00"
"MFP","01-Jul-2023","34","53.57"
"MFP","01-Jul-2023","35","55.00"
"MFP","01-Jul-2023","36","79.44"
"MFP","01-Jul-2023","37","124.44"
"MFP","01-Jul-2023","38","111.17"
"MFP","01-Jul-2023","39","140.67"
"MFP","01-Jul-2023","40","124.44"
"MFP","01-Jul-2023","41","118.23"
"MFP","01-Jul-2023","42","82.66"
"MFP","01-Jul-2023","43","85.66"
"MFP","01-Jul-2023","44","77.66"
"MFP","01-Jul-2023","45","73.00"
"MFP","01-Jul-2023","46","73.00"
"MFP","01-Jul-2023","47","53.57"
"MFP","01-Jul-2023","48","49.44"
"MFP","02-Jul-2023","1","53.57"
"MFP","02-Jul-2023","2","53.57"
"MFP","02-Jul-2023","3","37.00"
"MFP","02-Jul-2023","4","37.00"
"MFP","02-Jul-2023","5","37.00"
"MFP","02-Jul-2023","6","33.00"
"MFP","02-Jul-2023","7","37.00"
"MFP","02-Jul-2023","8","33.00"
"MFP","02-Jul-2023","9","33.00"
"MFP","02-Jul-2023","10","37.00"
"MFP","02-Jul-2023","11","53.57"
"MFP","02-Jul-2023","12","53.57"
"MFP","02-Jul-2023","13","73.00"
"MFP","02-Jul-2023","14","77.00"
"MFP","02-Jul-2023","15","77.00"
"MFP","02-Jul-2023","16","77.00"
"MFP","02-Jul-2023","17","49.44"
"MFP","02-Jul-2023","18","55.00"
"MFP","02-Jul-2023","19","49.44"
"MFP","02-Jul-2023","20","53.57"
"MFP","02-Jul-2023","21","53.57"
"MFP","02-Jul-2023","22","37.00"
"MFP","02-Jul-2023","23","34.44"
"MFP","02-Jul-2023","24","33.00"
"MFP","02-Jul-2023","25","49.44"
"MFP","02-Jul-2023","26","49.44"
"MFP","02-Jul-2023","27","49.44"
"MFP","02-Jul-2023","28","49.44"
"MFP","02-Jul-2023","29","49.44"
"MFP","02-Jul-2023","30","49.44"
"MFP","02-Jul-2023","31","49.44"
"MFP","02-Jul-2023","32","49.44"
"MFP","02-Jul-2023","33","34.44"
"MFP","02-Jul-2023","34","49.44"
"MFP","02-Jul-2023","35","34.44"
