"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Jun-2023","1","55.00"
"MFP","01-Jun-2023","2","55.00"
"MFP","01-Jun-2023","3","53.57"
"MFP","01-Jun-2023","4","53.57"
"MFP","01-Jun-2023","5","53.57"
"MFP","01-Jun-2023","6","53.57"
"MFP","01-Jun-2023","7","53.14"
"MFP","01-Jun-2023","8","53.57"
"MFP","01-Jun-2023","9","53.14"
"MFP","01-Jun-2023","10","53.57"
"MFP","01-Jun-2023","11","53.57"
"MFP","01-Jun-2023","12","55.00"
"MFP","01-Jun-2023","13","77.00"
"MFP","01-Jun-2023","14","88.00"
"MFP","01-Jun-2023","15","55.00"
"MFP","01-Jun-2023","16","79.44"
"MFP","01-Jun-2023","17","55.00"
"MFP","01-Jun-2023","18","84.86"
"MFP","01-Jun-2023","19","53.57"
"MFP","01-Jun-2023","20","77.00"
"MFP","01-Jun-2023","21","55.00"
"MFP","01-Jun-2023","22","53.57"
"MFP","01-Jun-2023","23","49.44"
"MFP","01-Jun-2023","24","44.95"
"MFP","01-Jun-2023","25","53.57"
"MFP","01-Jun-2023","26","53.57"
"MFP","01-Jun-2023","27","50.19"
"MFP","01-Jun-2023","28","53.57"
"MFP","01-Jun-2023","29","53.57"
"MFP","01-Jun-2023","30","53.57"
"MFP","01-Jun-2023","31","53.57"
"MFP","01-Jun-2023","32","53.57"
"MFP","01-Jun-2023","33","49.44"
"MFP","01-Jun-2023","34","53.57"
"MFP","01-Jun-2023","35","49.44"
"MFP","01-Jun-2023","36","53.57"
"MFP","01-Jun-2023","37","106.77"
"MFP","01-Jun-2023","38","55.00"
"MFP","01-Jun-2023","39","116.72"
"MFP","01-Jun-2023","40","77.00"
"MFP","01-Jun-2023","41","55.00"
"MFP","01-Jun-2023","42","53.57"
"MFP","01-Jun-2023","43","50.00"
"MFP","01-Jun-2023","44","49.44"
"MFP","01-Jun-2023","45","49.44"
"MFP","01-Jun-2023","46","49.44"
"MFP","01-Jun-2023","47","37.00"
"MFP","01-Jun-2023","48","49.44"
