"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Mar-2023","1","10.00"
"MFP","01-Mar-2023","2","10.00"
"MFP","01-Mar-2023","3","1.33"
"MFP","01-Mar-2023","4","1.33"
"MFP","01-Mar-2023","5","1.33"
"MFP","01-Mar-2023","6","10.00"
"MFP","01-Mar-2023","7","1.33"
"MFP","01-Mar-2023","8","1.33"
"MFP","01-Mar-2023","9","1.33"
"MFP","01-Mar-2023","10","10.00"
"MFP","01-Mar-2023","11","10.00"
"MFP","01-Mar-2023","12","10.00"
"MFP","01-Mar-2023","13","37.00"
"MFP","01-Mar-2023","14","52.77"
"MFP","01-Mar-2023","15","112.78"
"MFP","01-Mar-2023","16","73.00"
"MFP","01-Mar-2023","17","37.00"
"MFP","01-Mar-2023","18","90.99"
"MFP","01-Mar-2023","19","55.60"
"MFP","01-Mar-2023","20","73.00"
"MFP","01-Mar-2023","21","73.00"
"MFP","01-Mar-2023","22","52.05"
"MFP","01-Mar-2023","23","52.05"
"MFP","01-Mar-2023","24","52.01"
"MFP","01-Mar-2023","25","73.00"
"MFP","01-Mar-2023","26","73.00"
"MFP","01-Mar-2023","27","66.92"
"MFP","01-Mar-2023","28","57.09"
"MFP","01-Mar-2023","29","56.82"
"MFP","01-Mar-2023","30","52.01"
"MFP","01-Mar-2023","31","88.00"
"MFP","01-Mar-2023","32","73.00"
"MFP","01-Mar-2023","33","73.00"
"MFP","01-Mar-2023","34","128.00"
"MFP","01-Mar-2023","35","88.00"
"MFP","01-Mar-2023","36","66.61"
"MFP","01-Mar-2023","37","128.00"
"MFP","01-Mar-2023","38","73.00"
"MFP","01-Mar-2023","39","128.00"
"MFP","01-Mar-2023","40","115.60"
"MFP","01-Mar-2023","41","73.00"
"MFP","01-Mar-2023","42","56.14"
"MFP","01-Mar-2023","43","37.00"
"MFP","01-Mar-2023","44","27.00"
"MFP","01-Mar-2023","45","26.28"
"MFP","01-Mar-2023","46","25.05"
"MFP","01-Mar-2023","47","25.05"
"MFP","01-Mar-2023","48","10.00"
"MFP","02-Mar-2023","1","10.00"
"MFP","02-Mar-2023","2","10.00"
"MFP","02-Mar-2023","3","1.33"
"MFP","02-Mar-2023","4","1.33"
"MFP","02-Mar-2023","5","1.33"
"MFP","02-Mar-2023","6","0.01"
"MFP","02-Mar-2023","7","1.33"
"MFP","02-Mar-2023","8","1.33"
"MFP","02-Mar-2023","9","1.33"
