"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-May-2023","1","36.86"
"MFP","01-May-2023","2","27.50"
"MFP","01-May-2023","3","33.33"
"MFP","01-May-2023","4","24.32"
"MFP","01-May-2023","5","13.33"
"MFP","01-May-2023","6","13.13"
"MFP","01-May-2023","7","13.13"
"MFP","01-May-2023","8","10.00"
"MFP","01-May-2023","9","10.00"
"MFP","01-May-2023","10","13.33"
"MFP","01-May-2023","11","15.00"
"MFP","01-May-2023","12","27.50"
"MFP","01-May-2023","13","50.00"
"MFP","01-May-2023","14","73.00"
"MFP","01-May-2023","15","133.33"
"MFP","01-May-2023","16","133.33"
"MFP","01-May-2023","17","73.00"
"MFP","01-May-2023","18","133.33"
"MFP","01-May-2023","19","53.33"
"MFP","01-May-2023","20","50.00"
"MFP","01-May-2023","21","37.00"
"MFP","01-May-2023","22","27.50"
"MFP","01-May-2023","23","24.92"
"MFP","01-May-2023","24","23.32"
"MFP","01-May-2023","25","37.00"
"MFP","01-May-2023","26","37.00"
"MFP","01-May-2023","27","37.00"
"MFP","01-May-2023","28","29.02"
"MFP","01-May-2023","29","37.00"
"MFP","01-May-2023","30","50.00"
"MFP","01-May-2023","31","50.00"
"MFP","01-May-2023","32","37.00"
"MFP","01-May-2023","33","37.00"
"MFP","01-May-2023","34","60.11"
"MFP","01-May-2023","35","50.00"
"MFP","01-May-2023","36","60.11"
"MFP","01-May-2023","37","137.00"
"MFP","01-May-2023","38","73.00"
"MFP","01-May-2023","39","133.33"
"MFP","01-May-2023","40","114.00"
"MFP","01-May-2023","41","94.86"
"MFP","01-May-2023","42","60.13"
"MFP","01-May-2023","43","60.11"
"MFP","01-May-2023","44","48.86"
"MFP","01-May-2023","45","37.00"
"MFP","01-May-2023","46","37.00"
"MFP","01-May-2023","47","37.00"
"MFP","01-May-2023","48","27.50"
"MFP","02-May-2023","1","13.33"
"MFP","02-May-2023","2","15.00"
"MFP","02-May-2023","3","10.00"
"MFP","02-May-2023","4","10.00"
"MFP","02-May-2023","5","10.00"
"MFP","02-May-2023","6","10.00"
"MFP","02-May-2023","7","10.00"
"MFP","02-May-2023","8","10.00"
"MFP","02-May-2023","9","10.00"
"MFP","02-May-2023","10","10.00"
"MFP","02-May-2023","11","13.33"
"MFP","02-May-2023","12","13.33"
"MFP","02-May-2023","13","33.33"
"MFP","02-May-2023","14","37.00"
"MFP","02-May-2023","15","53.33"
"MFP","02-May-2023","16","50.00"
"MFP","02-May-2023","17","18.33"
"MFP","02-May-2023","18","53.33"
"MFP","02-May-2023","19","15.00"
"MFP","02-May-2023","20","23.04"
"MFP","02-May-2023","21","21.14"
"MFP","02-May-2023","22","15.00"
"MFP","02-May-2023","23","15.00"
"MFP","02-May-2023","24","15.00"
"MFP","02-May-2023","25","21.14"
"MFP","02-May-2023","26","21.14"
"MFP","02-May-2023","27","18.33"
"MFP","02-May-2023","28","15.00"
"MFP","02-May-2023","29","34.86"
"MFP","02-May-2023","30","34.86"
"MFP","02-May-2023","31","37.00"
"MFP","02-May-2023","32","34.86"
"MFP","02-May-2023","33","34.86"
"MFP","02-May-2023","34","58.00"
"MFP","02-May-2023","35","34.86"
"MFP","02-May-2023","36","41.00"
"MFP","02-May-2023","37","66.37"
"MFP","02-May-2023","38","23.09"
"MFP","02-May-2023","39","73.00"
"MFP","02-May-2023","40","37.00"
"MFP","02-May-2023","41","36.36"
"MFP","02-May-2023","42","23.04"
"MFP","02-May-2023","43","18.33"
"MFP","02-May-2023","44","11.95"
"MFP","02-May-2023","45","10.00"
"MFP","02-May-2023","46","10.00"
"MFP","02-May-2023","47","13.32"
"MFP","02-May-2023","48","13.14"
"MFP","03-May-2023","1","15.00"
"MFP","03-May-2023","2","15.00"
"MFP","03-May-2023","3","15.00"
"MFP","03-May-2023","4","13.33"
"MFP","03-May-2023","5","10.00"
"MFP","03-May-2023","6","10.00"
"MFP","03-May-2023","7","10.00"
"MFP","03-May-2023","8","10.00"
"MFP","03-May-2023","9","10.00"
"MFP","03-May-2023","10","10.00"
"MFP","03-May-2023","11","13.33"
"MFP","03-May-2023","12","15.00"
"MFP","03-May-2023","13","33.33"
"MFP","03-May-2023","14","73.00"
"MFP","03-May-2023","15","53.33"
"MFP","03-May-2023","16","50.00"
"MFP","03-May-2023","17","37.00"
"MFP","03-May-2023","18","73.00"
"MFP","03-May-2023","19","23.04"
"MFP","03-May-2023","20","24.32"
"MFP","03-May-2023","21","23.04"
"MFP","03-May-2023","22","21.14"
"MFP","03-May-2023","23","21.14"
"MFP","03-May-2023","24","15.33"
"MFP","03-May-2023","25","23.09"
"MFP","03-May-2023","26","23.09"
"MFP","03-May-2023","27","23.09"
"MFP","03-May-2023","28","37.00"
"MFP","03-May-2023","29","59.95"
"MFP","03-May-2023","30","59.95"
"MFP","03-May-2023","31","193.78"
"MFP","03-May-2023","32","193.78"
"MFP","03-May-2023","33","59.95"
"MFP","03-May-2023","34","207.05"
"MFP","03-May-2023","35","199.06"
"MFP","03-May-2023","36","137.00"
"MFP","03-May-2023","37","73.00"
"MFP","03-May-2023","38","24.32"
"MFP","03-May-2023","39","73.00"
"MFP","03-May-2023","40","53.33"
"MFP","03-May-2023","41","37.00"
"MFP","03-May-2023","42","23.04"
"MFP","03-May-2023","43","15.00"
"MFP","03-May-2023","44","10.00"
"MFP","03-May-2023","45","10.00"
"MFP","03-May-2023","46","10.00"
"MFP","03-May-2023","47","10.00"
"MFP","03-May-2023","48","10.00"
"MFP","04-May-2023","1","10.00"
"MFP","04-May-2023","2","10.00"
"MFP","04-May-2023","3","10.00"
"MFP","04-May-2023","4","10.00"
"MFP","04-May-2023","5","10.00"
"MFP","04-May-2023","6","10.00"
"MFP","04-May-2023","7","10.00"
"MFP","04-May-2023","8","10.00"
"MFP","04-May-2023","9","10.00"
"MFP","04-May-2023","10","10.00"
"MFP","04-May-2023","11","10.00"
"MFP","04-May-2023","12","10.00"
"MFP","04-May-2023","13","13.33"
"MFP","04-May-2023","14","15.00"
"MFP","04-May-2023","15","50.00"
"MFP","04-May-2023","16","50.00"
"MFP","04-May-2023","17","37.00"
"MFP","04-May-2023","18","88.00"
"MFP","04-May-2023","19","37.00"
"MFP","04-May-2023","20","51.90"
"MFP","04-May-2023","21","37.00"
"MFP","04-May-2023","22","33.33"
"MFP","04-May-2023","23","33.33"
"MFP","04-May-2023","24","23.04"
"MFP","04-May-2023","25","37.00"
