"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Nov-2023","1","10.00"
"MFP","01-Nov-2023","2","10.00"
"MFP","01-Nov-2023","3","9.80"
"MFP","01-Nov-2023","4","10.00"
"MFP","01-Nov-2023","5","9.80"
"MFP","01-Nov-2023","6","9.80"
"MFP","01-Nov-2023","7","9.80"
"MFP","01-Nov-2023","8","9.80"
"MFP","01-Nov-2023","9","9.80"
"MFP","01-Nov-2023","10","10.00"
"MFP","01-Nov-2023","11","10.00"
"MFP","01-Nov-2023","12","10.00"
"MFP","01-Nov-2023","13","15.00"
"MFP","01-Nov-2023","14","33.33"
"MFP","01-Nov-2023","15","50.00"
"MFP","01-Nov-2023","16","80.49"
"MFP","01-Nov-2023","17","124.44"
"MFP","01-Nov-2023","18","188.32"
"MFP","01-Nov-2023","19","98.73"
"MFP","01-Nov-2023","20","71.46"
"MFP","01-Nov-2023","21","55.55"
"MFP","01-Nov-2023","22","86.57"
"MFP","01-Nov-2023","23","67.77"
"MFP","01-Nov-2023","24","44.95"
"MFP","01-Nov-2023","25","49.99"
"MFP","01-Nov-2023","26","97.67"
"MFP","01-Nov-2023","27","184.00"
"MFP","01-Nov-2023","28","193.22"
"MFP","01-Nov-2023","29","98.73"
"MFP","01-Nov-2023","30","164.44"
"MFP","01-Nov-2023","31","85.55"
"MFP","01-Nov-2023","32","125.50"
"MFP","01-Nov-2023","33","168.00"
"MFP","01-Nov-2023","34","189.74"
"MFP","01-Nov-2023","35","184.00"
"MFP","01-Nov-2023","36","180.44"
"MFP","01-Nov-2023","37","150.10"
"MFP","01-Nov-2023","38","53.57"
"MFP","01-Nov-2023","39","98.73"
"MFP","01-Nov-2023","40","67.77"
"MFP","01-Nov-2023","41","55.55"
"MFP","01-Nov-2023","42","35.00"
"MFP","01-Nov-2023","43","168.00"
"MFP","01-Nov-2023","44","35.00"
"MFP","01-Nov-2023","45","35.00"
"MFP","01-Nov-2023","46","11.11"
"MFP","01-Nov-2023","47","10.00"
"MFP","01-Nov-2023","48","10.00"
"MFP","02-Nov-2023","1","10.00"
"MFP","02-Nov-2023","2","11.11"
"MFP","02-Nov-2023","3","10.00"
"MFP","02-Nov-2023","4","10.00"
"MFP","02-Nov-2023","5","10.00"
"MFP","02-Nov-2023","6","10.00"
"MFP","02-Nov-2023","7","10.00"
"MFP","02-Nov-2023","8","10.00"
"MFP","02-Nov-2023","9","10.00"
"MFP","02-Nov-2023","10","10.00"
"MFP","02-Nov-2023","11","10.00"
"MFP","02-Nov-2023","12","10.00"
"MFP","02-Nov-2023","13","20.03"
"MFP","02-Nov-2023","14","20.03"
"MFP","02-Nov-2023","15","50.00"
"MFP","02-Nov-2023","16","53.57"
"MFP","02-Nov-2023","17","49.99"
"MFP","02-Nov-2023","18","98.73"
"MFP","02-Nov-2023","19","67.77"
"MFP","02-Nov-2023","20","85.55"
"MFP","02-Nov-2023","21","76.58"
"MFP","02-Nov-2023","22","80.49"
"MFP","02-Nov-2023","23","57.09"
