"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Oct-2023","1","9.80"
"MFP","01-Oct-2023","2","10.00"
"MFP","01-Oct-2023","3","9.80"
"MFP","01-Oct-2023","4","9.80"
"MFP","01-Oct-2023","5","9.80"
"MFP","01-Oct-2023","6","9.80"
"MFP","01-Oct-2023","7","9.80"
"MFP","01-Oct-2023","8","9.80"
"MFP","01-Oct-2023","9","9.80"
"MFP","01-Oct-2023","10","9.80"
"MFP","01-Oct-2023","11","10.00"
"MFP","01-Oct-2023","12","10.00"
"MFP","01-Oct-2023","13","15.55"
"MFP","01-Oct-2023","14","33.33"
"MFP","01-Oct-2023","15","53.57"
"MFP","01-Oct-2023","16","53.57"
"MFP","01-Oct-2023","17","30.03"
"MFP","01-Oct-2023","18","53.57"
"MFP","01-Oct-2023","19","30.03"
"MFP","01-Oct-2023","20","44.44"
"MFP","01-Oct-2023","21","30.03"
"MFP","01-Oct-2023","22","10.00"
"MFP","01-Oct-2023","23","10.00"
"MFP","01-Oct-2023","24","9.80"
"MFP","01-Oct-2023","25","30.03"
"MFP","01-Oct-2023","26","30.03"
"MFP","01-Oct-2023","27","22.22"
"MFP","01-Oct-2023","28","10.00"
"MFP","01-Oct-2023","29","11.75"
"MFP","01-Oct-2023","30","10.00"
"MFP","01-Oct-2023","31","20.97"
"MFP","01-Oct-2023","32","22.22"
"MFP","01-Oct-2023","33","22.22"
"MFP","01-Oct-2023","34","31.59"
"MFP","01-Oct-2023","35","40.67"
"MFP","01-Oct-2023","36","53.57"
"MFP","01-Oct-2023","37","124.44"
"MFP","01-Oct-2023","38","76.66"
"MFP","01-Oct-2023","39","140.67"
"MFP","01-Oct-2023","40","124.44"
"MFP","01-Oct-2023","41","118.23"
"MFP","01-Oct-2023","42","76.66"
"MFP","01-Oct-2023","43","91.14"
"MFP","01-Oct-2023","44","44.44"
"MFP","01-Oct-2023","45","35.00"
"MFP","01-Oct-2023","46","35.00"
"MFP","01-Oct-2023","47","10.00"
"MFP","01-Oct-2023","48","10.00"
"MFP","02-Oct-2023","1","9.80"
"MFP","02-Oct-2023","2","10.00"
"MFP","02-Oct-2023","3","9.80"
"MFP","02-Oct-2023","4","9.80"
"MFP","02-Oct-2023","5","9.80"
"MFP","02-Oct-2023","6","9.80"
"MFP","02-Oct-2023","7","9.80"
"MFP","02-Oct-2023","8","9.80"
"MFP","02-Oct-2023","9","9.80"
"MFP","02-Oct-2023","10","9.80"
"MFP","02-Oct-2023","11","10.00"
"MFP","02-Oct-2023","12","10.00"
"MFP","02-Oct-2023","13","15.55"
"MFP","02-Oct-2023","14","58.88"
"MFP","02-Oct-2023","15","86.53"
"MFP","02-Oct-2023","16","120.21"
"MFP","02-Oct-2023","17","76.94"
"MFP","02-Oct-2023","18","133.33"
"MFP","02-Oct-2023","19","121.92"
"MFP","02-Oct-2023","20","144.44"
"MFP","02-Oct-2023","21","142.46"
"MFP","02-Oct-2023","22","124.44"
"MFP","02-Oct-2023","23","119.32"
"MFP","02-Oct-2023","24","80.05"
"MFP","02-Oct-2023","25","66.39"
"MFP","02-Oct-2023","26","93.36"
"MFP","02-Oct-2023","27","143.50"
"MFP","02-Oct-2023","28","140.67"
"MFP","02-Oct-2023","29","158.88"
"MFP","02-Oct-2023","30","168.00"
"MFP","02-Oct-2023","31","168.00"
"MFP","02-Oct-2023","32","145.50"
"MFP","02-Oct-2023","33","172.02"
"MFP","02-Oct-2023","34","174.87"
"MFP","02-Oct-2023","35","175.44"
"MFP","02-Oct-2023","36","183.44"
"MFP","02-Oct-2023","37","260.87"
"MFP","02-Oct-2023","38","179.94"
"MFP","02-Oct-2023","39","260.87"
"MFP","02-Oct-2023","40","184.82"
"MFP","02-Oct-2023","41","178.57"
"MFP","02-Oct-2023","42","170.43"
"MFP","02-Oct-2023","43","140.67"
"MFP","02-Oct-2023","44","85.55"
"MFP","02-Oct-2023","45","53.57"
"MFP","02-Oct-2023","46","53.57"
"MFP","02-Oct-2023","47","17.44"
"MFP","02-Oct-2023","48","10.00"
"MFP","03-Oct-2023","1","9.80"
"MFP","03-Oct-2023","2","10.00"
"MFP","03-Oct-2023","3","9.80"
"MFP","03-Oct-2023","4","9.80"
"MFP","03-Oct-2023","5","9.80"
"MFP","03-Oct-2023","6","9.80"
"MFP","03-Oct-2023","7","10.00"
"MFP","03-Oct-2023","8","9.80"
"MFP","03-Oct-2023","9","9.80"
"MFP","03-Oct-2023","10","10.00"
"MFP","03-Oct-2023","11","10.00"
"MFP","03-Oct-2023","12","10.00"
"MFP","03-Oct-2023","13","15.55"
"MFP","03-Oct-2023","14","50.00"
"MFP","03-Oct-2023","15","67.77"
"MFP","03-Oct-2023","16","118.52"
"MFP","03-Oct-2023","17","140.67"
"MFP","03-Oct-2023","18","170.43"
"MFP","03-Oct-2023","19","145.50"
"MFP","03-Oct-2023","20","168.00"
"MFP","03-Oct-2023","21","168.00"
"MFP","03-Oct-2023","22","144.44"
"MFP","03-Oct-2023","23","150.32"
"MFP","03-Oct-2023","24","140.67"
"MFP","03-Oct-2023","25","145.50"
"MFP","03-Oct-2023","26","124.44"
"MFP","03-Oct-2023","27","146.42"
"MFP","03-Oct-2023","28","173.44"
"MFP","03-Oct-2023","29","168.44"
"MFP","03-Oct-2023","30","130.92"
"MFP","03-Oct-2023","31","131.39"
"MFP","03-Oct-2023","32","147.50"
"MFP","03-Oct-2023","33","140.67"
"MFP","03-Oct-2023","34","124.44"
"MFP","03-Oct-2023","35","118.23"
"MFP","03-Oct-2023","36","118.23"
"MFP","03-Oct-2023","37","133.33"
"MFP","03-Oct-2023","38","60.28"
"MFP","03-Oct-2023","39","122.48"
"MFP","03-Oct-2023","40","98.73"
"MFP","03-Oct-2023","41","84.67"
"MFP","03-Oct-2023","42","53.57"
"MFP","03-Oct-2023","43","47.63"
"MFP","03-Oct-2023","44","23.44"
"MFP","03-Oct-2023","45","10.84"
"MFP","03-Oct-2023","46","10.00"
"MFP","03-Oct-2023","47","10.00"
