"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01-Sep-2023","1","10.03"
"MFP","01-Sep-2023","2","10.00"
"MFP","01-Sep-2023","3","9.80"
"MFP","01-Sep-2023","4","9.80"
"MFP","01-Sep-2023","5","9.80"
"MFP","01-Sep-2023","6","9.80"
"MFP","01-Sep-2023","7","9.80"
"MFP","01-Sep-2023","8","9.80"
"MFP","01-Sep-2023","9","9.80"
"MFP","01-Sep-2023","10","9.80"
"MFP","01-Sep-2023","11","10.00"
"MFP","01-Sep-2023","12","10.00"
"MFP","01-Sep-2023","13","10.00"
"MFP","01-Sep-2023","14","10.03"
"MFP","01-Sep-2023","15","44.44"
"MFP","01-Sep-2023","16","44.44"
"MFP","01-Sep-2023","17","25.34"
"MFP","01-Sep-2023","18","50.00"
"MFP","01-Sep-2023","19","22.22"
"MFP","01-Sep-2023","20","30.11"
"MFP","01-Sep-2023","21","15.75"
"MFP","01-Sep-2023","22","10.03"
"MFP","01-Sep-2023","23","10.03"
"MFP","01-Sep-2023","24","10.00"
"MFP","01-Sep-2023","25","10.03"
"MFP","01-Sep-2023","26","10.03"
"MFP","01-Sep-2023","27","10.03"
"MFP","01-Sep-2023","28","10.03"
"MFP","01-Sep-2023","29","10.00"
"MFP","01-Sep-2023","30","10.00"
"MFP","01-Sep-2023","31","10.00"
"MFP","01-Sep-2023","32","10.03"
"MFP","01-Sep-2023","33","15.14"
"MFP","01-Sep-2023","34","24.79"
"MFP","01-Sep-2023","35","15.00"
"MFP","01-Sep-2023","36","24.79"
"MFP","01-Sep-2023","37","74.60"
"MFP","01-Sep-2023","38","37.64"
"MFP","01-Sep-2023","39","55.19"
"MFP","01-Sep-2023","40","50.99"
"MFP","01-Sep-2023","41","44.99"
"MFP","01-Sep-2023","42","44.44"
"MFP","01-Sep-2023","43","34.78"
"MFP","01-Sep-2023","44","24.73"
"MFP","01-Sep-2023","45","16.99"
"MFP","01-Sep-2023","46","15.00"
"MFP","01-Sep-2023","47","10.03"
"MFP","01-Sep-2023","48","10.00"
"MFP","02-Sep-2023","1","10.03"
"MFP","02-Sep-2023","2","10.00"
"MFP","02-Sep-2023","3","10.00"
"MFP","02-Sep-2023","4","9.80"
"MFP","02-Sep-2023","5","9.80"
"MFP","02-Sep-2023","6","9.80"
"MFP","02-Sep-2023","7","9.80"
"MFP","02-Sep-2023","8","9.80"
"MFP","02-Sep-2023","9","9.80"
"MFP","02-Sep-2023","10","10.00"
"MFP","02-Sep-2023","11","10.00"
"MFP","02-Sep-2023","12","10.00"
"MFP","02-Sep-2023","13","10.00"
"MFP","02-Sep-2023","14","14.79"
"MFP","02-Sep-2023","15","44.44"
"MFP","02-Sep-2023","16","44.44"
"MFP","02-Sep-2023","17","15.00"
"MFP","02-Sep-2023","18","51.50"
"MFP","02-Sep-2023","19","20.33"
"MFP","02-Sep-2023","20","30.06"
"MFP","02-Sep-2023","21","23.39"
"MFP","02-Sep-2023","22","22.22"
"MFP","02-Sep-2023","23","15.38"
"MFP","02-Sep-2023","24","10.03"
"MFP","02-Sep-2023","25","10.03"
"MFP","02-Sep-2023","26","10.03"
"MFP","02-Sep-2023","27","10.03"
"MFP","02-Sep-2023","28","10.03"
"MFP","02-Sep-2023","29","11.79"
"MFP","02-Sep-2023","30","14.50"
"MFP","02-Sep-2023","31","22.22"
"MFP","02-Sep-2023","32","21.93"
"MFP","02-Sep-2023","33","21.86"
"MFP","02-Sep-2023","34","23.80"
"MFP","02-Sep-2023","35","22.22"
"MFP","02-Sep-2023","36","25.12"
"MFP","02-Sep-2023","37","74.70"
"MFP","02-Sep-2023","38","34.40"
"MFP","02-Sep-2023","39","83.13"
"MFP","02-Sep-2023","40","53.57"
"MFP","02-Sep-2023","41","44.44"
"MFP","02-Sep-2023","42","40.98"
"MFP","02-Sep-2023","43","34.50"
"MFP","02-Sep-2023","44","26.24"
"MFP","02-Sep-2023","45","15.42"
"MFP","02-Sep-2023","46","15.55"
"MFP","02-Sep-2023","47","15.55"
"MFP","02-Sep-2023","48","10.03"
"MFP","03-Sep-2023","1","10.00"
"MFP","03-Sep-2023","2","9.89"
"MFP","03-Sep-2023","3","0.01"
"MFP","03-Sep-2023","4","0.01"
"MFP","03-Sep-2023","5","0.01"
"MFP","03-Sep-2023","6","0.01"
"MFP","03-Sep-2023","7","0.01"
"MFP","03-Sep-2023","8","0.01"
"MFP","03-Sep-2023","9","0.01"
"MFP","03-Sep-2023","10","9.80"
"MFP","03-Sep-2023","11","9.80"
"MFP","03-Sep-2023","12","9.80"
"MFP","03-Sep-2023","13","10.00"
"MFP","03-Sep-2023","14","10.03"
"MFP","03-Sep-2023","15","44.44"
"MFP","03-Sep-2023","16","44.44"
"MFP","03-Sep-2023","17","10.03"
"MFP","03-Sep-2023","18","50.00"
"MFP","03-Sep-2023","19","11.79"
"MFP","03-Sep-2023","20","30.04"
"MFP","03-Sep-2023","21","11.84"
"MFP","03-Sep-2023","22","10.00"
"MFP","03-Sep-2023","23","10.03"
"MFP","03-Sep-2023","24","10.00"
"MFP","03-Sep-2023","25","10.03"
"MFP","03-Sep-2023","26","10.03"
"MFP","03-Sep-2023","27","10.21"
"MFP","03-Sep-2023","28","12.99"
"MFP","03-Sep-2023","29","13.55"
"MFP","03-Sep-2023","30","13.00"
"MFP","03-Sep-2023","31","13.00"
"MFP","03-Sep-2023","32","13.55"
"MFP","03-Sep-2023","33","13.55"
"MFP","03-Sep-2023","34","19.84"
"MFP","03-Sep-2023","35","18.00"
"MFP","03-Sep-2023","36","23.55"
"MFP","03-Sep-2023","37","76.66"
"MFP","03-Sep-2023","38","44.44"
"MFP","03-Sep-2023","39","76.66"
"MFP","03-Sep-2023","40","53.57"
"MFP","03-Sep-2023","41","44.44"
"MFP","03-Sep-2023","42","35.42"
"MFP","03-Sep-2023","43","33.55"
"MFP","03-Sep-2023","44","23.34"
"MFP","03-Sep-2023","45","27.58"
"MFP","03-Sep-2023","46","22.64"
"MFP","03-Sep-2023","47","10.03"
"MFP","03-Sep-2023","48","10.00"
"MFP","04-Sep-2023","1","10.00"
"MFP","04-Sep-2023","2","10.00"
"MFP","04-Sep-2023","3","0.01"
"MFP","04-Sep-2023","4","0.01"
"MFP","04-Sep-2023","5","0.01"
"MFP","04-Sep-2023","6","0.01"
"MFP","04-Sep-2023","7","0.01"
"MFP","04-Sep-2023","8","0.01"
"MFP","04-Sep-2023","9","0.01"
"MFP","04-Sep-2023","10","9.80"
"MFP","04-Sep-2023","11","9.80"
"MFP","04-Sep-2023","12","9.80"
"MFP","04-Sep-2023","13","10.03"
"MFP","04-Sep-2023","14","16.32"
"MFP","04-Sep-2023","15","35.43"
"MFP","04-Sep-2023","16","41.91"
"MFP","04-Sep-2023","17","10.13"
"MFP","04-Sep-2023","18","50.09"
"MFP","04-Sep-2023","19","10.18"
"MFP","04-Sep-2023","20","44.44"
"MFP","04-Sep-2023","21","36.60"
"MFP","04-Sep-2023","22","30.96"
"MFP","04-Sep-2023","23","25.85"
"MFP","04-Sep-2023","24","24.64"
"MFP","04-Sep-2023","25","35.50"
"MFP","04-Sep-2023","26","37.39"
"MFP","04-Sep-2023","27","34.84"
"MFP","04-Sep-2023","28","32.68"
"MFP","04-Sep-2023","29","41.03"
"MFP","04-Sep-2023","30","33.33"
"MFP","04-Sep-2023","31","37.63"
"MFP","04-Sep-2023","32","53.57"
"MFP","04-Sep-2023","33","60.96"
"MFP","04-Sep-2023","34","70.67"
"MFP","04-Sep-2023","35","108.25"
"MFP","04-Sep-2023","36","99.23"
"MFP","04-Sep-2023","37","168.00"
"MFP","04-Sep-2023","38","67.77"
"MFP","04-Sep-2023","39","129.04"
"MFP","04-Sep-2023","40","76.66"
"MFP","04-Sep-2023","41","57.59"
"MFP","04-Sep-2023","42","43.72"
"MFP","04-Sep-2023","43","57.83"
"MFP","04-Sep-2023","44","35.96"
"MFP","04-Sep-2023","45","33.33"
"MFP","04-Sep-2023","46","33.33"
"MFP","04-Sep-2023","47","10.03"
"MFP","04-Sep-2023","48","10.00"
"MFP","05-Sep-2023","1","10.00"
"MFP","05-Sep-2023","2","9.95"
"MFP","05-Sep-2023","3","9.95"
"MFP","05-Sep-2023","4","9.95"
"MFP","05-Sep-2023","5","9.95"
"MFP","05-Sep-2023","6","9.95"
"MFP","05-Sep-2023","7","9.95"
"MFP","05-Sep-2023","8","9.95"
"MFP","05-Sep-2023","9","9.95"
"MFP","05-Sep-2023","10","9.80"
"MFP","05-Sep-2023","11","9.95"
"MFP","05-Sep-2023","12","10.00"
"MFP","05-Sep-2023","13","15.00"
"MFP","05-Sep-2023","14","22.72"
"MFP","05-Sep-2023","15","30.03"
"MFP","05-Sep-2023","16","30.03"
"MFP","05-Sep-2023","17","25.89"
"MFP","05-Sep-2023","18","58.72"
"MFP","05-Sep-2023","19","102.33"
"MFP","05-Sep-2023","20","40.45"
"MFP","05-Sep-2023","21","28.99"
