"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Apr-2023","1","0.10"
"MRP","CONRESB","01-Apr-2023","1","0.08"
"MRP","CONRESC","01-Apr-2023","1","0.07"
"MRP","CONRESD","01-Apr-2023","1","0.06"
"MRP","CONRESE","01-Apr-2023","1","0.02"
"MRP","PRIRESA","01-Apr-2023","1","0.55"
"MRP","PRIRESB","01-Apr-2023","1","0.47"
"MRP","PRIRESC","01-Apr-2023","1","0.41"
"MRP","PRIRESD","01-Apr-2023","1","0.33"
"MRP","PRIRESE","01-Apr-2023","1","0.14"
"MRP","CONRESA","01-Apr-2023","2","0.10"
"MRP","CONRESB","01-Apr-2023","2","0.08"
"MRP","CONRESC","01-Apr-2023","2","0.08"
"MRP","CONRESD","01-Apr-2023","2","0.06"
"MRP","CONRESE","01-Apr-2023","2","0.02"
"MRP","PRIRESA","01-Apr-2023","2","0.14"
"MRP","PRIRESB","01-Apr-2023","2","0.12"
"MRP","PRIRESC","01-Apr-2023","2","0.11"
"MRP","PRIRESD","01-Apr-2023","2","0.08"
"MRP","PRIRESE","01-Apr-2023","2","0.04"
"MRP","CONRESA","01-Apr-2023","3","0.01"
"MRP","CONRESB","01-Apr-2023","3","0.01"
"MRP","CONRESC","01-Apr-2023","3","0.01"
"MRP","CONRESD","01-Apr-2023","3","0.01"
"MRP","CONRESE","01-Apr-2023","3","0.00"
"MRP","PRIRESA","01-Apr-2023","3","0.01"
"MRP","PRIRESB","01-Apr-2023","3","0.01"
"MRP","PRIRESC","01-Apr-2023","3","0.01"
"MRP","PRIRESD","01-Apr-2023","3","0.01"
"MRP","PRIRESE","01-Apr-2023","3","0.00"
"MRP","CONRESA","01-Apr-2023","4","0.01"
"MRP","CONRESB","01-Apr-2023","4","0.01"
"MRP","CONRESC","01-Apr-2023","4","0.01"
"MRP","CONRESD","01-Apr-2023","4","0.01"
"MRP","CONRESE","01-Apr-2023","4","0.00"
"MRP","PRIRESA","01-Apr-2023","4","0.01"
"MRP","PRIRESB","01-Apr-2023","4","0.01"
"MRP","PRIRESC","01-Apr-2023","4","0.01"
"MRP","PRIRESD","01-Apr-2023","4","0.01"
"MRP","PRIRESE","01-Apr-2023","4","0.00"
"MRP","CONRESA","01-Apr-2023","5","0.01"
"MRP","CONRESB","01-Apr-2023","5","0.01"
"MRP","CONRESC","01-Apr-2023","5","0.01"
"MRP","CONRESD","01-Apr-2023","5","0.01"
"MRP","CONRESE","01-Apr-2023","5","0.00"
"MRP","PRIRESA","01-Apr-2023","5","0.01"
"MRP","PRIRESB","01-Apr-2023","5","0.01"
"MRP","PRIRESC","01-Apr-2023","5","0.01"
"MRP","PRIRESD","01-Apr-2023","5","0.01"
"MRP","PRIRESE","01-Apr-2023","5","0.00"
"MRP","CONRESA","01-Apr-2023","6","0.01"
"MRP","CONRESB","01-Apr-2023","6","0.01"
"MRP","CONRESC","01-Apr-2023","6","0.01"
"MRP","CONRESD","01-Apr-2023","6","0.01"
"MRP","CONRESE","01-Apr-2023","6","0.00"
"MRP","PRIRESA","01-Apr-2023","6","0.01"
"MRP","PRIRESB","01-Apr-2023","6","0.01"
"MRP","PRIRESC","01-Apr-2023","6","0.01"
"MRP","PRIRESD","01-Apr-2023","6","0.01"
"MRP","PRIRESE","01-Apr-2023","6","0.00"
"MRP","CONRESA","01-Apr-2023","7","0.01"
"MRP","CONRESB","01-Apr-2023","7","0.01"
"MRP","CONRESC","01-Apr-2023","7","0.01"
"MRP","CONRESD","01-Apr-2023","7","0.01"
"MRP","CONRESE","01-Apr-2023","7","0.00"
"MRP","PRIRESA","01-Apr-2023","7","0.01"
"MRP","PRIRESB","01-Apr-2023","7","0.01"
"MRP","PRIRESC","01-Apr-2023","7","0.01"
"MRP","PRIRESD","01-Apr-2023","7","0.01"
"MRP","PRIRESE","01-Apr-2023","7","0.00"
"MRP","CONRESA","01-Apr-2023","8","0.01"
"MRP","CONRESB","01-Apr-2023","8","0.01"
"MRP","CONRESC","01-Apr-2023","8","0.01"
"MRP","CONRESD","01-Apr-2023","8","0.01"
"MRP","CONRESE","01-Apr-2023","8","0.00"
"MRP","PRIRESA","01-Apr-2023","8","0.01"
"MRP","PRIRESB","01-Apr-2023","8","0.01"
"MRP","PRIRESC","01-Apr-2023","8","0.01"
"MRP","PRIRESD","01-Apr-2023","8","0.01"
"MRP","PRIRESE","01-Apr-2023","8","0.00"
"MRP","CONRESA","01-Apr-2023","9","0.01"
"MRP","CONRESB","01-Apr-2023","9","0.01"
"MRP","CONRESC","01-Apr-2023","9","0.01"
"MRP","CONRESD","01-Apr-2023","9","0.01"
"MRP","CONRESE","01-Apr-2023","9","0.00"
"MRP","PRIRESA","01-Apr-2023","9","0.01"
"MRP","PRIRESB","01-Apr-2023","9","0.01"
"MRP","PRIRESC","01-Apr-2023","9","0.01"
"MRP","PRIRESD","01-Apr-2023","9","0.01"
"MRP","PRIRESE","01-Apr-2023","9","0.00"
"MRP","CONRESA","01-Apr-2023","10","0.01"
"MRP","CONRESB","01-Apr-2023","10","0.01"
"MRP","CONRESC","01-Apr-2023","10","0.01"
"MRP","CONRESD","01-Apr-2023","10","0.01"
"MRP","CONRESE","01-Apr-2023","10","0.00"
"MRP","PRIRESA","01-Apr-2023","10","0.01"
"MRP","PRIRESB","01-Apr-2023","10","0.01"
"MRP","PRIRESC","01-Apr-2023","10","0.01"
"MRP","PRIRESD","01-Apr-2023","10","0.01"
"MRP","PRIRESE","01-Apr-2023","10","0.00"
"MRP","CONRESA","01-Apr-2023","11","0.01"
"MRP","CONRESB","01-Apr-2023","11","0.01"
"MRP","CONRESC","01-Apr-2023","11","0.01"
"MRP","CONRESD","01-Apr-2023","11","0.01"
"MRP","CONRESE","01-Apr-2023","11","0.00"
"MRP","PRIRESA","01-Apr-2023","11","0.01"
"MRP","PRIRESB","01-Apr-2023","11","0.01"
