"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Aug-2023","1","0.10"
"MRP","CONRESB","01-Aug-2023","1","0.08"
"MRP","CONRESC","01-Aug-2023","1","0.08"
"MRP","CONRESD","01-Aug-2023","1","0.06"
"MRP","CONRESE","01-Aug-2023","1","0.02"
"MRP","PRIRESA","01-Aug-2023","1","0.02"
"MRP","PRIRESB","01-Aug-2023","1","0.02"
"MRP","PRIRESC","01-Aug-2023","1","0.02"
"MRP","PRIRESD","01-Aug-2023","1","0.01"
"MRP","PRIRESE","01-Aug-2023","1","0.01"
"MRP","CONRESA","01-Aug-2023","2","0.10"
"MRP","CONRESB","01-Aug-2023","2","0.09"
"MRP","CONRESC","01-Aug-2023","2","0.08"
"MRP","CONRESD","01-Aug-2023","2","0.06"
"MRP","CONRESE","01-Aug-2023","2","0.03"
"MRP","PRIRESA","01-Aug-2023","2","0.01"
"MRP","PRIRESB","01-Aug-2023","2","0.01"
"MRP","PRIRESC","01-Aug-2023","2","0.01"
"MRP","PRIRESD","01-Aug-2023","2","0.01"
"MRP","PRIRESE","01-Aug-2023","2","0.00"
"MRP","CONRESA","01-Aug-2023","3","0.10"
"MRP","CONRESB","01-Aug-2023","3","0.08"
"MRP","CONRESC","01-Aug-2023","3","0.08"
"MRP","CONRESD","01-Aug-2023","3","0.06"
"MRP","CONRESE","01-Aug-2023","3","0.02"
"MRP","PRIRESA","01-Aug-2023","3","0.01"
"MRP","PRIRESB","01-Aug-2023","3","0.01"
"MRP","PRIRESC","01-Aug-2023","3","0.01"
"MRP","PRIRESD","01-Aug-2023","3","0.01"
"MRP","PRIRESE","01-Aug-2023","3","0.00"
"MRP","CONRESA","01-Aug-2023","4","0.10"
"MRP","CONRESB","01-Aug-2023","4","0.08"
"MRP","CONRESC","01-Aug-2023","4","0.08"
"MRP","CONRESD","01-Aug-2023","4","0.06"
"MRP","CONRESE","01-Aug-2023","4","0.02"
"MRP","PRIRESA","01-Aug-2023","4","0.01"
"MRP","PRIRESB","01-Aug-2023","4","0.01"
"MRP","PRIRESC","01-Aug-2023","4","0.01"
"MRP","PRIRESD","01-Aug-2023","4","0.01"
"MRP","PRIRESE","01-Aug-2023","4","0.00"
"MRP","CONRESA","01-Aug-2023","5","5.00"
"MRP","CONRESB","01-Aug-2023","5","4.25"
"MRP","CONRESC","01-Aug-2023","5","3.75"
"MRP","CONRESD","01-Aug-2023","5","3.00"
"MRP","CONRESE","01-Aug-2023","5","1.25"
"MRP","PRIRESA","01-Aug-2023","5","0.01"
"MRP","PRIRESB","01-Aug-2023","5","0.01"
"MRP","PRIRESC","01-Aug-2023","5","0.01"
"MRP","PRIRESD","01-Aug-2023","5","0.01"
"MRP","PRIRESE","01-Aug-2023","5","0.00"
"MRP","CONRESA","01-Aug-2023","6","5.00"
"MRP","CONRESB","01-Aug-2023","6","4.25"
"MRP","CONRESC","01-Aug-2023","6","3.75"
"MRP","CONRESD","01-Aug-2023","6","3.00"
"MRP","CONRESE","01-Aug-2023","6","1.25"
"MRP","PRIRESA","01-Aug-2023","6","0.01"
"MRP","PRIRESB","01-Aug-2023","6","0.01"
"MRP","PRIRESC","01-Aug-2023","6","0.01"
"MRP","PRIRESD","01-Aug-2023","6","0.01"
"MRP","PRIRESE","01-Aug-2023","6","0.00"
"MRP","CONRESA","01-Aug-2023","7","5.00"
"MRP","CONRESB","01-Aug-2023","7","4.25"
"MRP","CONRESC","01-Aug-2023","7","3.75"
"MRP","CONRESD","01-Aug-2023","7","3.00"
"MRP","CONRESE","01-Aug-2023","7","1.25"
"MRP","PRIRESA","01-Aug-2023","7","0.01"
"MRP","PRIRESB","01-Aug-2023","7","0.01"
"MRP","PRIRESC","01-Aug-2023","7","0.01"
"MRP","PRIRESD","01-Aug-2023","7","0.01"
"MRP","PRIRESE","01-Aug-2023","7","0.00"
"MRP","CONRESA","01-Aug-2023","8","5.00"
"MRP","CONRESB","01-Aug-2023","8","4.25"
"MRP","CONRESC","01-Aug-2023","8","3.75"
"MRP","CONRESD","01-Aug-2023","8","3.00"
"MRP","CONRESE","01-Aug-2023","8","1.25"
"MRP","PRIRESA","01-Aug-2023","8","0.01"
"MRP","PRIRESB","01-Aug-2023","8","0.01"
"MRP","PRIRESC","01-Aug-2023","8","0.01"
"MRP","PRIRESD","01-Aug-2023","8","0.01"
"MRP","PRIRESE","01-Aug-2023","8","0.00"
"MRP","CONRESA","01-Aug-2023","9","5.00"
"MRP","CONRESB","01-Aug-2023","9","4.25"
"MRP","CONRESC","01-Aug-2023","9","3.75"
"MRP","CONRESD","01-Aug-2023","9","3.00"
"MRP","CONRESE","01-Aug-2023","9","1.25"
"MRP","PRIRESA","01-Aug-2023","9","0.01"
"MRP","PRIRESB","01-Aug-2023","9","0.01"
"MRP","PRIRESC","01-Aug-2023","9","0.01"
"MRP","PRIRESD","01-Aug-2023","9","0.01"
"MRP","PRIRESE","01-Aug-2023","9","0.00"
"MRP","CONRESA","01-Aug-2023","10","5.00"
"MRP","CONRESB","01-Aug-2023","10","4.25"
"MRP","CONRESC","01-Aug-2023","10","3.75"
"MRP","CONRESD","01-Aug-2023","10","3.00"
"MRP","CONRESE","01-Aug-2023","10","1.25"
"MRP","PRIRESA","01-Aug-2023","10","0.01"
"MRP","PRIRESB","01-Aug-2023","10","0.01"
"MRP","PRIRESC","01-Aug-2023","10","0.01"
"MRP","PRIRESD","01-Aug-2023","10","0.01"
"MRP","PRIRESE","01-Aug-2023","10","0.00"
"MRP","CONRESA","01-Aug-2023","11","0.10"
"MRP","CONRESB","01-Aug-2023","11","0.08"
"MRP","CONRESC","01-Aug-2023","11","0.08"
"MRP","CONRESD","01-Aug-2023","11","0.06"
"MRP","CONRESE","01-Aug-2023","11","0.02"
"MRP","PRIRESA","01-Aug-2023","11","0.01"
"MRP","PRIRESB","01-Aug-2023","11","0.01"
"MRP","PRIRESC","01-Aug-2023","11","0.01"
"MRP","PRIRESD","01-Aug-2023","11","0.01"
"MRP","PRIRESE","01-Aug-2023","11","0.00"
"MRP","CONRESA","01-Aug-2023","12","0.10"
"MRP","CONRESB","01-Aug-2023","12","0.08"
"MRP","CONRESC","01-Aug-2023","12","0.07"
"MRP","CONRESD","01-Aug-2023","12","0.06"
"MRP","CONRESE","01-Aug-2023","12","0.02"
"MRP","PRIRESA","01-Aug-2023","12","0.01"
"MRP","PRIRESB","01-Aug-2023","12","0.01"
"MRP","PRIRESC","01-Aug-2023","12","0.01"
"MRP","PRIRESD","01-Aug-2023","12","0.01"
"MRP","PRIRESE","01-Aug-2023","12","0.00"
"MRP","CONRESA","01-Aug-2023","13","4.89"
"MRP","CONRESB","01-Aug-2023","13","4.16"
"MRP","CONRESC","01-Aug-2023","13","3.67"
"MRP","CONRESD","01-Aug-2023","13","2.93"
"MRP","CONRESE","01-Aug-2023","13","1.22"
"MRP","PRIRESA","01-Aug-2023","13","0.02"
"MRP","PRIRESB","01-Aug-2023","13","0.02"
"MRP","PRIRESC","01-Aug-2023","13","0.02"
"MRP","PRIRESD","01-Aug-2023","13","0.01"
"MRP","PRIRESE","01-Aug-2023","13","0.01"
"MRP","CONRESA","01-Aug-2023","14","4.89"
"MRP","CONRESB","01-Aug-2023","14","4.16"
"MRP","CONRESC","01-Aug-2023","14","3.67"
"MRP","CONRESD","01-Aug-2023","14","2.93"
"MRP","CONRESE","01-Aug-2023","14","1.22"
"MRP","PRIRESA","01-Aug-2023","14","0.02"
"MRP","PRIRESB","01-Aug-2023","14","0.02"
