"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Dec-2023","1","5.03"
"MRP","CONRESB","01-Dec-2023","1","4.28"
"MRP","CONRESC","01-Dec-2023","1","3.77"
"MRP","CONRESD","01-Dec-2023","1","3.02"
"MRP","CONRESE","01-Dec-2023","1","1.26"
"MRP","PRIRESA","01-Dec-2023","1","0.01"
"MRP","PRIRESB","01-Dec-2023","1","0.01"
"MRP","PRIRESC","01-Dec-2023","1","0.01"
"MRP","PRIRESD","01-Dec-2023","1","0.01"
"MRP","PRIRESE","01-Dec-2023","1","0.00"
"MRP","CONRESA","01-Dec-2023","2","5.03"
"MRP","CONRESB","01-Dec-2023","2","4.28"
"MRP","CONRESC","01-Dec-2023","2","3.77"
"MRP","CONRESD","01-Dec-2023","2","3.02"
"MRP","CONRESE","01-Dec-2023","2","1.26"
"MRP","PRIRESA","01-Dec-2023","2","0.01"
"MRP","PRIRESB","01-Dec-2023","2","0.01"
"MRP","PRIRESC","01-Dec-2023","2","0.01"
"MRP","PRIRESD","01-Dec-2023","2","0.01"
"MRP","PRIRESE","01-Dec-2023","2","0.00"
"MRP","CONRESA","01-Dec-2023","3","10.00"
"MRP","CONRESB","01-Dec-2023","3","8.50"
"MRP","CONRESC","01-Dec-2023","3","7.50"
"MRP","CONRESD","01-Dec-2023","3","6.00"
"MRP","CONRESE","01-Dec-2023","3","2.50"
"MRP","PRIRESA","01-Dec-2023","3","0.01"
"MRP","PRIRESB","01-Dec-2023","3","0.01"
"MRP","PRIRESC","01-Dec-2023","3","0.01"
"MRP","PRIRESD","01-Dec-2023","3","0.01"
"MRP","PRIRESE","01-Dec-2023","3","0.00"
"MRP","CONRESA","01-Dec-2023","4","5.03"
"MRP","CONRESB","01-Dec-2023","4","4.28"
"MRP","CONRESC","01-Dec-2023","4","3.77"
"MRP","CONRESD","01-Dec-2023","4","3.02"
"MRP","CONRESE","01-Dec-2023","4","1.26"
"MRP","PRIRESA","01-Dec-2023","4","0.01"
"MRP","PRIRESB","01-Dec-2023","4","0.01"
"MRP","PRIRESC","01-Dec-2023","4","0.01"
"MRP","PRIRESD","01-Dec-2023","4","0.01"
"MRP","PRIRESE","01-Dec-2023","4","0.00"
"MRP","CONRESA","01-Dec-2023","5","0.85"
"MRP","CONRESB","01-Dec-2023","5","0.72"
"MRP","CONRESC","01-Dec-2023","5","0.64"
"MRP","CONRESD","01-Dec-2023","5","0.51"
"MRP","CONRESE","01-Dec-2023","5","0.21"
"MRP","PRIRESA","01-Dec-2023","5","0.01"
"MRP","PRIRESB","01-Dec-2023","5","0.01"
"MRP","PRIRESC","01-Dec-2023","5","0.01"
"MRP","PRIRESD","01-Dec-2023","5","0.01"
"MRP","PRIRESE","01-Dec-2023","5","0.00"
"MRP","CONRESA","01-Dec-2023","6","0.10"
"MRP","CONRESB","01-Dec-2023","6","0.08"
"MRP","CONRESC","01-Dec-2023","6","0.07"
"MRP","CONRESD","01-Dec-2023","6","0.06"
"MRP","CONRESE","01-Dec-2023","6","0.02"
"MRP","PRIRESA","01-Dec-2023","6","0.01"
"MRP","PRIRESB","01-Dec-2023","6","0.01"
"MRP","PRIRESC","01-Dec-2023","6","0.01"
"MRP","PRIRESD","01-Dec-2023","6","0.01"
"MRP","PRIRESE","01-Dec-2023","6","0.00"
"MRP","CONRESA","01-Dec-2023","7","0.10"
"MRP","CONRESB","01-Dec-2023","7","0.08"
"MRP","CONRESC","01-Dec-2023","7","0.08"
"MRP","CONRESD","01-Dec-2023","7","0.06"
"MRP","CONRESE","01-Dec-2023","7","0.02"
"MRP","PRIRESA","01-Dec-2023","7","0.01"
"MRP","PRIRESB","01-Dec-2023","7","0.01"
"MRP","PRIRESC","01-Dec-2023","7","0.01"
"MRP","PRIRESD","01-Dec-2023","7","0.01"
"MRP","PRIRESE","01-Dec-2023","7","0.00"
"MRP","CONRESA","01-Dec-2023","8","0.10"
"MRP","CONRESB","01-Dec-2023","8","0.09"
"MRP","CONRESC","01-Dec-2023","8","0.08"
"MRP","CONRESD","01-Dec-2023","8","0.06"
"MRP","CONRESE","01-Dec-2023","8","0.03"
"MRP","PRIRESA","01-Dec-2023","8","0.01"
"MRP","PRIRESB","01-Dec-2023","8","0.01"
"MRP","PRIRESC","01-Dec-2023","8","0.01"
"MRP","PRIRESD","01-Dec-2023","8","0.01"
"MRP","PRIRESE","01-Dec-2023","8","0.00"
"MRP","CONRESA","01-Dec-2023","9","0.10"
"MRP","CONRESB","01-Dec-2023","9","0.08"
"MRP","CONRESC","01-Dec-2023","9","0.08"
"MRP","CONRESD","01-Dec-2023","9","0.06"
"MRP","CONRESE","01-Dec-2023","9","0.02"
"MRP","PRIRESA","01-Dec-2023","9","0.01"
"MRP","PRIRESB","01-Dec-2023","9","0.01"
"MRP","PRIRESC","01-Dec-2023","9","0.01"
"MRP","PRIRESD","01-Dec-2023","9","0.01"
"MRP","PRIRESE","01-Dec-2023","9","0.00"
"MRP","CONRESA","01-Dec-2023","10","0.86"
"MRP","CONRESB","01-Dec-2023","10","0.73"
"MRP","CONRESC","01-Dec-2023","10","0.65"
"MRP","CONRESD","01-Dec-2023","10","0.52"
"MRP","CONRESE","01-Dec-2023","10","0.22"
"MRP","PRIRESA","01-Dec-2023","10","0.01"
"MRP","PRIRESB","01-Dec-2023","10","0.01"
"MRP","PRIRESC","01-Dec-2023","10","0.01"
"MRP","PRIRESD","01-Dec-2023","10","0.01"
"MRP","PRIRESE","01-Dec-2023","10","0.00"
"MRP","CONRESA","01-Dec-2023","11","0.86"
"MRP","CONRESB","01-Dec-2023","11","0.73"
"MRP","CONRESC","01-Dec-2023","11","0.65"
"MRP","CONRESD","01-Dec-2023","11","0.52"
"MRP","CONRESE","01-Dec-2023","11","0.22"
"MRP","PRIRESA","01-Dec-2023","11","0.01"
"MRP","PRIRESB","01-Dec-2023","11","0.01"
"MRP","PRIRESC","01-Dec-2023","11","0.01"
"MRP","PRIRESD","01-Dec-2023","11","0.01"
"MRP","PRIRESE","01-Dec-2023","11","0.00"
"MRP","CONRESA","01-Dec-2023","12","7.40"
"MRP","CONRESB","01-Dec-2023","12","6.29"
"MRP","CONRESC","01-Dec-2023","12","5.55"
"MRP","CONRESD","01-Dec-2023","12","4.44"
"MRP","CONRESE","01-Dec-2023","12","1.85"
"MRP","PRIRESA","01-Dec-2023","12","0.01"
"MRP","PRIRESB","01-Dec-2023","12","0.01"
"MRP","PRIRESC","01-Dec-2023","12","0.01"
"MRP","PRIRESD","01-Dec-2023","12","0.01"
"MRP","PRIRESE","01-Dec-2023","12","0.00"
"MRP","CONRESA","01-Dec-2023","13","10.00"
"MRP","CONRESB","01-Dec-2023","13","8.50"
"MRP","CONRESC","01-Dec-2023","13","7.50"
"MRP","CONRESD","01-Dec-2023","13","6.00"
"MRP","CONRESE","01-Dec-2023","13","2.50"
"MRP","PRIRESA","01-Dec-2023","13","0.05"
"MRP","PRIRESB","01-Dec-2023","13","0.04"
"MRP","PRIRESC","01-Dec-2023","13","0.04"
"MRP","PRIRESD","01-Dec-2023","13","0.03"
"MRP","PRIRESE","01-Dec-2023","13","0.01"
"MRP","CONRESA","01-Dec-2023","14","10.03"
"MRP","CONRESB","01-Dec-2023","14","8.53"
"MRP","CONRESC","01-Dec-2023","14","7.52"
"MRP","CONRESD","01-Dec-2023","14","6.02"
"MRP","CONRESE","01-Dec-2023","14","2.51"
"MRP","PRIRESA","01-Dec-2023","14","0.06"
"MRP","PRIRESB","01-Dec-2023","14","0.05"
"MRP","PRIRESC","01-Dec-2023","14","0.04"
"MRP","PRIRESD","01-Dec-2023","14","0.04"
"MRP","PRIRESE","01-Dec-2023","14","0.02"
"MRP","CONRESA","01-Dec-2023","15","10.00"
"MRP","CONRESB","01-Dec-2023","15","8.50"
"MRP","CONRESC","01-Dec-2023","15","7.50"
"MRP","CONRESD","01-Dec-2023","15","6.00"
"MRP","CONRESE","01-Dec-2023","15","2.50"
"MRP","PRIRESA","01-Dec-2023","15","0.01"
"MRP","PRIRESB","01-Dec-2023","15","0.01"
"MRP","PRIRESC","01-Dec-2023","15","0.01"
"MRP","PRIRESD","01-Dec-2023","15","0.01"
"MRP","PRIRESE","01-Dec-2023","15","0.00"
"MRP","CONRESA","01-Dec-2023","16","12.34"
"MRP","CONRESB","01-Dec-2023","16","10.49"
"MRP","CONRESC","01-Dec-2023","16","9.25"
"MRP","CONRESD","01-Dec-2023","16","7.40"
"MRP","CONRESE","01-Dec-2023","16","3.08"
"MRP","PRIRESA","01-Dec-2023","16","0.01"
"MRP","PRIRESB","01-Dec-2023","16","0.01"
"MRP","PRIRESC","01-Dec-2023","16","0.01"
"MRP","PRIRESD","01-Dec-2023","16","0.01"
"MRP","PRIRESE","01-Dec-2023","16","0.00"
"MRP","CONRESA","01-Dec-2023","17","11.28"
"MRP","CONRESB","01-Dec-2023","17","9.59"
"MRP","CONRESC","01-Dec-2023","17","8.46"
"MRP","CONRESD","01-Dec-2023","17","6.77"
"MRP","CONRESE","01-Dec-2023","17","2.82"
"MRP","PRIRESA","01-Dec-2023","17","0.01"
"MRP","PRIRESB","01-Dec-2023","17","0.01"
"MRP","PRIRESC","01-Dec-2023","17","0.01"
"MRP","PRIRESD","01-Dec-2023","17","0.01"
"MRP","PRIRESE","01-Dec-2023","17","0.00"
"MRP","CONRESA","01-Dec-2023","18","18.80"
"MRP","CONRESB","01-Dec-2023","18","15.98"
"MRP","CONRESC","01-Dec-2023","18","14.10"
"MRP","CONRESD","01-Dec-2023","18","11.28"
"MRP","CONRESE","01-Dec-2023","18","4.70"
"MRP","PRIRESA","01-Dec-2023","18","0.01"
"MRP","PRIRESB","01-Dec-2023","18","0.01"
"MRP","PRIRESC","01-Dec-2023","18","0.01"
"MRP","PRIRESD","01-Dec-2023","18","0.01"
"MRP","PRIRESE","01-Dec-2023","18","0.00"
"MRP","CONRESA","01-Dec-2023","19","21.07"
"MRP","CONRESB","01-Dec-2023","19","17.91"
"MRP","CONRESC","01-Dec-2023","19","15.80"
"MRP","CONRESD","01-Dec-2023","19","12.64"
