"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Feb-2023","1","0.01"
"MRP","CONRESB","01-Feb-2023","1","0.01"
"MRP","CONRESC","01-Feb-2023","1","0.01"
"MRP","CONRESD","01-Feb-2023","1","0.01"
"MRP","CONRESE","01-Feb-2023","1","0.00"
"MRP","PRIRESA","01-Feb-2023","1","0.01"
"MRP","PRIRESB","01-Feb-2023","1","0.01"
"MRP","PRIRESC","01-Feb-2023","1","0.01"
"MRP","PRIRESD","01-Feb-2023","1","0.01"
"MRP","PRIRESE","01-Feb-2023","1","0.00"
"MRP","CONRESA","01-Feb-2023","2","0.01"
"MRP","CONRESB","01-Feb-2023","2","0.01"
"MRP","CONRESC","01-Feb-2023","2","0.01"
"MRP","CONRESD","01-Feb-2023","2","0.01"
"MRP","CONRESE","01-Feb-2023","2","0.00"
"MRP","PRIRESA","01-Feb-2023","2","0.01"
"MRP","PRIRESB","01-Feb-2023","2","0.01"
"MRP","PRIRESC","01-Feb-2023","2","0.01"
"MRP","PRIRESD","01-Feb-2023","2","0.01"
"MRP","PRIRESE","01-Feb-2023","2","0.00"
"MRP","CONRESA","01-Feb-2023","3","0.01"
"MRP","CONRESB","01-Feb-2023","3","0.01"
"MRP","CONRESC","01-Feb-2023","3","0.01"
"MRP","CONRESD","01-Feb-2023","3","0.01"
"MRP","CONRESE","01-Feb-2023","3","0.00"
"MRP","PRIRESA","01-Feb-2023","3","0.01"
"MRP","PRIRESB","01-Feb-2023","3","0.01"
"MRP","PRIRESC","01-Feb-2023","3","0.01"
"MRP","PRIRESD","01-Feb-2023","3","0.01"
"MRP","PRIRESE","01-Feb-2023","3","0.00"
"MRP","CONRESA","01-Feb-2023","4","0.01"
"MRP","CONRESB","01-Feb-2023","4","0.01"
"MRP","CONRESC","01-Feb-2023","4","0.01"
"MRP","CONRESD","01-Feb-2023","4","0.01"
"MRP","CONRESE","01-Feb-2023","4","0.00"
"MRP","PRIRESA","01-Feb-2023","4","0.01"
"MRP","PRIRESB","01-Feb-2023","4","0.01"
"MRP","PRIRESC","01-Feb-2023","4","0.01"
"MRP","PRIRESD","01-Feb-2023","4","0.01"
"MRP","PRIRESE","01-Feb-2023","4","0.00"
"MRP","CONRESA","01-Feb-2023","5","0.01"
"MRP","CONRESB","01-Feb-2023","5","0.01"
"MRP","CONRESC","01-Feb-2023","5","0.01"
"MRP","CONRESD","01-Feb-2023","5","0.01"
"MRP","CONRESE","01-Feb-2023","5","0.00"
"MRP","PRIRESA","01-Feb-2023","5","0.01"
"MRP","PRIRESB","01-Feb-2023","5","0.01"
"MRP","PRIRESC","01-Feb-2023","5","0.01"
"MRP","PRIRESD","01-Feb-2023","5","0.01"
"MRP","PRIRESE","01-Feb-2023","5","0.00"
"MRP","CONRESA","01-Feb-2023","6","0.01"
"MRP","CONRESB","01-Feb-2023","6","0.01"
"MRP","CONRESC","01-Feb-2023","6","0.01"
"MRP","CONRESD","01-Feb-2023","6","0.01"
"MRP","CONRESE","01-Feb-2023","6","0.00"
"MRP","PRIRESA","01-Feb-2023","6","0.01"
"MRP","PRIRESB","01-Feb-2023","6","0.01"
"MRP","PRIRESC","01-Feb-2023","6","0.01"
"MRP","PRIRESD","01-Feb-2023","6","0.01"
