"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Jul-2023","1","20.00"
"MRP","CONRESB","01-Jul-2023","1","17.00"
"MRP","CONRESC","01-Jul-2023","1","15.00"
"MRP","CONRESD","01-Jul-2023","1","12.00"
"MRP","CONRESE","01-Jul-2023","1","5.00"
"MRP","PRIRESA","01-Jul-2023","1","3.67"
"MRP","PRIRESB","01-Jul-2023","1","3.12"
"MRP","PRIRESC","01-Jul-2023","1","2.75"
"MRP","PRIRESD","01-Jul-2023","1","2.20"
"MRP","PRIRESE","01-Jul-2023","1","0.92"
"MRP","CONRESA","01-Jul-2023","2","12.34"
"MRP","CONRESB","01-Jul-2023","2","10.49"
"MRP","CONRESC","01-Jul-2023","2","9.25"
"MRP","CONRESD","01-Jul-2023","2","7.40"
"MRP","CONRESE","01-Jul-2023","2","3.08"
"MRP","PRIRESA","01-Jul-2023","2","3.67"
"MRP","PRIRESB","01-Jul-2023","2","3.12"
"MRP","PRIRESC","01-Jul-2023","2","2.75"
"MRP","PRIRESD","01-Jul-2023","2","2.20"
"MRP","PRIRESE","01-Jul-2023","2","0.92"
"MRP","CONRESA","01-Jul-2023","3","12.34"
"MRP","CONRESB","01-Jul-2023","3","10.49"
"MRP","CONRESC","01-Jul-2023","3","9.25"
"MRP","CONRESD","01-Jul-2023","3","7.40"
"MRP","CONRESE","01-Jul-2023","3","3.08"
"MRP","PRIRESA","01-Jul-2023","3","1.50"
"MRP","PRIRESB","01-Jul-2023","3","1.27"
"MRP","PRIRESC","01-Jul-2023","3","1.12"
"MRP","PRIRESD","01-Jul-2023","3","0.90"
"MRP","PRIRESE","01-Jul-2023","3","0.38"
"MRP","CONRESA","01-Jul-2023","4","11.11"
"MRP","CONRESB","01-Jul-2023","4","9.44"
"MRP","CONRESC","01-Jul-2023","4","8.33"
"MRP","CONRESD","01-Jul-2023","4","6.67"
"MRP","CONRESE","01-Jul-2023","4","2.78"
"MRP","PRIRESA","01-Jul-2023","4","1.50"
"MRP","PRIRESB","01-Jul-2023","4","1.28"
"MRP","PRIRESC","01-Jul-2023","4","1.13"
"MRP","PRIRESD","01-Jul-2023","4","0.90"
"MRP","PRIRESE","01-Jul-2023","4","0.38"
"MRP","CONRESA","01-Jul-2023","5","8.88"
"MRP","CONRESB","01-Jul-2023","5","7.55"
"MRP","CONRESC","01-Jul-2023","5","6.66"
"MRP","CONRESD","01-Jul-2023","5","5.33"
"MRP","CONRESE","01-Jul-2023","5","2.22"
"MRP","PRIRESA","01-Jul-2023","5","0.71"
"MRP","PRIRESB","01-Jul-2023","5","0.60"
"MRP","PRIRESC","01-Jul-2023","5","0.53"
"MRP","PRIRESD","01-Jul-2023","5","0.42"
"MRP","PRIRESE","01-Jul-2023","5","0.18"
"MRP","CONRESA","01-Jul-2023","6","11.11"
"MRP","CONRESB","01-Jul-2023","6","9.44"
"MRP","CONRESC","01-Jul-2023","6","8.33"
"MRP","CONRESD","01-Jul-2023","6","6.67"
"MRP","CONRESE","01-Jul-2023","6","2.78"
"MRP","PRIRESA","01-Jul-2023","6","0.55"
"MRP","PRIRESB","01-Jul-2023","6","0.47"
"MRP","PRIRESC","01-Jul-2023","6","0.41"
"MRP","PRIRESD","01-Jul-2023","6","0.33"
"MRP","PRIRESE","01-Jul-2023","6","0.14"
"MRP","CONRESA","01-Jul-2023","7","11.11"
"MRP","CONRESB","01-Jul-2023","7","9.44"
"MRP","CONRESC","01-Jul-2023","7","8.33"
"MRP","CONRESD","01-Jul-2023","7","6.67"
"MRP","CONRESE","01-Jul-2023","7","2.78"
"MRP","PRIRESA","01-Jul-2023","7","0.65"
"MRP","PRIRESB","01-Jul-2023","7","0.55"
"MRP","PRIRESC","01-Jul-2023","7","0.49"
"MRP","PRIRESD","01-Jul-2023","7","0.39"
"MRP","PRIRESE","01-Jul-2023","7","0.16"
"MRP","CONRESA","01-Jul-2023","8","11.11"
"MRP","CONRESB","01-Jul-2023","8","9.44"
"MRP","CONRESC","01-Jul-2023","8","8.33"
"MRP","CONRESD","01-Jul-2023","8","6.67"
"MRP","CONRESE","01-Jul-2023","8","2.78"
"MRP","PRIRESA","01-Jul-2023","8","0.65"
"MRP","PRIRESB","01-Jul-2023","8","0.55"
"MRP","PRIRESC","01-Jul-2023","8","0.49"
"MRP","PRIRESD","01-Jul-2023","8","0.39"
"MRP","PRIRESE","01-Jul-2023","8","0.16"
"MRP","CONRESA","01-Jul-2023","9","11.11"
"MRP","CONRESB","01-Jul-2023","9","9.44"
