"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Jun-2023","1","25.00"
"MRP","CONRESB","01-Jun-2023","1","21.25"
"MRP","CONRESC","01-Jun-2023","1","18.75"
"MRP","CONRESD","01-Jun-2023","1","15.00"
"MRP","CONRESE","01-Jun-2023","1","6.25"
"MRP","PRIRESA","01-Jun-2023","1","0.55"
"MRP","PRIRESB","01-Jun-2023","1","0.47"
"MRP","PRIRESC","01-Jun-2023","1","0.41"
"MRP","PRIRESD","01-Jun-2023","1","0.33"
"MRP","PRIRESE","01-Jun-2023","1","0.14"
"MRP","CONRESA","01-Jun-2023","2","20.00"
"MRP","CONRESB","01-Jun-2023","2","17.00"
"MRP","CONRESC","01-Jun-2023","2","15.00"
"MRP","CONRESD","01-Jun-2023","2","12.00"
"MRP","CONRESE","01-Jun-2023","2","5.00"
"MRP","PRIRESA","01-Jun-2023","2","0.55"
"MRP","PRIRESB","01-Jun-2023","2","0.47"
"MRP","PRIRESC","01-Jun-2023","2","0.41"
"MRP","PRIRESD","01-Jun-2023","2","0.33"
"MRP","PRIRESE","01-Jun-2023","2","0.14"
"MRP","CONRESA","01-Jun-2023","3","25.00"
"MRP","CONRESB","01-Jun-2023","3","21.25"
"MRP","CONRESC","01-Jun-2023","3","18.75"
"MRP","CONRESD","01-Jun-2023","3","15.00"
"MRP","CONRESE","01-Jun-2023","3","6.25"
"MRP","PRIRESA","01-Jun-2023","3","0.55"
"MRP","PRIRESB","01-Jun-2023","3","0.47"
"MRP","PRIRESC","01-Jun-2023","3","0.41"
"MRP","PRIRESD","01-Jun-2023","3","0.33"
"MRP","PRIRESE","01-Jun-2023","3","0.14"
"MRP","CONRESA","01-Jun-2023","4","30.33"
"MRP","CONRESB","01-Jun-2023","4","25.78"
"MRP","CONRESC","01-Jun-2023","4","22.75"
"MRP","CONRESD","01-Jun-2023","4","18.20"
"MRP","CONRESE","01-Jun-2023","4","7.58"
"MRP","PRIRESA","01-Jun-2023","4","0.55"
"MRP","PRIRESB","01-Jun-2023","4","0.47"
"MRP","PRIRESC","01-Jun-2023","4","0.41"
"MRP","PRIRESD","01-Jun-2023","4","0.33"
"MRP","PRIRESE","01-Jun-2023","4","0.14"
"MRP","CONRESA","01-Jun-2023","5","30.33"
"MRP","CONRESB","01-Jun-2023","5","25.78"
"MRP","CONRESC","01-Jun-2023","5","22.75"
"MRP","CONRESD","01-Jun-2023","5","18.20"
"MRP","CONRESE","01-Jun-2023","5","7.58"
"MRP","PRIRESA","01-Jun-2023","5","0.65"
"MRP","PRIRESB","01-Jun-2023","5","0.55"
"MRP","PRIRESC","01-Jun-2023","5","0.49"
"MRP","PRIRESD","01-Jun-2023","5","0.39"
"MRP","PRIRESE","01-Jun-2023","5","0.16"
"MRP","CONRESA","01-Jun-2023","6","30.33"
"MRP","CONRESB","01-Jun-2023","6","25.78"
"MRP","CONRESC","01-Jun-2023","6","22.75"
"MRP","CONRESD","01-Jun-2023","6","18.20"
"MRP","CONRESE","01-Jun-2023","6","7.58"
"MRP","PRIRESA","01-Jun-2023","6","0.65"
"MRP","PRIRESB","01-Jun-2023","6","0.55"
"MRP","PRIRESC","01-Jun-2023","6","0.49"
"MRP","PRIRESD","01-Jun-2023","6","0.39"
"MRP","PRIRESE","01-Jun-2023","6","0.16"
"MRP","CONRESA","01-Jun-2023","7","13.14"
"MRP","CONRESB","01-Jun-2023","7","11.17"
"MRP","CONRESC","01-Jun-2023","7","9.86"
"MRP","CONRESD","01-Jun-2023","7","7.88"
"MRP","CONRESE","01-Jun-2023","7","3.28"
"MRP","PRIRESA","01-Jun-2023","7","1.50"
"MRP","PRIRESB","01-Jun-2023","7","1.27"
"MRP","PRIRESC","01-Jun-2023","7","1.12"
"MRP","PRIRESD","01-Jun-2023","7","0.90"
"MRP","PRIRESE","01-Jun-2023","7","0.38"
"MRP","CONRESA","01-Jun-2023","8","25.00"
"MRP","CONRESB","01-Jun-2023","8","21.25"
"MRP","CONRESC","01-Jun-2023","8","18.75"
"MRP","CONRESD","01-Jun-2023","8","15.00"
"MRP","CONRESE","01-Jun-2023","8","6.25"
"MRP","PRIRESA","01-Jun-2023","8","1.50"
"MRP","PRIRESB","01-Jun-2023","8","1.27"
"MRP","PRIRESC","01-Jun-2023","8","1.12"
"MRP","PRIRESD","01-Jun-2023","8","0.90"
"MRP","PRIRESE","01-Jun-2023","8","0.38"
"MRP","CONRESA","01-Jun-2023","9","13.14"
"MRP","CONRESB","01-Jun-2023","9","11.17"
"MRP","CONRESC","01-Jun-2023","9","9.85"
"MRP","CONRESD","01-Jun-2023","9","7.88"
"MRP","CONRESE","01-Jun-2023","9","3.28"
"MRP","PRIRESA","01-Jun-2023","9","1.50"
"MRP","PRIRESB","01-Jun-2023","9","1.27"
"MRP","PRIRESC","01-Jun-2023","9","1.12"
"MRP","PRIRESD","01-Jun-2023","9","0.90"
"MRP","PRIRESE","01-Jun-2023","9","0.38"
"MRP","CONRESA","01-Jun-2023","10","25.00"
"MRP","CONRESB","01-Jun-2023","10","21.25"
"MRP","CONRESC","01-Jun-2023","10","18.75"
"MRP","CONRESD","01-Jun-2023","10","15.00"
"MRP","CONRESE","01-Jun-2023","10","6.25"
"MRP","PRIRESA","01-Jun-2023","10","1.50"
"MRP","PRIRESB","01-Jun-2023","10","1.27"
"MRP","PRIRESC","01-Jun-2023","10","1.12"
"MRP","PRIRESD","01-Jun-2023","10","0.90"
"MRP","PRIRESE","01-Jun-2023","10","0.38"
"MRP","CONRESA","01-Jun-2023","11","25.00"
"MRP","CONRESB","01-Jun-2023","11","21.25"
"MRP","CONRESC","01-Jun-2023","11","18.75"
"MRP","CONRESD","01-Jun-2023","11","15.00"
"MRP","CONRESE","01-Jun-2023","11","6.25"
"MRP","PRIRESA","01-Jun-2023","11","0.65"
"MRP","PRIRESB","01-Jun-2023","11","0.55"
"MRP","PRIRESC","01-Jun-2023","11","0.49"
"MRP","PRIRESD","01-Jun-2023","11","0.39"
"MRP","PRIRESE","01-Jun-2023","11","0.16"
"MRP","CONRESA","01-Jun-2023","12","33.00"
"MRP","CONRESB","01-Jun-2023","12","28.05"
"MRP","CONRESC","01-Jun-2023","12","24.75"
"MRP","CONRESD","01-Jun-2023","12","19.80"
"MRP","CONRESE","01-Jun-2023","12","8.25"
"MRP","PRIRESA","01-Jun-2023","12","0.55"
"MRP","PRIRESB","01-Jun-2023","12","0.47"
"MRP","PRIRESC","01-Jun-2023","12","0.41"
"MRP","PRIRESD","01-Jun-2023","12","0.33"
"MRP","PRIRESE","01-Jun-2023","12","0.14"
"MRP","CONRESA","01-Jun-2023","13","25.00"
"MRP","CONRESB","01-Jun-2023","13","21.25"
"MRP","CONRESC","01-Jun-2023","13","18.75"
"MRP","CONRESD","01-Jun-2023","13","15.00"
