"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-May-2023","1","35.00"
"MRP","CONRESB","01-May-2023","1","29.75"
"MRP","CONRESC","01-May-2023","1","26.25"
"MRP","CONRESD","01-May-2023","1","21.00"
"MRP","CONRESE","01-May-2023","1","8.75"
"MRP","PRIRESA","01-May-2023","1","11.55"
"MRP","PRIRESB","01-May-2023","1","9.82"
"MRP","PRIRESC","01-May-2023","1","8.66"
"MRP","PRIRESD","01-May-2023","1","6.93"
"MRP","PRIRESE","01-May-2023","1","2.89"
"MRP","CONRESA","01-May-2023","2","25.64"
"MRP","CONRESB","01-May-2023","2","21.79"
"MRP","CONRESC","01-May-2023","2","19.23"
"MRP","CONRESD","01-May-2023","2","15.38"
"MRP","CONRESE","01-May-2023","2","6.41"
"MRP","PRIRESA","01-May-2023","2","11.55"
"MRP","PRIRESB","01-May-2023","2","9.82"
"MRP","PRIRESC","01-May-2023","2","8.66"
"MRP","PRIRESD","01-May-2023","2","6.93"
"MRP","PRIRESE","01-May-2023","2","2.89"
"MRP","CONRESA","01-May-2023","3","35.00"
"MRP","CONRESB","01-May-2023","3","29.75"
"MRP","CONRESC","01-May-2023","3","26.25"
"MRP","CONRESD","01-May-2023","3","21.00"
"MRP","CONRESE","01-May-2023","3","8.75"
"MRP","PRIRESA","01-May-2023","3","13.08"
"MRP","PRIRESB","01-May-2023","3","11.12"
"MRP","PRIRESC","01-May-2023","3","9.81"
"MRP","PRIRESD","01-May-2023","3","7.85"
"MRP","PRIRESE","01-May-2023","3","3.27"
"MRP","CONRESA","01-May-2023","4","24.33"
"MRP","CONRESB","01-May-2023","4","20.68"
"MRP","CONRESC","01-May-2023","4","18.25"
"MRP","CONRESD","01-May-2023","4","14.60"
"MRP","CONRESE","01-May-2023","4","6.08"
"MRP","PRIRESA","01-May-2023","4","11.55"
"MRP","PRIRESB","01-May-2023","4","9.82"
"MRP","PRIRESC","01-May-2023","4","8.66"
"MRP","PRIRESD","01-May-2023","4","6.93"
"MRP","PRIRESE","01-May-2023","4","2.89"
"MRP","CONRESA","01-May-2023","5","13.14"
"MRP","CONRESB","01-May-2023","5","11.17"
"MRP","CONRESC","01-May-2023","5","9.86"
"MRP","CONRESD","01-May-2023","5","7.88"
"MRP","CONRESE","01-May-2023","5","3.29"
"MRP","PRIRESA","01-May-2023","5","5.09"
"MRP","PRIRESB","01-May-2023","5","4.33"
"MRP","PRIRESC","01-May-2023","5","3.82"
"MRP","PRIRESD","01-May-2023","5","3.06"
"MRP","PRIRESE","01-May-2023","5","1.27"
"MRP","CONRESA","01-May-2023","6","13.14"
"MRP","CONRESB","01-May-2023","6","11.17"
"MRP","CONRESC","01-May-2023","6","9.86"
"MRP","CONRESD","01-May-2023","6","7.88"
"MRP","CONRESE","01-May-2023","6","3.28"
"MRP","PRIRESA","01-May-2023","6","4.42"
"MRP","PRIRESB","01-May-2023","6","3.75"
"MRP","PRIRESC","01-May-2023","6","3.31"
"MRP","PRIRESD","01-May-2023","6","2.65"
"MRP","PRIRESE","01-May-2023","6","1.10"
"MRP","CONRESA","01-May-2023","7","13.14"
"MRP","CONRESB","01-May-2023","7","11.17"
"MRP","CONRESC","01-May-2023","7","9.85"
"MRP","CONRESD","01-May-2023","7","7.88"
"MRP","CONRESE","01-May-2023","7","3.28"
"MRP","PRIRESA","01-May-2023","7","3.95"
"MRP","PRIRESB","01-May-2023","7","3.35"
"MRP","PRIRESC","01-May-2023","7","2.96"
"MRP","PRIRESD","01-May-2023","7","2.37"
"MRP","PRIRESE","01-May-2023","7","0.99"
"MRP","CONRESA","01-May-2023","8","13.14"
"MRP","CONRESB","01-May-2023","8","11.17"
"MRP","CONRESC","01-May-2023","8","9.86"
"MRP","CONRESD","01-May-2023","8","7.88"
"MRP","CONRESE","01-May-2023","8","3.29"
"MRP","PRIRESA","01-May-2023","8","3.67"
"MRP","PRIRESB","01-May-2023","8","3.12"
"MRP","PRIRESC","01-May-2023","8","2.75"
"MRP","PRIRESD","01-May-2023","8","2.20"
"MRP","PRIRESE","01-May-2023","8","0.92"
"MRP","CONRESA","01-May-2023","9","13.14"
"MRP","CONRESB","01-May-2023","9","11.17"
"MRP","CONRESC","01-May-2023","9","9.86"
"MRP","CONRESD","01-May-2023","9","7.88"
"MRP","CONRESE","01-May-2023","9","3.28"
"MRP","PRIRESA","01-May-2023","9","1.88"
"MRP","PRIRESB","01-May-2023","9","1.60"
"MRP","PRIRESC","01-May-2023","9","1.41"
"MRP","PRIRESD","01-May-2023","9","1.13"
"MRP","PRIRESE","01-May-2023","9","0.47"
"MRP","CONRESA","01-May-2023","10","13.14"
"MRP","CONRESB","01-May-2023","10","11.17"
"MRP","CONRESC","01-May-2023","10","9.85"
"MRP","CONRESD","01-May-2023","10","7.88"
"MRP","CONRESE","01-May-2023","10","3.28"
"MRP","PRIRESA","01-May-2023","10","1.88"
"MRP","PRIRESB","01-May-2023","10","1.60"
"MRP","PRIRESC","01-May-2023","10","1.41"
"MRP","PRIRESD","01-May-2023","10","1.13"
"MRP","PRIRESE","01-May-2023","10","0.47"
"MRP","CONRESA","01-May-2023","11","13.14"
"MRP","CONRESB","01-May-2023","11","11.17"
"MRP","CONRESC","01-May-2023","11","9.86"
"MRP","CONRESD","01-May-2023","11","7.88"
"MRP","CONRESE","01-May-2023","11","3.29"
"MRP","PRIRESA","01-May-2023","11","1.88"
"MRP","PRIRESB","01-May-2023","11","1.60"
"MRP","PRIRESC","01-May-2023","11","1.41"
"MRP","PRIRESD","01-May-2023","11","1.13"
"MRP","PRIRESE","01-May-2023","11","0.47"
"MRP","CONRESA","01-May-2023","12","13.14"
"MRP","CONRESB","01-May-2023","12","11.17"
"MRP","CONRESC","01-May-2023","12","9.86"
"MRP","CONRESD","01-May-2023","12","7.88"
"MRP","CONRESE","01-May-2023","12","3.29"
"MRP","PRIRESA","01-May-2023","12","1.50"
"MRP","PRIRESB","01-May-2023","12","1.27"
"MRP","PRIRESC","01-May-2023","12","1.12"
"MRP","PRIRESD","01-May-2023","12","0.90"
"MRP","PRIRESE","01-May-2023","12","0.38"
"MRP","CONRESA","01-May-2023","13","13.14"
"MRP","CONRESB","01-May-2023","13","11.17"
"MRP","CONRESC","01-May-2023","13","9.85"
"MRP","CONRESD","01-May-2023","13","7.88"
"MRP","CONRESE","01-May-2023","13","3.28"
"MRP","PRIRESA","01-May-2023","13","1.00"
"MRP","PRIRESB","01-May-2023","13","0.85"
"MRP","PRIRESC","01-May-2023","13","0.75"
"MRP","PRIRESD","01-May-2023","13","0.60"
"MRP","PRIRESE","01-May-2023","13","0.25"
"MRP","CONRESA","01-May-2023","14","13.14"
"MRP","CONRESB","01-May-2023","14","11.17"
