"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Nov-2023","1","0.01"
"MRP","CONRESB","01-Nov-2023","1","0.01"
"MRP","CONRESC","01-Nov-2023","1","0.01"
"MRP","CONRESD","01-Nov-2023","1","0.01"
"MRP","CONRESE","01-Nov-2023","1","0.00"
"MRP","PRIRESA","01-Nov-2023","1","0.01"
"MRP","PRIRESB","01-Nov-2023","1","0.01"
"MRP","PRIRESC","01-Nov-2023","1","0.01"
"MRP","PRIRESD","01-Nov-2023","1","0.01"
"MRP","PRIRESE","01-Nov-2023","1","0.00"
"MRP","CONRESA","01-Nov-2023","2","11.11"
"MRP","CONRESB","01-Nov-2023","2","9.44"
"MRP","CONRESC","01-Nov-2023","2","8.33"
"MRP","CONRESD","01-Nov-2023","2","6.67"
"MRP","CONRESE","01-Nov-2023","2","2.78"
"MRP","PRIRESA","01-Nov-2023","2","0.05"
"MRP","PRIRESB","01-Nov-2023","2","0.04"
"MRP","PRIRESC","01-Nov-2023","2","0.04"
"MRP","PRIRESD","01-Nov-2023","2","0.03"
"MRP","PRIRESE","01-Nov-2023","2","0.01"
"MRP","CONRESA","01-Nov-2023","3","11.11"
"MRP","CONRESB","01-Nov-2023","3","9.44"
"MRP","CONRESC","01-Nov-2023","3","8.33"
"MRP","CONRESD","01-Nov-2023","3","6.67"
"MRP","CONRESE","01-Nov-2023","3","2.78"
"MRP","PRIRESA","01-Nov-2023","3","0.01"
"MRP","PRIRESB","01-Nov-2023","3","0.01"
"MRP","PRIRESC","01-Nov-2023","3","0.01"
"MRP","PRIRESD","01-Nov-2023","3","0.01"
"MRP","PRIRESE","01-Nov-2023","3","0.00"
"MRP","CONRESA","01-Nov-2023","4","8.00"
"MRP","CONRESB","01-Nov-2023","4","6.80"
"MRP","CONRESC","01-Nov-2023","4","6.00"
"MRP","CONRESD","01-Nov-2023","4","4.80"
"MRP","CONRESE","01-Nov-2023","4","2.00"
"MRP","PRIRESA","01-Nov-2023","4","0.01"
"MRP","PRIRESB","01-Nov-2023","4","0.01"
"MRP","PRIRESC","01-Nov-2023","4","0.01"
"MRP","PRIRESD","01-Nov-2023","4","0.01"
"MRP","PRIRESE","01-Nov-2023","4","0.00"
"MRP","CONRESA","01-Nov-2023","5","11.11"
"MRP","CONRESB","01-Nov-2023","5","9.44"
"MRP","CONRESC","01-Nov-2023","5","8.33"
"MRP","CONRESD","01-Nov-2023","5","6.67"
"MRP","CONRESE","01-Nov-2023","5","2.78"
"MRP","PRIRESA","01-Nov-2023","5","0.01"
"MRP","PRIRESB","01-Nov-2023","5","0.01"
"MRP","PRIRESC","01-Nov-2023","5","0.01"
"MRP","PRIRESD","01-Nov-2023","5","0.01"
"MRP","PRIRESE","01-Nov-2023","5","0.00"
"MRP","CONRESA","01-Nov-2023","6","8.57"
"MRP","CONRESB","01-Nov-2023","6","7.29"
"MRP","CONRESC","01-Nov-2023","6","6.43"
"MRP","CONRESD","01-Nov-2023","6","5.14"
"MRP","CONRESE","01-Nov-2023","6","2.14"
"MRP","PRIRESA","01-Nov-2023","6","0.01"
"MRP","PRIRESB","01-Nov-2023","6","0.01"
"MRP","PRIRESC","01-Nov-2023","6","0.01"
"MRP","PRIRESD","01-Nov-2023","6","0.01"
"MRP","PRIRESE","01-Nov-2023","6","0.00"
"MRP","CONRESA","01-Nov-2023","7","8.57"
"MRP","CONRESB","01-Nov-2023","7","7.29"
"MRP","CONRESC","01-Nov-2023","7","6.43"
"MRP","CONRESD","01-Nov-2023","7","5.14"
"MRP","CONRESE","01-Nov-2023","7","2.14"
"MRP","PRIRESA","01-Nov-2023","7","0.01"
"MRP","PRIRESB","01-Nov-2023","7","0.01"
"MRP","PRIRESC","01-Nov-2023","7","0.01"
"MRP","PRIRESD","01-Nov-2023","7","0.01"
"MRP","PRIRESE","01-Nov-2023","7","0.00"
"MRP","CONRESA","01-Nov-2023","8","8.53"
"MRP","CONRESB","01-Nov-2023","8","7.25"
"MRP","CONRESC","01-Nov-2023","8","6.40"
"MRP","CONRESD","01-Nov-2023","8","5.12"
"MRP","CONRESE","01-Nov-2023","8","2.13"
"MRP","PRIRESA","01-Nov-2023","8","0.01"
"MRP","PRIRESB","01-Nov-2023","8","0.01"
"MRP","PRIRESC","01-Nov-2023","8","0.01"
"MRP","PRIRESD","01-Nov-2023","8","0.01"
"MRP","PRIRESE","01-Nov-2023","8","0.00"
"MRP","CONRESA","01-Nov-2023","9","8.53"
"MRP","CONRESB","01-Nov-2023","9","7.25"
"MRP","CONRESC","01-Nov-2023","9","6.40"
"MRP","CONRESD","01-Nov-2023","9","5.12"
"MRP","CONRESE","01-Nov-2023","9","2.13"
"MRP","PRIRESA","01-Nov-2023","9","0.01"
"MRP","PRIRESB","01-Nov-2023","9","0.01"
"MRP","PRIRESC","01-Nov-2023","9","0.01"
"MRP","PRIRESD","01-Nov-2023","9","0.01"
"MRP","PRIRESE","01-Nov-2023","9","0.00"
"MRP","CONRESA","01-Nov-2023","10","8.53"
"MRP","CONRESB","01-Nov-2023","10","7.25"
"MRP","CONRESC","01-Nov-2023","10","6.40"
"MRP","CONRESD","01-Nov-2023","10","5.12"
"MRP","CONRESE","01-Nov-2023","10","2.13"
"MRP","PRIRESA","01-Nov-2023","10","0.01"
"MRP","PRIRESB","01-Nov-2023","10","0.01"
"MRP","PRIRESC","01-Nov-2023","10","0.01"
"MRP","PRIRESD","01-Nov-2023","10","0.01"
"MRP","PRIRESE","01-Nov-2023","10","0.00"
"MRP","CONRESA","01-Nov-2023","11","8.54"
"MRP","CONRESB","01-Nov-2023","11","7.26"
"MRP","CONRESC","01-Nov-2023","11","6.40"
"MRP","CONRESD","01-Nov-2023","11","5.12"
"MRP","CONRESE","01-Nov-2023","11","2.13"
"MRP","PRIRESA","01-Nov-2023","11","0.01"
"MRP","PRIRESB","01-Nov-2023","11","0.01"
"MRP","PRIRESC","01-Nov-2023","11","0.01"
"MRP","PRIRESD","01-Nov-2023","11","0.01"
"MRP","PRIRESE","01-Nov-2023","11","0.00"
"MRP","CONRESA","01-Nov-2023","12","8.00"
"MRP","CONRESB","01-Nov-2023","12","6.80"
"MRP","CONRESC","01-Nov-2023","12","6.00"
"MRP","CONRESD","01-Nov-2023","12","4.80"
"MRP","CONRESE","01-Nov-2023","12","2.00"
"MRP","PRIRESA","01-Nov-2023","12","0.01"
"MRP","PRIRESB","01-Nov-2023","12","0.01"
"MRP","PRIRESC","01-Nov-2023","12","0.01"
"MRP","PRIRESD","01-Nov-2023","12","0.01"
"MRP","PRIRESE","01-Nov-2023","12","0.00"
"MRP","CONRESA","01-Nov-2023","13","11.11"
"MRP","CONRESB","01-Nov-2023","13","9.44"
"MRP","CONRESC","01-Nov-2023","13","8.33"
"MRP","CONRESD","01-Nov-2023","13","6.67"
"MRP","CONRESE","01-Nov-2023","13","2.78"
"MRP","PRIRESA","01-Nov-2023","13","0.01"
"MRP","PRIRESB","01-Nov-2023","13","0.01"
"MRP","PRIRESC","01-Nov-2023","13","0.01"
"MRP","PRIRESD","01-Nov-2023","13","0.01"
"MRP","PRIRESE","01-Nov-2023","13","0.00"
"MRP","CONRESA","01-Nov-2023","14","23.45"
"MRP","CONRESB","01-Nov-2023","14","19.93"
"MRP","CONRESC","01-Nov-2023","14","17.59"
"MRP","CONRESD","01-Nov-2023","14","14.07"
"MRP","CONRESE","01-Nov-2023","14","5.86"
"MRP","PRIRESA","01-Nov-2023","14","0.05"
"MRP","PRIRESB","01-Nov-2023","14","0.04"
"MRP","PRIRESC","01-Nov-2023","14","0.04"
"MRP","PRIRESD","01-Nov-2023","14","0.03"
"MRP","PRIRESE","01-Nov-2023","14","0.01"
"MRP","CONRESA","01-Nov-2023","15","23.50"
"MRP","CONRESB","01-Nov-2023","15","19.97"
"MRP","CONRESC","01-Nov-2023","15","17.62"
"MRP","CONRESD","01-Nov-2023","15","14.10"
"MRP","CONRESE","01-Nov-2023","15","5.88"
"MRP","PRIRESA","01-Nov-2023","15","0.01"
"MRP","PRIRESB","01-Nov-2023","15","0.01"
"MRP","PRIRESC","01-Nov-2023","15","0.01"
"MRP","PRIRESD","01-Nov-2023","15","0.01"
"MRP","PRIRESE","01-Nov-2023","15","0.00"
"MRP","CONRESA","01-Nov-2023","16","45.50"
"MRP","CONRESB","01-Nov-2023","16","38.67"
"MRP","CONRESC","01-Nov-2023","16","34.12"
"MRP","CONRESD","01-Nov-2023","16","27.30"
"MRP","CONRESE","01-Nov-2023","16","11.38"
"MRP","PRIRESA","01-Nov-2023","16","0.01"
"MRP","PRIRESB","01-Nov-2023","16","0.01"
"MRP","PRIRESC","01-Nov-2023","16","0.01"
"MRP","PRIRESD","01-Nov-2023","16","0.01"
"MRP","PRIRESE","01-Nov-2023","16","0.00"
"MRP","CONRESA","01-Nov-2023","17","116.44"
"MRP","CONRESB","01-Nov-2023","17","98.97"
"MRP","CONRESC","01-Nov-2023","17","87.33"
"MRP","CONRESD","01-Nov-2023","17","69.86"
"MRP","CONRESE","01-Nov-2023","17","29.11"
"MRP","PRIRESA","01-Nov-2023","17","0.01"
"MRP","PRIRESB","01-Nov-2023","17","0.01"
"MRP","PRIRESC","01-Nov-2023","17","0.01"
"MRP","PRIRESD","01-Nov-2023","17","0.01"
"MRP","PRIRESE","01-Nov-2023","17","0.00"
"MRP","CONRESA","01-Nov-2023","18","178.53"
"MRP","CONRESB","01-Nov-2023","18","151.75"
"MRP","CONRESC","01-Nov-2023","18","133.90"
"MRP","CONRESD","01-Nov-2023","18","107.12"
"MRP","CONRESE","01-Nov-2023","18","44.63"
"MRP","PRIRESA","01-Nov-2023","18","0.01"
"MRP","PRIRESB","01-Nov-2023","18","0.01"
"MRP","PRIRESC","01-Nov-2023","18","0.01"
"MRP","PRIRESD","01-Nov-2023","18","0.01"
"MRP","PRIRESE","01-Nov-2023","18","0.00"
"MRP","CONRESA","01-Nov-2023","19","77.03"
"MRP","CONRESB","01-Nov-2023","19","65.47"
"MRP","CONRESC","01-Nov-2023","19","57.77"
"MRP","CONRESD","01-Nov-2023","19","46.22"
"MRP","CONRESE","01-Nov-2023","19","19.26"
"MRP","PRIRESA","01-Nov-2023","19","0.50"
"MRP","PRIRESB","01-Nov-2023","19","0.43"
"MRP","PRIRESC","01-Nov-2023","19","0.38"
"MRP","PRIRESD","01-Nov-2023","19","0.30"
"MRP","PRIRESE","01-Nov-2023","19","0.13"
"MRP","CONRESA","01-Nov-2023","20","56.10"
"MRP","CONRESB","01-Nov-2023","20","47.68"
"MRP","CONRESC","01-Nov-2023","20","42.07"
"MRP","CONRESD","01-Nov-2023","20","33.66"
"MRP","CONRESE","01-Nov-2023","20","14.02"
"MRP","PRIRESA","01-Nov-2023","20","1.50"
"MRP","PRIRESB","01-Nov-2023","20","1.28"
"MRP","PRIRESC","01-Nov-2023","20","1.13"
"MRP","PRIRESD","01-Nov-2023","20","0.90"
"MRP","PRIRESE","01-Nov-2023","20","0.38"
"MRP","CONRESA","01-Nov-2023","21","44.27"
"MRP","CONRESB","01-Nov-2023","21","37.63"
"MRP","CONRESC","01-Nov-2023","21","33.20"
"MRP","CONRESD","01-Nov-2023","21","26.56"
"MRP","CONRESE","01-Nov-2023","21","11.07"
"MRP","PRIRESA","01-Nov-2023","21","1.50"
"MRP","PRIRESB","01-Nov-2023","21","1.28"
"MRP","PRIRESC","01-Nov-2023","21","1.13"
"MRP","PRIRESD","01-Nov-2023","21","0.90"
"MRP","PRIRESE","01-Nov-2023","21","0.38"
"MRP","CONRESA","01-Nov-2023","22","76.78"
"MRP","CONRESB","01-Nov-2023","22","65.26"
"MRP","CONRESC","01-Nov-2023","22","57.58"
"MRP","CONRESD","01-Nov-2023","22","46.07"
"MRP","CONRESE","01-Nov-2023","22","19.19"
"MRP","PRIRESA","01-Nov-2023","22","0.50"
"MRP","PRIRESB","01-Nov-2023","22","0.43"
"MRP","PRIRESC","01-Nov-2023","22","0.38"
"MRP","PRIRESD","01-Nov-2023","22","0.30"
"MRP","PRIRESE","01-Nov-2023","22","0.13"
"MRP","CONRESA","01-Nov-2023","23","57.98"
"MRP","CONRESB","01-Nov-2023","23","49.28"
"MRP","CONRESC","01-Nov-2023","23","43.48"
"MRP","CONRESD","01-Nov-2023","23","34.79"
"MRP","CONRESE","01-Nov-2023","23","14.49"
"MRP","PRIRESA","01-Nov-2023","23","0.50"
