"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Oct-2023","1","0.01"
"MRP","CONRESB","01-Oct-2023","1","0.01"
"MRP","CONRESC","01-Oct-2023","1","0.01"
"MRP","CONRESD","01-Oct-2023","1","0.01"
"MRP","CONRESE","01-Oct-2023","1","0.00"
"MRP","PRIRESA","01-Oct-2023","1","0.06"
"MRP","PRIRESB","01-Oct-2023","1","0.05"
"MRP","PRIRESC","01-Oct-2023","1","0.05"
"MRP","PRIRESD","01-Oct-2023","1","0.04"
"MRP","PRIRESE","01-Oct-2023","1","0.02"
"MRP","CONRESA","01-Oct-2023","2","0.01"
"MRP","CONRESB","01-Oct-2023","2","0.01"
"MRP","CONRESC","01-Oct-2023","2","0.01"
"MRP","CONRESD","01-Oct-2023","2","0.01"
"MRP","CONRESE","01-Oct-2023","2","0.00"
"MRP","PRIRESA","01-Oct-2023","2","0.05"
"MRP","PRIRESB","01-Oct-2023","2","0.04"
"MRP","PRIRESC","01-Oct-2023","2","0.04"
"MRP","PRIRESD","01-Oct-2023","2","0.03"
"MRP","PRIRESE","01-Oct-2023","2","0.01"
"MRP","CONRESA","01-Oct-2023","3","0.01"
"MRP","CONRESB","01-Oct-2023","3","0.01"
"MRP","CONRESC","01-Oct-2023","3","0.01"
"MRP","CONRESD","01-Oct-2023","3","0.01"
"MRP","CONRESE","01-Oct-2023","3","0.00"
"MRP","PRIRESA","01-Oct-2023","3","0.06"
"MRP","PRIRESB","01-Oct-2023","3","0.05"
"MRP","PRIRESC","01-Oct-2023","3","0.05"
"MRP","PRIRESD","01-Oct-2023","3","0.04"
"MRP","PRIRESE","01-Oct-2023","3","0.02"
"MRP","CONRESA","01-Oct-2023","4","0.01"
"MRP","CONRESB","01-Oct-2023","4","0.01"
"MRP","CONRESC","01-Oct-2023","4","0.01"
"MRP","CONRESD","01-Oct-2023","4","0.01"
"MRP","CONRESE","01-Oct-2023","4","0.00"
"MRP","PRIRESA","01-Oct-2023","4","0.05"
"MRP","PRIRESB","01-Oct-2023","4","0.04"
"MRP","PRIRESC","01-Oct-2023","4","0.04"
"MRP","PRIRESD","01-Oct-2023","4","0.03"
"MRP","PRIRESE","01-Oct-2023","4","0.01"
"MRP","CONRESA","01-Oct-2023","5","12.88"
"MRP","CONRESB","01-Oct-2023","5","10.95"
"MRP","CONRESC","01-Oct-2023","5","9.66"
"MRP","CONRESD","01-Oct-2023","5","7.73"
"MRP","CONRESE","01-Oct-2023","5","3.22"
"MRP","PRIRESA","01-Oct-2023","5","0.06"
"MRP","PRIRESB","01-Oct-2023","5","0.05"
"MRP","PRIRESC","01-Oct-2023","5","0.04"
"MRP","PRIRESD","01-Oct-2023","5","0.04"
"MRP","PRIRESE","01-Oct-2023","5","0.02"
"MRP","CONRESA","01-Oct-2023","6","10.00"
"MRP","CONRESB","01-Oct-2023","6","8.50"
"MRP","CONRESC","01-Oct-2023","6","7.50"
"MRP","CONRESD","01-Oct-2023","6","6.00"
"MRP","CONRESE","01-Oct-2023","6","2.50"
"MRP","PRIRESA","01-Oct-2023","6","0.06"
"MRP","PRIRESB","01-Oct-2023","6","0.05"
"MRP","PRIRESC","01-Oct-2023","6","0.04"
"MRP","PRIRESD","01-Oct-2023","6","0.04"
"MRP","PRIRESE","01-Oct-2023","6","0.02"
"MRP","CONRESA","01-Oct-2023","7","0.10"
"MRP","CONRESB","01-Oct-2023","7","0.08"
"MRP","CONRESC","01-Oct-2023","7","0.08"
"MRP","CONRESD","01-Oct-2023","7","0.06"
"MRP","CONRESE","01-Oct-2023","7","0.02"
