"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","CONRESA","01-Sep-2023","1","23.45"
"MRP","CONRESB","01-Sep-2023","1","19.93"
"MRP","CONRESC","01-Sep-2023","1","17.59"
"MRP","CONRESD","01-Sep-2023","1","14.07"
"MRP","CONRESE","01-Sep-2023","1","5.86"
"MRP","PRIRESA","01-Sep-2023","1","0.06"
"MRP","PRIRESB","01-Sep-2023","1","0.05"
"MRP","PRIRESC","01-Sep-2023","1","0.05"
"MRP","PRIRESD","01-Sep-2023","1","0.04"
"MRP","PRIRESE","01-Sep-2023","1","0.02"
"MRP","CONRESA","01-Sep-2023","2","0.10"
"MRP","CONRESB","01-Sep-2023","2","0.08"
"MRP","CONRESC","01-Sep-2023","2","0.08"
"MRP","CONRESD","01-Sep-2023","2","0.06"
"MRP","CONRESE","01-Sep-2023","2","0.02"
"MRP","PRIRESA","01-Sep-2023","2","0.06"
"MRP","PRIRESB","01-Sep-2023","2","0.05"
"MRP","PRIRESC","01-Sep-2023","2","0.05"
"MRP","PRIRESD","01-Sep-2023","2","0.04"
"MRP","PRIRESE","01-Sep-2023","2","0.02"
"MRP","CONRESA","01-Sep-2023","3","0.10"
"MRP","CONRESB","01-Sep-2023","3","0.08"
"MRP","CONRESC","01-Sep-2023","3","0.08"
"MRP","CONRESD","01-Sep-2023","3","0.06"
"MRP","CONRESE","01-Sep-2023","3","0.02"
"MRP","PRIRESA","01-Sep-2023","3","0.05"
"MRP","PRIRESB","01-Sep-2023","3","0.04"
"MRP","PRIRESC","01-Sep-2023","3","0.04"
"MRP","PRIRESD","01-Sep-2023","3","0.03"
"MRP","PRIRESE","01-Sep-2023","3","0.01"
"MRP","CONRESA","01-Sep-2023","4","0.10"
"MRP","CONRESB","01-Sep-2023","4","0.08"
"MRP","CONRESC","01-Sep-2023","4","0.07"
"MRP","CONRESD","01-Sep-2023","4","0.06"
"MRP","CONRESE","01-Sep-2023","4","0.02"
"MRP","PRIRESA","01-Sep-2023","4","0.05"
"MRP","PRIRESB","01-Sep-2023","4","0.04"
